blank,,bm3WTheme_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9963989,-0.001526553417,799.9963989,0.008142915554,
799.0256958,-0.0003251613234,799.0256958,0.007508115843,
798.0545654,-0.0008945771842,798.0545654,0.006985186134,
796.9442139,-0.0004455794988,796.9442139,0.005569881294,
795.97229,-0.0001520275691,795.97229,0.005788271315,
795,0.000319679908,795,0.005326836836,
794.0272827,0.0008328247932,794.0272827,0.007498766296,
793.0542603,-0.0005871109315,793.0542603,0.007946063764,
791.9417114,-0.0009220106876,791.9417114,0.006639798172,
790.9678955,0.0005100199487,790.9678955,0.006931157783,
789.9936523,-0.0009198408807,789.9936523,0.007444094401,
789.019043,-0.001340995077,789.019043,0.007647541817,
788.0440674,0.0002702041238,788.0440674,0.007032013033,
787.0687256,-0.000585921749,787.0687256,0.006333767436,
785.9535522,0.001939403592,785.9535522,0.009075327776,
784.977417,-0.0004072541196,784.977417,0.007994101383,
784.0009155,-0.0007256501704,784.0009155,0.0073817675,
783.0240479,0.001062026829,783.0240479,0.008300909773,
782.0467529,0.0002524356532,782.0467529,0.008386380039,
781.0691528,0.001318144496,781.0691528,0.009189743549,
779.951416,0.001690273522,779.951416,0.008627948351,
778.9730225,0.0005320494529,778.9730225,0.007365285419,
777.9942627,-0.0001610326435,777.9942627,0.008911132813,
777.0150757,0.0007274091477,777.0150757,0.00875429064,
776.0355835,-0.001249941415,776.0355835,0.008351783268,
775.0557251,0.0001175381985,775.0557251,0.007924630307,
773.9353638,0.001153274323,773.9353638,0.008772991598,
772.9547119,-4.94393862E-5,772.9547119,0.007192129735,
771.9736938,-0.002049724571,771.9736938,0.006675836165,
770.9923096,-1.164852983E-5,770.9923096,0.008327981457,
770.0105591,-0.0006814051303,770.0105591,0.006935839541,
769.0284424,0.00160122558,769.0284424,0.009238949977,
768.0459595,-0.001910524792,768.0459595,0.007086264435,
767.0631104,0.0002231425897,767.0631104,0.008642973378,
765.9394531,0.0003940855386,765.9394531,0.009323124774,
764.9558105,0.0005130521604,764.9558105,0.009064358659,
763.9718628,-0.001486465917,763.9718628,0.008955472149,
762.9874878,0.0003149393015,762.9874878,0.008497499861,
762.0028076,0.002367084147,762.0028076,0.009751364589,
761.0177612,-0.0009867384797,761.0177612,0.00867497921,
760.0323486,-0.0008818673086,760.0323486,0.007140838541,
759.0465698,0.0001623094577,759.0465698,0.00645660609,
758.0604248,-0.0005368019338,758.0604248,0.008018729277,
756.9329834,-0.0007314389222,756.9329834,0.006681540515,
755.946106,0.001021910924,755.946106,0.00954550039,
