kpi,,kpi_1%Triton,,10umBM3_kpi,,10umBM3_kpi_triton1%,,20umBM3_kpi,,20umBM3_kpi_triton1%,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
767.0631104,0.000742007629,767.0631104,0.004917831626,767.0631104,0.007402936928,767.0631104,0.005750444252,767.0631104,0.01292311959,767.0631104,0.01074659452,
765.9394531,0.0002106334287,765.9394531,0.005634204019,765.9394531,0.008713985793,765.9394531,0.006856990978,765.9394531,0.01376372855,765.9394531,0.01312581543,
764.9558105,0.0002650237293,764.9558105,0.005734417588,764.9558105,0.009135122411,764.9558105,0.005797479302,764.9558105,0.01452033501,764.9558105,0.0133689139,
763.9718628,4.038398765E-5,763.9718628,0.005735414103,763.9718628,0.009066605009,763.9718628,0.00621781731,763.9718628,0.01427822281,763.9718628,0.01156119816,
762.9874878,-0.00156792684,762.9874878,0.003037782386,762.9874878,0.00658533955,762.9874878,0.004700062331,762.9874878,0.01279553212,762.9874878,0.01264157146,
762.0028076,0.000681879581,762.0028076,0.00532138627,762.0028076,0.008570468053,762.0028076,0.007117550354,762.0028076,0.01341306977,762.0028076,0.01270345878,
761.0177612,0.001274032868,761.0177612,0.005823058076,761.0177612,0.009319713339,761.0177612,0.006302354392,761.0177612,0.01535422914,761.0177612,0.01251105685,
760.0323486,0.0003333061759,760.0323486,0.006620663684,760.0323486,0.0102581298,760.0323486,0.006256315392,760.0323486,0.01424893178,760.0323486,0.01284656301,
759.0465698,0.0007753552054,759.0465698,0.005443755072,759.0465698,0.008124927059,759.0465698,0.007410441525,759.0465698,0.01453420054,759.0465698,0.01473465003,
758.0604248,-0.0006192166475,758.0604248,0.004670677241,758.0604248,0.009255793877,758.0604248,0.006187095307,758.0604248,0.01552152261,758.0604248,0.01193242054,
756.9329834,0.0007489829441,756.9329834,0.006327253301,756.9329834,0.009672798216,756.9329834,0.006777552422,756.9329834,0.01505539753,756.9329834,0.01307691354,
755.946106,0.001398850232,755.946106,0.00641661929,755.946106,0.01034480892,755.946106,0.007622988429,755.946106,0.01520514954,755.946106,0.01471662801,
754.9588013,0.0001851759152,754.9588013,0.005314441863,754.9588013,0.009879251942,754.9588013,0.007425872143,754.9588013,0.01609086059,754.9588013,0.0137027055,
753.9711914,-0.0006142018829,753.9711914,0.00431833975,753.9711914,0.008697875775,753.9711914,0.007502927445,753.9711914,0.01458214223,753.9711914,0.01466706488,
752.9832153,0.001094672363,752.9832153,0.005418670364,752.9832153,0.00951319281,752.9832153,0.008184960112,752.9832153,0.01744132116,752.9832153,0.01614810899,
751.9949341,0.0005569311325,751.9949341,0.004486717749,751.9949341,0.008433358744,751.9949341,0.00659992639,751.9949341,0.01449399814,751.9949341,0.01473339181,
751.0062256,0.000560819055,751.0062256,0.004373822361,751.0062256,0.008270066231,751.0062256,0.006162519101,751.0062256,0.01533875614,751.0062256,0.0150234811,
750.0172119,-6.036188279E-5,750.0172119,0.00436142832,750.0172119,0.009438213892,750.0172119,0.007415023167,750.0172119,0.01591386832,750.0172119,0.01522037666,
749.027832,-0.0005565539468,749.027832,0.00480647292,749.027832,0.007998953573,749.027832,0.006741584744,749.027832,0.01483958401,749.027832,0.01447140984,
748.0380859,-0.0006651222357,748.0380859,0.003834489034,748.0380859,0.009020959027,748.0380859,0.007235846482,748.0380859,0.01550542563,748.0380859,0.01339643728,
747.0479736,0.0001506306871,747.0479736,0.005432876758,747.0479736,0.009431944229,747.0479736,0.006802216172,747.0479736,0.01560888253,747.0479736,0.01508793235,
746.0575562,7.049320993E-5,746.0575562,0.0042214063,746.0575562,0.008024451323,746.0575562,0.007807095535,746.0575562,0.01435727999,746.0575562,0.01440528315,
745.0667725,-0.001457158942,745.0667725,0.00451216707,745.0667725,0.008183826692,745.0667725,0.006170605775,745.0667725,0.01482364722,745.0667725,0.013439795,
743.934021,-0.0001561678509,743.934021,0.00531446794,743.934021,0.008501538076,743.934021,0.007941608317,743.934021,0.01577074453,743.934021,0.01462387852,
742.9424438,0.001448662486,742.9424438,0.006085228641,742.9424438,0.008862544782,742.9424438,0.008565372787,742.9424438,0.01731865108,742.9424438,0.01625368185,
741.9505615,0.0008409946458,741.9505615,0.00542988861,741.9505615,0.01119735744,741.9505615,0.009489697404,741.9505615,0.01620087959,741.9505615,0.01572897844,
740.958313,0.0008510838961,740.958313,0.005658304784,740.958313,0.0104672499,740.958313,0.008800595067,740.958313,0.0165269319,740.958313,0.01567342132,
739.9656982,0.000940289523,739.9656982,0.00540606305,739.9656982,0.01066904142,739.9656982,0.008150063455,739.9656982,0.01759952866,739.9656982,0.01640295982,
738.9727783,0.0007849502144,738.9727783,0.004840186331,738.9727783,0.008956291713,738.9727783,0.008277004585,738.9727783,0.01660384424,738.9727783,0.01521423738,
737.9794312,0.00123566261,737.9794312,0.006385278888,737.9794312,0.01058884896,737.9794312,0.007807991467,737.9794312,0.01770685427,737.9794312,0.01705946587,
736.9858398,0.0003728143638,736.9858398,0.005487427115,736.9858398,0.009322384372,736.9858398,0.008170690387,736.9858398,0.01831303351,736.9858398,0.01627727598,
735.9918213,-0.000735677022,735.9918213,0.005931003485,735.9918213,0.009359624237,735.9918213,0.007662480231,735.9918213,0.0170024205,735.9918213,0.01540572196,
734.9974976,0.0005862467224,734.9974976,0.004582219291,734.9974976,0.01026724838,734.9974976,0.007652205415,734.9974976,0.01672036946,734.9974976,0.01598256268,
734.0028076,0.0002860046807,734.0028076,0.004784278106,734.0028076,0.009383006021,734.0028076,0.007139338646,734.0028076,0.01583216526,734.0028076,0.01647667773,
733.0077515,-6.295011553E-5,733.0077515,0.003911719657,733.0077515,0.01073197462,733.0077515,0.007604837418,733.0077515,0.01683697663,733.0077515,0.015515754,
732.0123901,0.0008530032355,732.0123901,0.00485395547,732.0123901,0.01103103161,732.0123901,0.008205984719,732.0123901,0.01778821088,732.0123901,0.01697859727,
731.0166626,2.13046751E-5,731.0166626,0.004953203257,731.0166626,0.01088693179,731.0166626,0.008124980144,731.0166626,0.01812107302,731.0166626,0.01718850061,
730.0205688,-9.354181384E-5,730.0205688,0.004977239762,730.0205688,0.01073913835,730.0205688,0.007783665787,730.0205688,0.01677713543,730.0205688,0.01560413279,
729.0241699,3.699262379E-5,729.0241699,0.00557129737,729.0241699,0.01130167954,729.0241699,0.008510065265,729.0241699,0.01822917722,729.0241699,0.01731350459,
728.0274048,0.0003755865619,728.0274048,0.005249904469,728.0274048,0.0103965858,728.0274048,0.008638907224,728.0274048,0.01874861307,728.0274048,0.01659419015,
