ligand,km,vmax,rsq,column_num,protein_concentration,experiment_number,protein_days_thawed,file,plate_type,hours_before_reading
Palmitic Acid,12.1675761135551,0.09114896130656175,0.8954823342521125,13,3.8,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,0.7446730482144356,0.01440922957476283,0.7193351001315611,14,3.8,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,2.551546485400208,0.0545895793136582,0.2699267917392134,15,3.8,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,0.9994972807392054,0.015731882998658197,0.5055326825036464,16,3.8,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,36328380.63421573,6574.2864088520155,0.879877774258778,17,3.8,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,1.6795316475264452,0.048391792434698114,0.2823075412625613,18,3.8,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Lauric Acid,0.5306727325852649,0.05353127482659213,0.23101130103604828,19,3.8,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
,6.17648993560608,0.028398308616250263,0.2846749818675013,1,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,0.3908399117624549,0.09879920867666694,0.08491669268917679,2,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,3.827660354058509,0.05244431567184303,0.4563727686878487,3,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,-2.8624717353128437,0.04346085135009138,0.4625340920621397,4,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,3.2572847045778204,0.08114651157106341,0.5171832691156871,5,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,-2.182529117223811,0.056694812544052425,0.5322372542335687,6,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Arachadionic Acid,-3.34116361681007,0.05478029367741016,0.6340536859764926,7,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,10.511851019176428,0.06977067458031379,0.8235806403008201,8,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,3.298102882828624,0.023718231502527404,0.7907331128008063,9,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,8.923411639972512,0.08594344016007381,0.9503976945918978,10,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,1.4938002071580452,0.039730303840617244,0.5000692895279446,11,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,8.725924575168678,0.0447643661188323,0.2870068372083475,12,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Palmitic Acid,8.925248044555245,0.10052763069782429,0.9115810596852651,13,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,7.255668577015653,0.011802700997816136,0.8399884666064794,14,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,-0.7132068820403957,0.048000030839356125,0.19248589090762636,15,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,-8.439884521190995,0.003513289428179785,0.9500227716626451,16,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,45.22845650465622,0.0520329341125307,0.8711286450156337,17,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,6.971023001603896,0.04947459599838266,0.18499451263850142,18,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
Lauric Acid,1.9333100358775475,0.04698817458389762,0.21036036402078528,19,3.8,7,0,20190625_regularplate_boi2.CSV,Thermo 384 Well untreated non-sterile (262160),2
,8.607272411365567,0.022433463840993047,0.3159201947092669,1,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,0.04113910186132684,0.11890953272719845,0.17166348136548915,2,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,2.889310494697291,0.0734220297767949,0.4261203083556935,3,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,-2.3989279257821225,0.05849765231455744,0.46675042959852997,4,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,3.1627202978382076,0.09319905509852235,0.5965149547440569,5,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,-1.625143544018379,0.07353760162758578,0.6191493692890648,6,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,-3.024814569975204,0.06482682686207067,0.686780705764423,7,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,8.937271973908485,0.05693774087838337,0.8199468131149578,8,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,0.5956009567234788,0.01959198007284311,0.5706666468108188,9,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,15.774305887112721,0.07281453080548471,0.9580714439624147,10,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,3.944086796539233,0.04949910810519659,0.7306991569717535,11,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,8.712945007482595,0.04144425594026478,0.26424035264812074,12,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,11.9393621309447,0.07770033731157018,0.8462926360758297,13,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,10.103445533570742,0.010270286305588105,0.8552515365734441,14,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,0.4553305940432565,0.04145041486914978,0.20386616483467757,15,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,-6.441734335743639,0.0044890369981383065,0.8174334855862474,16,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,20.592452926963663,0.03462244362052284,0.8636919968061224,17,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,7.6930514767150155,0.040719975736003854,0.20491440919758108,18,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,2.406913591962836,0.037610611457394354,0.1961371797380922,19,3.8,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
