ligand,km,vmax,rsq,column_num,protein_concentration,experiment_number,protein_days_thawed,plate_type,centrifuge_rpm,centrifuge_minutes,file,hours_before_reading
Arachadionic Acid,30.318403569547865,0.3061132620542633,0.9437333591342315,3,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,48.292298649466574,0.31294777355904346,0.9033880997083359,4,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,47.930522417766134,0.33173086760643883,0.9033038081682847,5,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,19.28931130982403,0.09463782026985328,0.9780716255553726,6,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Arachadionic Acid,22.11985151839947,0.08936180718861479,0.923956654146296,7,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,17.804750229003652,0.09267573389119255,0.9305961405620531,8,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,22.369782103127193,0.0943983673295819,0.9015398135704383,9,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,7.7659004035275245,0.09094318010618281,0.42535005076302734,10,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,-4.915428753278329,0.029271913274851808,0.4329924957069077,11,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,0.6116890841416219,0.029555486802824302,0.34125666645597985,12,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Palmitic Acid,0.9872375017103845,0.03799463538511,0.30407537312288746,13,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,-2.5724028990371366,0.0430377785549724,0.7744267513680105,14,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
Lauric Acid,10.640520748890333,0.016376001344268015,0.7749836228244298,15,14.09,8,0,Corning 3660,2,3700,20190626_plate2.CSV,1
