baseline,,sample_5_in_1000,,target5um,,target10um,,target20um,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
761.0116577,0.0004457779869,761.0116577,0.002064022236,761.0116577,0.006297285203,761.0116577,0.00568594737,761.0116577,0.01214910951,
760.0256958,-0.0008096826496,760.0256958,0.0008156038821,760.0256958,0.002892844146,760.0256958,0.004280509893,760.0256958,0.01155266445,
759.0394287,-0.001360813738,759.0394287,-0.000541093701,759.0394287,0.002880596556,759.0394287,0.003665841417,759.0394287,0.01235037856,
758.0527954,0.0005055623478,758.0527954,0.002128920285,758.0527954,0.004765774123,758.0527954,0.003447890049,758.0527954,0.01349087432,
757.0657959,-0.0001037903276,757.0657959,0.002733001951,757.0657959,0.00495875394,757.0657959,0.004859269131,757.0657959,0.01377695519,
755.9373779,-8.815866022E-5,755.9373779,0.002191980835,755.9373779,0.004702443723,755.9373779,0.004902489949,755.9373779,0.01319932565,
754.949646,-8.738223551E-5,754.949646,0.002046206268,754.949646,0.005540463608,754.949646,0.005792206153,754.949646,0.01315641869,
753.9615479,0.0004933301243,753.9615479,0.002262336202,753.9615479,0.004476098809,753.9615479,0.006429807749,753.9615479,0.01361765061,
752.9730835,-0.0003294034104,752.9730835,0.0009175129817,752.9730835,0.005835414864,752.9730835,0.005018220283,752.9730835,0.01300753094,
751.9842529,5.87392351E-5,751.9842529,0.0005033335765,751.9842529,0.004520746414,751.9842529,0.006357171573,751.9842529,0.01343069132,
750.9950562,-0.0002683028288,750.9950562,0.002216567518,750.9950562,0.004451305605,750.9950562,0.005551973358,750.9950562,0.01455887966,
750.0055542,0.000397686963,750.0055542,0.00287788664,750.0055542,0.005460740998,750.0055542,0.007289596833,750.0055542,0.01675014943,
749.015625,-3.50999544E-5,749.015625,0.001367636025,749.015625,0.004715187475,749.015625,0.006310916506,749.015625,0.01495544799,
748.0253906,0.0009666734259,748.0253906,0.002256975975,748.0253906,0.004953910131,748.0253906,0.006823672913,748.0253906,0.01579949446,
747.03479,-0.0007153129554,747.03479,0.002307953779,747.03479,0.004687920678,747.03479,0.006386907306,747.03479,0.01649649441,
