ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc,auc_cv,std_405,type_shift,experiment_number,protein_days_thawed,file,plate_type,hours_before_reading
,-8.485840409476772,0.0024772390551669942,-0.810997361718597,1,3.8,0.105,[10.4655 -9.463  10.738   5.6875  9.335   3.8365 -2.9645  8.2375],1.5050803717568224,0.0187445230095925,-0.008888760079819086,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,28.202485163027966,0.07811808868076599,-2.4795358423369307,2,3.8,0.11800000000000002,[11.2935 12.5985  8.018   3.99    0.2205 10.869   1.978   6.4545],0.617243503206215,0.017406382244945184,0.013094455646095054,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,26.168961606014406,0.08054280790547827,-2.4272458375321837,3,3.8,0.091,[7.943  4.7585 5.598  8.4665 4.557  3.2755 9.368  9.3465],0.33587741657189346,0.009553421227123668,0.009371975805583584,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,28.831506959384633,0.07415415769891884,-2.30170879590787,4,3.8,0.081,[6.3455 5.3925 5.686  8.026  5.181  5.608  5.0485 0.2885],0.3960054278522097,0.010796824930109248,0.00946597782131537,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,29.526049456996105,0.07633894035410976,-2.504990904985655,5,3.8,0.08600000000000001,[ 6.278   4.644   6.7255  7.304   9.0715  8.706   3.3705 13.5435],0.39040383906004117,0.0027742437837054916,0.009437247983097781,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,29.094351795724542,0.07911656425047221,-2.4824333779887806,6,3.8,0.091,[ 8.1885  5.3785  5.0995 10.7875  6.828   4.3285 12.6455 10.296 ],0.35818541758281897,0.003116774889895919,0.008818850806689508,7,3,20190625_boi.CSV,Corning 3660,1
Arachadionic Acid,27.809370642878513,0.07517188289326472,-2.4186300516287997,7,3.8,0.089,[ 9.366   5.655   6.982   6.166   6.2235  0.819   9.0005 14.027 ],0.48484362133705183,0.0033700360320244125,0.007233316531554446,7,3,20190625_boi.CSV,Corning 3660,1
Palmitic Acid,105.64771223754065,0.02215556762686784,-2.0613106852475127,8,3.8,0.09899999999999999,[7.2425 5.74   5.008  5.778  9.4975 6.604  3.6205 7.402 ],0.2596313926031505,0.003918819064098629,-0.00012998991981269756,7,3,20190625_boi.CSV,Corning 3660,1
Palmitic Acid,103.87280710398471,0.017899187388605735,-2.105034957097807,9,3.8,0.09499999999999999,[6.9375 5.6    4.349  6.5455 4.9325 4.788  3.689  9.807 ],0.3108067768604874,0.002474873734152917,-0.001026915322939573,7,3,20190625_boi.CSV,Corning 3660,1
Palmitic Acid,114.38384327190622,0.023227061363681908,-2.1020611668276405,10,3.8,0.095,[ 7.704   7.3175  2.5145  2.4555  1.102   4.799   5.724  11.1155],0.582922140258071,0.0036425069859723157,-0.0006254536247092845,7,3,20190625_boi.CSV,Corning 3660,1
Palmitic Acid,68.69811068903552,0.015407758641057609,-2.2744859649328246,11,3.8,0.09799999999999998,[ 8.2145  6.718   5.683   8.304   6.055   5.785  10.0275  9.2855],0.20884517034606512,0.0033779748793788082,-0.0024014616936690603,7,3,20190625_boi.CSV,Corning 3660,1
Palmitic Acid,127.31816722165624,0.02196186948460093,-2.1444570916022543,12,3.8,0.09199999999999998,[ 7.903   3.5685  7.092   1.73    6.181   5.693  11.277  10.3705],0.4453747936701346,0.0031959796173138696,5.141128879444386e-06,7,3,20190625_boi.CSV,Corning 3660,1
Palmitic Acid,100.10554342442352,0.020976478964452674,-2.1514458744250256,13,3.8,0.097,[ 6.1325  6.8225  9.0845  7.5205 10.6605  6.208   7.979  12.0215],0.24087764822646068,0.00369362384967083,0.004241179435951258,7,3,20190625_boi.CSV,Corning 3660,1
Lauric Acid,528.5631347310448,0.008081871381696496,-1.8082091068551338,14,3.8,0.096,[ 5.363   6.9505 10.5115  8.011   5.751   2.4325  4.2145  7.352 ],0.3652637775456752,0.004407785320154716,0.0015304939500037891,7,3,20190625_boi.CSV,Corning 3660,1
Lauric Acid,-4.464558807167793,0.0030841192407951613,0.016850332313771865,15,3.8,0.099,[ 9.002   6.0245  8.2405  8.317  11.0065  0.352   0.6425 10.815 ],0.5769433437211888,0.004928053803045812,0.00031330645303726743,7,3,20190625_boi.CSV,Corning 3660,1
Lauric Acid,-4.237536127428992,0.0034629422687330108,0.17709794769195863,16,3.8,0.093,[ 6.9725  6.6235 11.049  10.3065 11.569   9.606   4.378   7.404 ],0.27768276995760666,0.0019820624179302275,-0.0023036290309575227,7,3,20190625_boi.CSV,Corning 3660,1
Lauric Acid,-6.508375180718914,0.0018839806782699022,-1.0512384529383065,17,3.8,0.10100000000000002,[ 8.32    4.662   9.9845  4.6405 17.177  12.3395  9.696   4.3075],0.46997711765701367,0.004138236339311712,-0.0004087197569998916,7,3,20190625_boi.CSV,Corning 3660,1
Lauric Acid,-7.446993366554285,0.0008738082086416256,-0.4504987398504934,18,3.8,0.09799999999999998,[ 6.7895  9.897   9.2825 10.095  10.4125  6.344   4.0855 10.378 ],0.2634972989714829,0.003482097069296029,-0.001527721772574064,7,3,20190625_boi.CSV,Corning 3660,1
Lauric Acid,-3.8675187535730404,0.0032985104027960454,-1.2641168569405892,19,3.8,0.094,[6.4015 6.2375 8.3635 8.236  7.1425 4.764  5.902  4.076 ],0.22219180981361747,0.003482097069296029,-0.0006974294363899746,7,3,20190625_boi.CSV,Corning 3660,1
,24.397746736794968,0.012988229458565134,-1.774798415803522,1,3.8,0.10499999999999998,[ 7.0325 15.378   2.859   7.4455 12.845   9.795  11.2475  7.4225],0.3954621767965253,0.0122240979801608,0.0037620463707809253,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Arachadionic Acid,10.899638193154018,0.06788878481179988,-1.9993290782223143,2,3.8,0.247,[ 3.0375  1.496  -3.925  88.653   0.966  17.6895  3.57    4.992 ],1.9640235840658022,0.06949190600350517,0.0308095262086924,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Arachadionic Acid,9.988068637693242,0.07001915872939074,-1.9660062113192045,3,3.8,0.056999999999999995,[-0.261   0.619   1.7915  2.0575  2.119   6.8475 -4.8715 19.055 ],1.9412641058633082,0.018470052981593117,0.01644868951425487,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
Arachadionic Acid,10.604161079128634,0.07453466990015721,-1.8841072848420342,4,3.8,0.05499999999999999,[-1.7935 -1.5455 -4.2095  6.0645  1.994   4.4235  5.5205 -0.163 ],2.760938859815423,0.024577047218899178,0.01488599294210015,7,3,20190625_regularplate_boi.CSV,Thermo 384 Well untreated non-sterile (262160),1
