ligand,km,vmax,rsq,column_num,protein_concentration,a420_max,auc,auc_cv,std_405,type_shift,experiment_number,protein_days_thawed,file,plate_type,hours_before_reading
Arachadionic Acid,5.61527074432214,0.07081562491965365,-1.3155344334976364,6,3.8,0.039999999999999994,[ -0.5875   0.7135  -1.1      6.529   10.3295  -0.3355  -3.358  -16.2635],-14.321365703581254,0.022199983912478082,0.023787348789638882,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Arachadionic Acid,5.451158357991162,0.07322172648000014,-1.3039150451880612,7,3.8,0.04600000000000001,[-0.9295 -4.0265 -1.526   3.586   8.777   7.2245  2.     -8.3725],6.369867397215605,0.02006240264773888,0.0211621975788059,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,51.77699680932473,0.03089864737874829,-2.2980692199662487,8,3.8,0.07,[-1.6885 -5.8735 -6.3935 -2.8005  0.803   1.1175  1.81   11.053 ],-20.92363252703318,0.013271209439986997,0.004829939513610951,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,64.05519531635245,0.025258146446898985,-2.1890387621902607,9,3.8,0.08299999999999999,[7.3045 5.742  6.781  5.7695 3.7755 3.4255 6.5975 7.815 ],0.2512059677500685,0.005890367439424178,1.144153372999152e-05,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,53.8899617533966,0.032236741051280944,-2.229155105284007,10,3.8,0.07200000000000001,[-5.73   -1.0695 -4.134   1.9395 -1.5745  3.3585 -1.2215  5.6975],-10.428130709797067,0.014849242404917497,0.011061340725016824,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,58.632524772095245,0.029225843381695038,-2.1013659760284895,11,3.8,0.07,[ 3.2215  0.359  -5.735  -0.5505 -4.0485  1.9005 -2.6285  6.037 ],-20.235083510957093,0.012150837713625231,0.0029336189510884856,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,36.39973626594723,0.024099641614213532,-1.985668694312889,12,3.8,0.08199999999999999,[ 6.0725 -0.5485  3.9315 -4.212  -4.1965  5.7695  4.629   8.3435],1.8268269257526142,0.01846231683340807,-0.0036093245967838985,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Palmitic Acid,-7.010226626988746,0.00817203287306081,-0.8329406416705747,13,3.8,0.07499999999999998,[-2.4565 -1.3565 -7.4675  0.398  -1.496   0.7775  1.1845 12.3715],21.489136549558467,0.016902556864907412,0.001625252014693886,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,40.234145065390294,0.0049728996151927884,-1.681614420216314,14,3.8,0.087,[4.7865 1.09   6.941  5.434  4.0865 6.583  8.3345 6.321 ],0.3778851660708242,0.0030207614933986434,-0.0014613407290955845,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,-3.819226139222783,0.006270559139747285,-0.2985281089914389,15,3.8,0.082,[ 5.6945 -2.261  -2.9435 -5.5635 -0.065  -3.328   7.2095  9.7565],5.0068311985680225,0.01962505686979931,-0.008716683467287108,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,60.24194435430516,0.008644726519548855,-1.7499575675211405,16,3.8,0.084,[ 9.5555  5.716  -0.4135  2.6435  2.5315  0.089   1.114  11.806 ],1.018999005246231,0.0029760952365713808,-0.00010529233876443902,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,-5.26154947539216,0.0037539077060755894,-1.1718681215353457,17,3.8,0.07999999999999999,[ 6.1945 -6.624  -4.8605 -2.579  -2.8895 -1.4725  0.8905  2.8585],-3.69847630939842,0.012118462891684856,-0.013203074590829877,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,52.06316355624143,0.01125694231271862,-1.9275350386502144,18,3.8,0.08299999999999999,[ 5.5105 -5.1335  1.5395 -4.4205  0.8695  4.7235  6.5395  5.3495],2.2742056863283953,0.020026767801405915,-0.004025957659674315,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
Lauric Acid,79.17859435859842,0.008926662442839541,-1.3303321145042735,19,3.8,0.08199999999999999,[ 3.9305 -8.16    2.9565 -1.6485 -1.8975 -0.8155  6.931   0.4805],19.208257987622492,0.018085116216696773,-0.005786794356166658,7,3,20190625_regularplate_boi3.CSV,Thermo 384 Well untreated non-sterile (262160),3
