,SrcID,DestID,Volume
1,E1,A0,200.0
3,E1,B0,200.0
4,F1,A1,10.0
5,E1,A1,190.0
6,F1,I1,10.0
7,E1,I1,190.0
8,F1,I1,30.0
9,E1,I1,170.0
10,F1,J1,30.0
11,E1,J1,170.0
12,F1,C1,55.0
13,E1,C1,145.0
14,F1,K1,55.0
15,E1,K1,145.0
16,F1,D1,85.0
17,E1,D1,115.0
18,F1,L1,85.0
19,E1,L1,115.0
20,F1,E1,120.0
21,E1,E1,80.0
22,F1,M1,120.0
23,E1,M1,80.0
24,F1,F1,157.5
25,E1,F1,42.5
26,F1,N1,157.5
27,E1,N1,42.5
28,F1,G1,200.0
30,F1,O1,200.0
33,E1,A0,1000.0
35,E1,B0,1000.0
36,F1,A2,142.5
37,E1,A2,857.5
38,F1,I2,142.5
39,E1,I2,857.5
40,F1,J2,285.0
41,E1,J2,715.0
42,F1,J2,285.0
43,E1,J2,715.0
44,F1,C2,427.5
45,E1,C2,572.5
46,F1,K2,427.5
47,E1,K2,572.5
48,F1,D2,572.5
49,E1,D2,427.5
50,F1,L2,572.5
51,E1,L2,427.5
52,F1,E2,715.0
53,E1,E2,285.0
54,F1,M2,715.0
55,E1,M2,285.0
56,F1,F2,857.5
57,E2,F2,142.5
58,F1,N2,857.5
59,E2,N2,142.5
60,F1,G2,1000.0
62,F1,O2,1000.0
65,E2,A0,637.5
67,E2,B0,637.5
68,F1,A3,5.0
69,E2,A3,632.5
70,F1,I3,5.0
71,E2,I3,632.5
72,F1,K3,22.5
73,E2,K3,615.0
74,F1,J3,22.5
75,E2,J3,615.0
76,F1,C3,67.5
77,E2,C3,570.0
78,F1,K3,67.5
79,E2,K3,570.0
80,F2,D3,145.0
81,E2,D3,492.5
82,F2,L3,145.0
83,E2,L3,492.5
84,F2,E3,262.5
85,E2,E3,375.0
86,F2,M3,262.5
87,E2,M3,375.0
88,F2,F3,425.0
89,E2,F3,212.5
90,F2,N3,425.0
91,E2,N3,212.5
92,F2,G3,637.5
94,F2,O3,637.5
97,E2,A0,200.0
99,E2,B0,200.0
101,E2,A4,200.0
103,E2,I4,200.0
104,F2,L4,2.5
105,E2,L4,197.5
106,F2,J4,2.5
107,E2,J4,197.5
108,F2,C4,7.5
109,E2,C4,192.5
110,F2,K4,7.5
111,E2,K4,192.5
112,F2,D4,22.5
113,E2,D4,177.5
114,F2,L4,22.5
115,E2,L4,177.5
116,F2,E4,52.5
117,E2,E4,147.5
118,F2,M4,52.5
119,E2,M4,147.5
120,F2,F4,107.5
121,E3,F4,92.5
122,F2,N4,107.5
123,E3,N4,92.5
124,F2,G4,200.0
126,F2,O4,200.0
129,E3,A0,200.0
131,E3,B0,200.0
133,E3,A5,200.0
135,E3,I5,200.0
136,F2,M5,2.5
137,E3,M5,197.5
138,F2,J5,2.5
139,E3,J5,197.5
140,F2,C5,7.5
141,E3,C5,192.5
142,F2,K5,7.5
143,E3,K5,192.5
144,F2,D5,22.5
145,E3,D5,177.5
146,F2,L5,22.5
147,E3,L5,177.5
148,F2,E5,52.5
149,E3,E5,147.5
150,F2,M5,52.5
151,E3,M5,147.5
152,F2,F5,107.5
153,E3,F5,92.5
154,F2,N5,107.5
155,E3,N5,92.5
156,F2,G5,200.0
158,F2,O5,200.0
161,E3,A0,200.0
163,E3,B0,200.0
164,F2,A6,10.0
165,E3,A6,190.0
166,F2,I6,10.0
167,E3,I6,190.0
168,F2,N6,30.0
169,E3,N6,170.0
170,F2,J6,30.0
171,E3,J6,170.0
172,F2,C6,55.0
173,E3,C6,145.0
174,F2,K6,55.0
175,E3,K6,145.0
176,F2,D6,85.0
177,E3,D6,115.0
178,F2,L6,85.0
179,E3,L6,115.0
180,F2,E6,120.0
181,E3,E6,80.0
182,F2,M6,120.0
183,E3,M6,80.0
184,F2,F6,157.5
185,E3,F6,42.5
186,F2,N6,157.5
187,E3,N6,42.5
188,F2,G6,200.0
190,F2,O6,200.0
193,E3,A0,1000.0
195,E3,B0,1000.0
196,F2,A7,142.5
197,E3,A7,857.5
198,F2,I7,142.5
199,E3,I7,857.5
200,F2,O7,285.0
201,E3,O7,715.0
202,F2,J7,285.0
203,E3,J7,715.0
204,F2,C7,427.5
205,E4,C7,572.5
206,F2,K7,427.5
207,E4,K7,572.5
208,F2,D7,572.5
209,E4,D7,427.5
210,F2,L7,572.5
211,E4,L7,427.5
212,F2,E7,715.0
213,E4,E7,285.0
214,F2,M7,715.0
215,E4,M7,285.0
216,F3,F7,857.5
217,E4,F7,142.5
218,F3,N7,857.5
219,E4,N7,142.5
220,F3,G7,1000.0
222,F3,O7,1000.0
225,E4,A0,637.5
227,E4,B0,637.5
228,F3,A8,5.0
229,E4,A8,632.5
230,F3,I8,5.0
231,E4,I8,632.5
232,F3,P8,22.5
233,E4,P8,615.0
234,F3,J8,22.5
235,E4,J8,615.0
236,F3,C8,67.5
237,E4,C8,570.0
238,F3,K8,67.5
239,E4,K8,570.0
240,F3,D8,145.0
241,E4,D8,492.5
242,F3,L8,145.0
243,E4,L8,492.5
244,F3,E8,262.5
245,E4,E8,375.0
246,F3,M8,262.5
247,E4,M8,375.0
248,F3,F8,425.0
249,E5,F8,212.5
250,F3,N8,425.0
251,E5,N8,212.5
252,F3,G8,637.5
254,F3,O8,637.5
257,E5,A0,1450.0
259,E5,B0,1450.0
260,F3,A9,7.5
