kpi,,kpiTriton,,kpi_5uMBM3,,kpitriton__5uMBM3,,kpitriton__10uMBM4,,kpi__10uMBM5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
767.0631104,0.0003312077897,767.0631104,0.002210583305,767.0631104,0.005013009068,767.0631104,-0.0002793232852,767.0631104,0.008187572472,767.0631104,0.00637892168,
765.9394531,-0.003836236661,765.9394531,9.990543913E-5,765.9394531,0.003043882316,765.9394531,0.0004089837312,765.9394531,0.005375712644,765.9394531,0.006608389318,
764.9558105,-0.0006170970155,764.9558105,0.001683127251,764.9558105,0.003973367624,764.9558105,0.002095858799,764.9558105,0.00735720247,764.9558105,0.001495441422,
763.9718628,0.003507854184,763.9718628,0.004875368439,763.9718628,0.001127657713,763.9718628,0.0007495015743,763.9718628,0.004959696904,763.9718628,0.005839481484,
762.9874878,0.004002653062,762.9874878,0.004426644184,762.9874878,0.002620170591,762.9874878,0.001103885123,762.9874878,0.007807780523,762.9874878,0.01223355718,
762.0028076,0.001851760317,762.0028076,0.005025945604,762.0028076,0.003612485249,762.0028076,0.003677615197,762.0028076,0.006929894909,762.0028076,0.007940896787,
761.0177612,0.005952443928,761.0177612,0.004083127715,761.0177612,0.004780849442,761.0177612,0.006075594574,761.0177612,0.008829468861,761.0177612,0.009327911772,
760.0323486,-0.00278199208,760.0323486,0.0002939310798,760.0323486,-0.0003633904562,760.0323486,-0.0004308910866,760.0323486,0.003091511084,760.0323486,0.005857270211,
759.0465698,0.002202699892,759.0465698,0.003635873552,759.0465698,0.003090520389,759.0465698,0.003495145822,759.0465698,0.004157789052,759.0465698,0.007897741161,
758.0604248,-0.001324065961,758.0604248,0.003548122011,758.0604248,0.001496506389,758.0604248,0.0002051429765,758.0604248,0.005815213546,758.0604248,0.005524077453,
756.9329834,0.0004259294365,756.9329834,0.000682294427,756.9329834,0.00158215547,756.9329834,0.003295876784,756.9329834,0.003431817517,756.9329834,0.006244707853,
755.946106,-0.000796970271,755.946106,0.002878642408,755.946106,0.006588887889,755.946106,0.004403998144,755.946106,0.006635067053,755.946106,0.005631555337,
754.9588013,0.003386055585,754.9588013,0.006813075859,754.9588013,0.005144642666,754.9588013,0.008837948553,754.9588013,0.01171373855,754.9588013,0.008182164282,
753.9711914,-0.003241480328,753.9711914,0.0006100946339,753.9711914,-0.0003929265076,753.9711914,0.002489300212,753.9711914,0.004276588559,753.9711914,0.005656468682,
752.9832153,0.002029119059,752.9832153,0.00380497938,752.9832153,0.002475033281,752.9832153,0.004681065213,752.9832153,0.007225818466,752.9832153,0.009502873756,
