baseline,,bm3WT_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
699.9805298,0.0007009101682,699.9805298,0.006469348911,
698.973999,-0.0001937908819,698.973999,0.006156821735,
697.9671631,5.842855899E-5,697.9671631,0.006892442238,
696.960022,0.0003608449479,696.960022,0.006920557935,
695.9524536,-0.0003703220573,695.9524536,0.004700088408,
694.9446411,0.001829767716,694.9446411,0.006259387825,
693.9364624,-0.0003102619085,693.9364624,0.004103013314,
692.9279785,-0.0001870117412,692.9279785,0.006261672825,
692.0632935,0.001601407421,692.0632935,0.006898728199,
691.0541992,0.001831509406,691.0541992,0.007695678622,
690.0447388,-0.002356003039,690.0447388,0.004410823341,
689.0350342,0.0008147220942,689.0350342,0.006751680747,
688.0249634,-0.000284911046,688.0249634,0.006775869522,
687.0145264,-3.71706592E-5,687.0145264,0.007243584841,
686.0037842,0.001787345507,686.0037842,0.007190655917,
684.9927368,-0.0006951546529,684.9927368,0.006993603893,
683.9813843,0.0009840300772,683.9813843,0.006619980093,
682.9696655,-2.324497837E-5,682.9696655,0.00694275694,
681.9577026,-0.0001177134327,681.9577026,0.006967745721,
680.9453125,0.0003313114285,680.9453125,0.009352244437,
679.9326782,0.0001429917465,679.9326782,0.005323246587,
679.0643921,-0.0001841137419,679.0643921,0.005892718211,
678.0511475,0.002252890728,678.0511475,0.008781602606,
677.0375977,-0.0003172460711,677.0375977,0.008809681982,
676.0236816,0.002170361113,676.0236816,0.008637349121,
675.0094604,-0.000280461536,675.0094604,0.007314816117,
673.9949341,-3.173503865E-5,673.9949341,0.006323917769,
672.9801025,0.0006562389317,672.9801025,0.00636620773,
671.9649048,-0.0008775272872,671.9649048,0.005825445522,
670.9494629,0.0006817240501,670.9494629,0.00835898798,
669.9336548,0.001977862092,669.9336548,0.008068225347,
669.0626831,0.0004915937898,669.0626831,0.008930343203,
668.0463257,0.002063527936,668.0463257,0.008870100603,
667.0296021,-0.001690631034,667.0296021,0.006188066676,
666.0125732,-0.0009305864805,666.0125732,0.007561768405,
664.9953003,0.002407819033,664.9953003,0.0119828973,
663.9776001,0.0008740125922,663.9776001,0.00955852028,
662.9596558,0.002582280198,662.9596558,0.01051251683,
661.9414063,-0.0001968440629,661.9414063,0.007438274566,
661.0683594,0.001911920495,661.0683594,0.01003557444,
660.0494995,0.0009646757971,660.0494995,0.008941837586,
659.0303345,0.001217179699,659.0303345,0.008707488887,
658.0108643,-0.001310233027,658.0108643,0.009474987164,
656.9910889,-0.0004409764952,656.9910889,0.007962225005,
655.9710083,0.0008777736221,655.9710083,0.00880450476,
654.9505615,0.001088340301,654.9505615,0.01266323868,
653.9298706,0.001909476472,653.9298706,0.01175621152,
653.0547485,0.0007988763973,653.0547485,0.007565983105,
652.0334473,-0.0002755981113,652.0334473,0.007690145168,
651.0118408,0.0005366628175,651.0118408,0.008962501772,
649.9899292,0.002229056554,649.9899292,0.01187947579,
648.9677734,0.002331505995,648.9677734,0.01170381997,
647.9452515,0.0004517897323,647.9452515,0.01076108217,
647.0685425,-0.0007126252167,647.0685425,0.01074823923,
