,SrcWell,Destination Well,Volume
1,D1,A1,1000.0
3,D1,A2,1000.0
4,C1,B1,2.5
5,D1,B1,997.5
6,C1,B2,2.5
7,D1,B2,997.5
8,C1,C1,22.5
9,D1,C1,977.5
10,C1,C2,22.5
11,D1,C2,977.5
12,C1,D1,77.5
13,D1,D1,922.5
14,C1,D2,77.5
15,D1,D2,922.5
16,C1,E1,187.5
17,D1,E1,812.5
18,C1,E2,187.5
19,D1,E2,812.5
20,C1,F1,365.0
21,D1,F1,635.0
22,C1,F2,365.0
23,D1,F2,635.0
24,C1,G1,630.0
25,D1,G1,370.0
26,C1,G2,630.0
27,D1,G2,370.0
28,C1,H1,1000.0
30,C1,H2,1000.0
33,D1,I1,1000.0
35,D1,I2,1000.0
36,C1,J1,2.5
37,D1,J1,997.5
38,C1,J2,2.5
39,D1,J2,997.5
40,C1,K1,22.5
41,D1,K1,977.5
42,C1,K2,22.5
43,D1,K2,977.5
44,C1,L1,77.5
45,D1,L1,922.5
46,C1,L2,77.5
47,D1,L2,922.5
48,C1,M1,187.5
49,D1,M1,812.5
50,C1,M2,187.5
51,D1,M2,812.5
52,C1,N1,365.0
53,D1,N1,635.0
54,C1,N2,365.0
55,D1,N2,635.0
56,C1,O1,630.0
57,D1,O1,370.0
58,C1,O2,630.0
59,D1,O2,370.0
60,C1,P1,1000.0
62,C1,P2,1000.0
65,D2,A3,1000.0
67,D2,A4,1000.0
68,C1,B3,2.5
69,D2,B3,997.5
70,C1,B4,2.5
71,D2,B4,997.5
72,C1,C3,22.5
73,D2,C3,977.5
74,C1,C4,22.5
75,D2,C4,977.5
76,C1,D3,77.5
77,D2,D3,922.5
78,C1,D4,77.5
79,D2,D4,922.5
80,C1,E3,187.5
81,D2,E3,812.5
82,C1,E4,187.5
83,D2,E4,812.5
84,C1,F3,365.0
85,D2,F3,635.0
86,C1,F4,365.0
87,D2,F4,635.0
88,C1,G3,630.0
89,D2,G3,370.0
90,C1,G4,630.0
91,D2,G4,370.0
92,C1,H3,1000.0
94,C1,H4,1000.0
97,D2,I3,1000.0
