,SrcWell,Destination Well,Volume
587,D18,C20,1952.5
588,C7,D19,157.5
589,D18,D19,1842.5
590,C7,D20,157.5
591,D18,D20,1842.5
592,C7,E19,372.5
593,D18,E19,1627.5
594,C7,E20,372.5
595,D18,E20,1627.5
596,C7,F19,730.0
597,D18,F19,1270.0
598,C7,F20,730.0
599,D18,F20,1270.0
600,C7,G19,1260.0
601,D18,G19,740.0
602,C7,G20,1260.0
603,D18,G20,740.0
604,C8,H19,2000.0
605,D18,H19,0.0
606,C8,H20,2000.0
607,D18,H20,0.0
608,C8,I19,0.0
609,D18,I19,2000.0
610,C8,I20,0.0
611,D18,I20,2000.0
612,C8,J19,5.0
613,D18,J19,1995.0
614,C8,J20,5.0
615,D18,J20,1995.0
616,C8,K19,47.5
617,D18,K19,1952.5
618,C8,K20,47.5
619,D18,K20,1952.5
620,C8,L19,157.5
621,D18,L19,1842.5
622,C8,L20,157.5
623,D18,L20,1842.5
624,C8,M19,372.5
625,D18,M19,1627.5
626,C8,M20,372.5
627,D18,M20,1627.5
628,C8,N19,730.0
629,D18,N19,1270.0
630,C8,N20,730.0
631,D18,N20,1270.0
632,C8,O19,1260.0
633,D18,O19,740.0
634,C8,O20,1260.0
635,D18,O20,740.0
636,C8,P19,2000.0
637,D18,P19,0.0
638,C8,P20,2000.0
639,D18,P20,0.0
640,C8,A21,0.0
641,D18,A21,2000.0
642,C8,A22,0.0
643,D18,A22,2000.0
644,C8,B21,5.0
645,D18,B21,1995.0
646,C8,B22,5.0
647,D18,B22,1995.0
648,C8,C21,47.5
649,D18,C21,1952.5
650,C8,C22,47.5
651,D18,C22,1952.5
652,C8,D21,157.5
653,D18,D21,1842.5
654,C8,D22,157.5
655,D18,D22,1842.5
656,C8,E21,372.5
657,D18,E21,1627.5
658,C8,E22,372.5
659,D18,E22,1627.5
660,C8,F21,730.0
661,D18,F21,1270.0
662,C8,F22,730.0
663,D18,F22,1270.0
664,C8,G21,1260.0
665,D18,G21,740.0
666,C8,G22,1260.0
667,D18,G22,740.0
668,C8,H21,2000.0
669,D19,H21,0.0
670,C8,H22,2000.0
671,D19,H22,0.0
672,C8,I21,0.0
673,D19,I21,2000.0
674,C8,I22,0.0
675,D19,I22,2000.0
676,C8,J21,5.0
677,D19,J21,1995.0
678,C8,J22,5.0
679,D19,J22,1995.0
680,C8,K21,47.5
681,D19,K21,1952.5
682,C8,K22,47.5
683,D19,K22,1952.5
684,C8,L21,157.5
685,D19,L21,1842.5
686,C8,L22,157.5
687,D19,L22,1842.5
688,C8,M21,372.5
689,D19,M21,1627.5
690,C8,M22,372.5
691,D19,M22,1627.5
692,C8,N21,730.0
693,D19,N21,1270.0
694,C8,N22,730.0
695,D19,N22,1270.0
696,C8,O21,1260.0
697,D19,O21,740.0
698,C8,O22,1260.0
699,D19,O22,740.0
700,C8,P21,2000.0
701,D19,P21,0.0
702,C8,P22,2000.0
703,D19,P22,0.0
704,C8,A23,0.0
705,D19,A23,2000.0
706,C8,A24,0.0
707,D19,A24,2000.0
708,C8,B23,5.0
709,D19,B23,1995.0
710,C8,B24,5.0
711,D19,B24,1995.0
712,C8,C23,47.5
713,D19,C23,1952.5
714,C8,C24,47.5
715,D19,C24,1952.5
716,C8,D23,157.5
717,D19,D23,1842.5
718,C8,D24,157.5
719,D19,D24,1842.5
720,C8,E23,372.5
721,D19,E23,1627.5
722,C8,E24,372.5
723,D19,E24,1627.5
724,C8,F23,730.0
725,D19,F23,1270.0
726,C8,F24,730.0
727,D19,F24,1270.0
728,C8,G23,1260.0
729,D19,G23,740.0
730,C8,G24,1260.0
731,D19,G24,740.0
732,C8,H23,2000.0
733,D19,H23,0.0
734,C8,H24,2000.0
735,D19,H24,0.0
736,C8,I23,0.0
737,D19,I23,2000.0
738,C8,I24,0.0
739,D19,I24,2000.0
740,C8,J23,5.0
741,D19,J23,1995.0
742,C8,J24,5.0
743,D19,J24,1995.0
744,C8,K23,47.5
745,D19,K23,1952.5
746,C8,K24,47.5
747,D19,K24,1952.5
748,C8,L23,157.5
749,D19,L23,1842.5
750,C8,L24,157.5
751,D19,L24,1842.5
752,C8,M23,372.5
753,D19,M23,1627.5
754,C8,M24,372.5
755,D19,M24,1627.5
756,C8,N23,730.0
757,D19,N23,1270.0
758,C8,N24,730.0
759,D19,N24,1270.0
760,C8,O23,1260.0
761,D19,O23,740.0
762,C8,O24,1260.0
763,D19,O24,740.0
764,C8,P23,2000.0
765,D19,P23,0.0
766,C8,P24,2000.0
767,D19,P24,0.0
