,SrcWell,Destination Well,Volume
0,C2,A1,0.0
1,D5,A1,1000.0
2,C2,A2,0.0
3,D5,A2,1000.0
4,C2,B1,2.5
5,D5,B1,997.5
6,C2,B2,2.5
7,D5,B2,997.5
8,C2,C1,22.5
9,D5,C1,977.5
10,C2,C2,22.5
11,D5,C2,977.5
12,C2,D1,77.5
13,D5,D1,922.5
14,C2,D2,77.5
15,D5,D2,922.5
16,C2,E1,187.5
17,D5,E1,812.5
18,C2,E2,187.5
19,D5,E2,812.5
20,C2,F1,365.0
21,D5,F1,635.0
22,C2,F2,365.0
23,D5,F2,635.0
24,C2,G1,630.0
25,D5,G1,370.0
26,C2,G2,630.0
27,D5,G2,370.0
28,C2,H1,1000.0
29,D5,H1,0.0
30,C2,H2,1000.0
31,D5,H2,0.0
32,C2,I1,0.0
33,D5,I1,1000.0
34,C2,I2,0.0
35,D5,I2,1000.0
36,C2,J1,2.5
37,D5,J1,997.5
38,C2,J2,2.5
39,D5,J2,997.5
40,C2,K1,22.5
41,D5,K1,977.5
42,C2,K2,22.5
43,D5,K2,977.5
44,C2,L1,77.5
45,D5,L1,922.5
46,C2,L2,77.5
47,D5,L2,922.5
48,C2,M1,187.5
49,D5,M1,812.5
50,C2,M2,187.5
51,D5,M2,812.5
52,C2,N1,365.0
53,D5,N1,635.0
54,C2,N2,365.0
55,D5,N2,635.0
56,C2,O1,630.0
57,D5,O1,370.0
58,C2,O2,630.0
59,D5,O2,370.0
60,C2,P1,1000.0
61,D5,P1,0.0
62,C2,P2,1000.0
63,D5,P2,0.0
64,C3,A3,0.0
65,D5,A3,1000.0
66,C3,A4,0.0
67,D5,A4,1000.0
68,C3,B3,2.5
69,D5,B3,997.5
70,C3,B4,2.5
71,D5,B4,997.5
72,C3,C3,22.5
73,D6,C3,977.5
74,C3,C4,22.5
75,D6,C4,977.5
76,C3,D3,77.5
77,D6,D3,922.5
78,C3,D4,77.5
79,D6,D4,922.5
80,C3,E3,187.5
81,D6,E3,812.5
82,C3,E4,187.5
83,D6,E4,812.5
84,C3,F3,365.0
85,D6,F3,635.0
86,C3,F4,365.0
87,D6,F4,635.0
88,C3,G3,630.0
89,D6,G3,370.0
90,C3,G4,630.0
91,D6,G4,370.0
92,C3,H3,1000.0
93,D6,H3,0.0
94,C3,H4,1000.0
95,D6,H4,0.0
96,C3,I3,0.0
97,D6,I3,1000.0
98,C3,I4,0.0
99,D6,I4,1000.0
100,C3,J3,2.5
101,D6,J3,997.5
102,C3,J4,2.5
103,D6,J4,997.5
104,C3,K3,22.5
105,D6,K3,977.5
106,C3,K4,22.5
107,D6,K4,977.5
108,C3,L3,77.5
109,D6,L3,922.5
110,C3,L4,77.5
111,D6,L4,922.5
112,C3,M3,187.5
113,D6,M3,812.5
114,C3,M4,187.5
115,D6,M4,812.5
116,C3,N3,365.0
117,D6,N3,635.0
118,C3,N4,365.0
119,D6,N4,635.0
120,C3,O3,630.0
121,D6,O3,370.0
122,C3,O4,630.0
123,D6,O4,370.0
124,C3,P3,1000.0
125,D6,P3,0.0
126,C3,P4,1000.0
127,D6,P4,0.0
128,C3,A5,0.0
129,D6,A5,1000.0
130,C3,A6,0.0
131,D6,A6,1000.0
132,C3,B5,2.5
133,D6,B5,997.5
134,C3,B6,2.5
135,D6,B6,997.5
136,C3,C5,22.5
137,D6,C5,977.5
138,C3,C6,22.5
139,D6,C6,977.5
140,C3,D5,77.5
141,D6,D5,922.5
142,C3,D6,77.5
143,D6,D6,922.5
144,C3,E5,187.5
145,D6,E5,812.5
146,C3,E6,187.5
147,D6,E6,812.5
148,C3,F5,365.0
149,D6,F5,635.0
150,C3,F6,365.0
151,D6,F6,635.0
152,C3,G5,630.0
153,D6,G5,370.0
154,C3,G6,630.0
155,D6,G6,370.0
156,C3,H5,1000.0
157,D6,H5,0.0
158,C3,H6,1000.0
159,D6,H6,0.0
160,C3,I5,0.0
161,D6,I5,1000.0
162,C3,I6,0.0
163,D6,I6,1000.0
164,C3,J5,2.5
165,D6,J5,997.5
166,C3,J6,2.5
167,D6,J6,997.5
168,C3,K5,22.5
169,D6,K5,977.5
170,C3,K6,22.5
171,D6,K6,977.5
172,C3,L5,77.5
173,D6,L5,922.5
174,C3,L6,77.5
175,D6,L6,922.5
176,C3,M5,187.5
177,D6,M5,812.5
178,C3,M6,187.5
179,D6,M6,812.5
180,C3,N5,365.0
181,D6,N5,635.0
182,C3,N6,365.0
183,D6,N6,635.0
184,C3,O5,630.0
185,D6,O5,370.0
186,C3,O6,630.0
187,D6,O6,370.0
188,C3,P5,1000.0
189,D6,P5,0.0
190,C3,P6,1000.0
191,D6,P6,0.0
192,C3,A7,0.0
193,D6,A7,1000.0
194,C3,A8,0.0
195,D6,A8,1000.0
196,C3,B7,2.5
197,D6,B7,997.5
198,C3,B8,2.5
199,D6,B8,997.5
200,C3,C7,22.5
201,D6,C7,977.5
202,C3,C8,22.5
203,D6,C8,977.5
204,C3,D7,77.5
205,D6,D7,922.5
206,C3,D8,77.5
207,D6,D8,922.5
208,C3,E7,187.5
209,D6,E7,812.5
210,C3,E8,187.5
211,D6,E8,812.5
212,C3,F7,365.0
213,D6,F7,635.0
214,C3,F8,365.0
215,D6,F8,635.0
216,C3,G7,630.0
217,D6,G7,370.0
218,C3,G8,630.0
219,D6,G8,370.0
220,C3,H7,1000.0
221,D6,H7,0.0
222,C3,H8,1000.0
223,D6,H8,0.0
224,C3,I7,0.0
225,D6,I7,1000.0
226,C3,I8,0.0
227,D6,I8,1000.0
228,C3,J7,2.5
229,D6,J7,997.5
230,C3,J8,2.5
231,D6,J8,997.5
232,C3,K7,22.5
233,D6,K7,977.5
234,C3,K8,22.5
235,D6,K8,977.5
236,C3,L7,77.5
237,D6,L7,922.5
238,C3,L8,77.5
239,D6,L8,922.5
240,C3,M7,187.5
241,D6,M7,812.5
242,C3,M8,187.5
243,D6,M8,812.5
244,C3,N7,365.0
245,D6,N7,635.0
246,C3,N8,365.0
247,D6,N8,635.0
248,C3,O7,630.0
249,D6,O7,370.0
250,C3,O8,630.0
251,D6,O8,370.0
252,C3,P7,1000.0
253,D6,P7,0.0
254,C3,P8,1000.0
255,D6,P8,0.0
256,C3,A9,0.0
257,D6,A9,1500.0
258,C3,A10,0.0
259,D6,A10,1500.0
260,C3,B9,5.0
261,D6,B9,1495.0
262,C3,B10,5.0
263,D6,B10,1495.0
264,C3,C9,35.0
265,D6,C9,1465.0
266,C3,C10,35.0
267,D6,C10,1465.0
268,C3,D9,117.5
269,D6,D9,1382.5
270,C3,D10,117.5
271,D6,D10,1382.5
272,C3,E9,280.0
273,D6,E9,1220.0
274,C3,E10,280.0
275,D6,E10,1220.0
276,C3,F9,547.5
277,D6,F9,952.5
278,C3,F10,547.5
279,D6,F10,952.5
280,C3,G9,945.0
281,D6,G9,555.0
282,C3,G10,945.0
283,D6,G10,555.0
284,C3,H9,1500.0
285,D6,H9,0.0
286,C3,H10,1500.0
287,D6,H10,0.0
288,C3,I9,0.0
289,D6,I9,1500.0
290,C3,I10,0.0
291,D6,I10,1500.0
292,C3,J9,5.0
293,D6,J9,1495.0
294,C3,J10,5.0
295,D6,J10,1495.0
296,C3,K9,35.0
297,D7,K9,1465.0
298,C3,K10,35.0
299,D7,K10,1465.0
300,C3,L9,117.5
301,D7,L9,1382.5
302,C3,L10,117.5
303,D7,L10,1382.5
304,C3,M9,280.0
305,D7,M9,1220.0
306,C3,M10,280.0
307,D7,M10,1220.0
308,C3,N9,547.5
309,D7,N9,952.5
310,C3,N10,547.5
311,D7,N10,952.5
312,C3,O9,945.0
313,D7,O9,555.0
314,C3,O10,945.0
315,D7,O10,555.0
316,C3,P9,1500.0
317,D7,P9,0.0
318,C3,P10,1500.0
319,D7,P10,0.0
320,C3,A11,0.0
321,D7,A11,1500.0
322,C3,A12,0.0
323,D7,A12,1500.0
324,C3,B11,5.0
325,D7,B11,1495.0
326,C3,B12,5.0
