blank,,bm3Rep2_workingconc,,bm3Rep3_workingconc,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0281372,-0.001101241331,800.0281372,0.003367689671,800.0281372,0.003297833027,
799.0550537,0.0008307758835,799.0550537,0.005930452608,799.0550537,0.003600948257,
797.9424438,-0.0003516996221,797.9424438,0.003051885171,797.9424438,0.002877078718,
796.9685059,-0.0003181255597,796.9685059,0.004768600687,796.9685059,0.004608144984,
795.9942017,-0.0003569243418,795.9942017,0.003218677593,795.9942017,0.002240609145,
795.0194702,-0.001274874667,795.0194702,0.003683071351,795.0194702,0.004195477348,
794.0444336,-6.093129559E-5,794.0444336,0.004944877233,794.0444336,0.00363874482,
793.0690308,-0.002352295676,793.0690308,0.001600212301,793.0690308,0.001114240033,
791.9537354,-0.001960881054,791.9537354,0.004307437688,791.9537354,0.002425962128,
790.9775391,-4.250268103E-5,790.9775391,0.002657335019,790.9775391,0.004874164239,
790.0009155,0.0004740754084,790.0009155,0.00427758228,790.0009155,0.003923578188,
789.0239258,-0.0007179489476,789.0239258,0.002840677276,789.0239258,0.004485619254,
788.0465698,-0.002494597109,788.0465698,0.001653659507,788.0465698,0.002416903386,
787.0688477,0.0001615843794,787.0688477,0.003588550258,787.0688477,0.002311857417,
785.9509888,0.001271280809,785.9509888,0.002664575586,785.9509888,0.004285660107,
784.9724731,-0.0003381978895,784.9724731,0.004178697243,784.9724731,0.003044846701,
783.9935303,-0.0006665696274,783.9935303,0.001509364345,783.9935303,0.004334262107,
783.0142822,0.0002625630586,783.0142822,0.004662199412,783.0142822,0.004062694032,
782.034668,-0.0003009495267,782.034668,0.004286915064,782.034668,0.00305206771,
781.0546265,-0.0009800234111,781.0546265,0.002524682786,781.0546265,0.004251257516,
779.9342041,-0.000863421883,779.9342041,0.002831531689,779.9342041,0.003296215786,
778.9533691,-0.000187166981,778.9533691,0.005104749929,778.9533691,0.004815424792,
777.972229,0.0003654824104,777.972229,0.004010700155,777.972229,0.005352964159,
776.9906616,-8.474239439E-5,776.9906616,0.005031445064,776.9906616,0.004033430479,
776.0087891,-0.001871503773,776.0087891,0.002931074472,776.0087891,0.00247854786,
775.0264893,-0.0002512283099,775.0264893,0.004531993996,775.0264893,0.004309947137,
774.0438843,-0.002417428652,774.0438843,0.005156273022,774.0438843,0.003953435458,
773.0608521,-0.0006821287679,773.0608521,0.004659321159,773.0608521,0.001755921519,
771.9370117,0.001839256147,771.9370117,0.006006140728,771.9370117,0.005383889657,
770.9532471,0.001569711021,770.9532471,0.006249592174,770.9532471,0.007528843824,
769.9690552,-0.002588786883,769.9690552,0.003497781232,769.9690552,0.003710144665,
768.9845581,-0.0009972242406,768.9845581,0.004572330974,768.9845581,0.002513461048,
767.9996948,-0.0003521134786,767.9996948,0.005096185487,767.9996948,0.005709080026,
767.0144653,0.0002660597966,767.0144653,0.003580798395,767.0144653,0.004446519539,
766.0288696,0.0007294575917,766.0288696,0.00280083972,766.0288696,0.005024112295,
765.0429077,-0.001161192195,765.0429077,0.005996770691,765.0429077,0.004880578257,
764.0565796,-0.0007166567957,764.0565796,0.004612880759,764.0565796,0.003123970702,
763.0698853,-0.0009042901802,763.0698853,0.005130340345,763.0698853,0.003858254757,
761.9417725,-0.0003630800929,761.9417725,0.005213853437,761.9417725,0.0060416013,
760.9543457,0.001693651895,760.9543457,0.005128559191,760.9543457,0.006302721798,
759.9665527,-0.001042521675,759.9665527,0.003565608291,759.9665527,0.004431848414,
758.9783325,-0.001317201182,758.9783325,0.004357009195,758.9783325,0.003428347409,
757.9898071,0.0006239374052,757.9898071,0.004423114005,757.9898071,0.004466134589,
757.0009155,-0.001112137339,757.0009155,0.004744523671,757.0009155,0.004214557819,
756.0116577,0.00118003448,756.0116577,0.006190351211,756.0116577,0.00676853396,
755.0220947,0.001711999183,755.0220947,0.005415656138,755.0220947,0.005244245287,
754.0321045,-0.003100091824,754.0321045,0.005232533906,754.0321045,0.004839506,
753.0418091,-0.002040398074,753.0418091,0.005189489573,753.0418091,0.005138932262,
752.0510864,-0.001615950139,752.0510864,0.00407359004,752.0510864,0.002838749206,
751.0600586,-0.003299903357,751.0600586,0.004954721779,751.0600586,0.00453562988,
750.0686646,-0.002270981669,750.0686646,0.005704857409,750.0686646,0.003094874322,
748.9352417,-0.0005762016517,748.9352417,0.006191112567,748.9352417,0.004789146129,
747.9431152,0.000201957504,747.9431152,0.004300927743,747.9431152,0.005148388445,
746.9506226,0.001429469325,746.9506226,0.006975505967,746.9506226,0.007338562515,
745.9577637,-0.0004703520972,745.9577637,0.004607831128,745.9577637,0.005089035258,
744.9645386,0.001014801557,744.9645386,0.008040246554,744.9645386,0.007590533234,
743.9710083,-0.001108884113,743.9710083,0.005168479867,743.9710083,0.003677406348,
742.9771118,0.000138227173,742.9771118,0.006146975793,742.9771118,0.006213537417,
741.9828491,0.0001592796762,741.9828491,0.005402839277,741.9828491,0.003587506246,
