,SrcID,DestID,Volume
1,E1,A1,200.0
3,E1,J1,200.0
4,F1,K1,10.0
5,E1,K1,190.0
6,F1,K1,10.0
7,E1,K1,190.0
8,F1,C1,30.0
9,E1,C1,170.0
10,F1,L1,30.0
11,E1,L1,170.0
12,F1,D1,55.0
13,E1,D1,145.0
14,F1,M1,55.0
15,E1,M1,145.0
16,F1,E1,85.0
17,E1,E1,115.0
18,F1,N1,85.0
19,E1,N1,115.0
20,F1,F1,120.0
21,E1,F1,80.0
22,F1,O1,120.0
23,E1,O1,80.0
24,F1,G1,157.5
25,E1,G1,42.5
26,F1,P1,157.5
27,E1,P1,42.5
28,F1,H1,200.0
30,F1,B7,200.0
33,E1,A2,1000.0
35,E1,J2,1000.0
36,F1,L2,142.5
37,E1,L2,857.5
38,F1,K2,142.5
39,E1,K2,857.5
40,F1,C2,285.0
41,E1,C2,715.0
42,F1,L2,285.0
43,E1,L2,715.0
44,F1,D2,427.5
45,E1,D2,572.5
46,F1,M2,427.5
47,E1,M2,572.5
48,F1,E2,572.5
49,E1,E2,427.5
50,F1,N2,572.5
51,E1,N2,427.5
52,F1,F2,715.0
53,E1,F2,285.0
54,F1,O2,715.0
55,E1,O2,285.0
56,F1,G2,857.5
57,E2,G2,142.5
58,F1,P2,857.5
59,E2,P2,142.5
60,F1,H2,1000.0
62,F1,B7,1000.0
65,E2,A3,637.5
67,E2,J3,637.5
68,F1,M3,5.0
69,E2,M3,632.5
70,F1,K3,5.0
71,E2,K3,632.5
72,F1,C3,22.5
73,E2,C3,615.0
74,F1,L3,22.5
75,E2,L3,615.0
76,F1,D3,67.5
77,E2,D3,570.0
78,F1,M3,67.5
79,E2,M3,570.0
80,F2,E3,145.0
81,E2,E3,492.5
82,F2,N3,145.0
83,E2,N3,492.5
84,F2,F3,262.5
85,E2,F3,375.0
86,F2,O3,262.5
87,E2,O3,375.0
88,F2,G3,425.0
89,E2,G3,212.5
90,F2,P3,425.0
91,E2,P3,212.5
92,F2,H3,637.5
94,F2,B7,637.5
97,E2,A4,200.0
99,E2,J4,200.0
101,E2,N4,200.0
103,E2,K4,200.0
104,F2,C4,2.5
105,E2,C4,197.5
106,F2,L4,2.5
