experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,k,% DMSO,well_volume,concentrations,controls_ok,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,dispense_ligands,dispense_bulk,picklist
16,Arachadionic acid,1.2414416835083155,0.13261951367923208,-0.14710556560796473,7.45,0.205,27.377437499999985,0.1853109395464294,0.005125217765408334,0.022376512095923583,1.0,1.0,40.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,6.998672123560806,0.23941229136215086,-3.595877645155512,7.45,0.21,27.039187499999993,0.1860769770343954,0.012597477071677025,0.021083971772653226,4.0,1.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,29.515429201040646,0.4549999661466982,-36.95735990596865,7.45,0.222,22.910499999999992,0.31982874430194164,0.017293681752924336,0.00043119959428830417,4.0,1.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,43.25421692555964,0.4199999999999512,-38.53891317958977,7.45,0.218,24.676375000000007,0.2023164252039901,0.010521237026672696,0.00028881048204021007,4.0,5.0,40.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,9.38517667309646,0.1681428419539362,-12.045278978351178,7.45,0.18699999999999997,31.170125000000034,0.6324475191818205,0.059343431457431386,0.033547681451255966,1.5454545455,1.0,20.0,"[0.0, 24.71, 72.13, 134.98, 210.56, 297.26, 394.01, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,31.140615091889075,0.17499567085622475,-100.21838976777869,7.45,0.11499999999999999,13.595187499999994,0.7641032558493005,0.01650486941134992,-0.009828578632082804,1.0,5.0,20.0,"[0.0, 71.43, 142.86, 214.29, 285.71, 357.14, 428.57, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,5.533961189672815,0.1171927223926764,-3.3104389469448554,7.45,0.096,18.97693750000002,0.4510620172799461,0.014009563060383331,0.012829385080452659,2.6363636364,3.1818181818,20.0,"[0.0, 2.96, 18.39, 53.56, 114.35, 205.93, 333.02, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,30.365758935145085,0.27999964190248755,-37.71626922230194,7.45,0.095,20.99756250000004,0.385961437381447,0.011089731415013748,0.006433618950762081,4.0,1.0,20.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,28.18575846063857,0.24999985481995451,-34.25864195074089,7.45,0.105,15.590312500000003,0.48340839038706496,0.01197616680864839,0.006721169354979317,4.0,1.0,20.0,"[0.0, 0.21, 3.33, 16.87, 53.31, 130.15, 269.89, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
16,Arachadionic acid,42.16755786097233,0.2549999869103136,-91.67561447825486,7.45,0.092,9.227625000000005,0.5128223674680393,0.005496752287877428,0.005401008063999168,1.5454545455,1.0,20.0,"[0.0, 24.71, 72.14, 134.99, 210.56, 297.26, 394.01, 500.0]",True,0,2,3700,Echo,Thermo Multidrop Combi,picklists/Echo16Transfermap.csv
