baseline,,b0,,p0,,b1,,p1,,b2,,p2,,b3,,p3,,b4,,p4,,b5,,p5,,b6,,p6,,b7,,b7,,p7,,b8,,p8,,b9,,p9,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
773.9920654,0.0007102961536,773.9920654,0.0009956015274,773.9920654,0.01713852026,773.9920654,0.0001122819594,773.9920654,0.01884949207,773.9920654,5.860978854E-005,773.9920654,0.02027344704,773.9920654,0.0006014626124,773.9920654,0.01318283472,773.9920654,-0.000324385328,773.9920654,0.01299632899,773.9920654,0.0008820275543,773.9920654,0.01784538664,773.9920654,0.0004218613612,773.9920654,0.0161232315,773.9920654,0.02095001377,773.9920654,0.002084309934,773.9920654,0.01384985447,773.9920654,0.001387527678,773.9920654,0.01299707498,773.9920654,0.0002647906076,773.9920654,0.01675031148,
772.9831543,0.001038698945,772.9831543,0.0006970210234,772.9831543,0.01924686134,772.9831543,0.0005120155402,772.9831543,0.02082914487,772.9831543,0.0006142940838,772.9831543,0.02112752199,772.9831543,0.002941942075,772.9831543,0.01472118031,772.9831543,0.0006785869482,772.9831543,0.01316402294,772.9831543,0.003084941301,772.9831543,0.01842566766,772.9831543,0.001115122461,772.9831543,0.01744037867,772.9831543,0.02175164036,772.9831543,0.001867852407,772.9831543,0.0147641357,772.9831543,0.001057615387,772.9831543,0.01346793771,772.9831543,0.001758988365,772.9831543,0.01641602442,
772.008728,0.000574634294,772.008728,0.0008403980755,772.008728,0.01840814017,772.008728,0.001801433857,772.008728,0.02029433101,772.008728,-0.0001740741282,772.008728,0.02118755877,772.008728,0.001711557386,772.008728,0.0132559808,772.008728,0.00119680271,772.008728,0.01299414132,772.008728,0.003089242848,772.008728,0.01924496703,772.008728,0.001732010511,772.008728,0.01766403951,772.008728,0.02130368724,772.008728,0.002570119454,772.008728,0.01547358371,772.008728,0.002485681325,772.008728,0.01346337143,772.008728,0.001787085552,772.008728,0.01745875739,
770.9991455,0.0009152561543,770.9991455,0.000518831599,770.9991455,0.01668402553,770.9991455,-0.0004070989671,770.9991455,0.01923598349,770.9991455,0.001205628272,770.9991455,0.020644214,770.9991455,0.001404173905,770.9991455,0.01331053581,770.9991455,-0.000775110384,770.9991455,0.01137753855,770.9991455,0.00158867659,770.9991455,0.01902527735,770.9991455,0.0006897095009,770.9991455,0.0166814439,770.9991455,0.01974007487,770.9991455,0.00162370014,770.9991455,0.01383520942,770.9991455,0.0003988787939,770.9991455,0.01222096384,770.9991455,-0.000110519024,770.9991455,0.01779419743,
769.9890747,0.0001155962309,769.9890747,-0.0003399050329,769.9890747,0.01754594222,769.9890747,0.0003818305267,769.9890747,0.0203732159,769.9890747,-0.0001464898669,769.9890747,0.01837813668,769.9890747,-0.001215920434,769.9890747,0.01440193783,769.9890747,0.0009479944129,769.9890747,0.01204995997,769.9890747,0.001118755783,769.9890747,0.01907004043,769.9890747,6.19495404E-005,769.9890747,0.01686822064,769.9890747,0.01997148246,769.9890747,0.002141224686,769.9890747,0.01535052806,769.9890747,-0.0002939133556,769.9890747,0.01448907331,769.9890747,0.0008120249258,769.9890747,0.01717481948,
769.0135498,-0.001135271275,769.0135498,0.0007185932482,769.0135498,0.01710066013,769.0135498,-9.845905879E-005,769.0135498,0.01976946741,769.0135498,-0.0009693306056,769.0135498,0.01988960803,769.0135498,-0.0007184658316,769.0135498,0.01228212472,769.0135498,-0.0008261668263,769.0135498,0.01336584426,769.0135498,0.0009547395166,769.0135498,0.01841923967,769.0135498,0.0008000174421,769.0135498,0.01665438339,769.0135498,0.01920229755,769.0135498,0.002142317127,769.0135498,0.01334729139,769.0135498,0.0001148453375,769.0135498,0.01318422239,769.0135498,0.001069526188,769.0135498,0.01756515913,
768.0026855,-0.0004343563633,768.0026855,0.0007771186065,768.0026855,0.01789553091,768.0026855,-0.0005757880281,768.0026855,0.02069766819,768.0026855,0.0007049289998,768.0026855,0.02183040977,768.0026855,-0.0001100531954,768.0026855,0.01401194371,768.0026855,0.0004534740874,768.0026855,0.01326332055,768.0026855,0.0005766042741,768.0026855,0.01890499704,768.0026855,-0.0002049167524,768.0026855,0.01704990864,768.0026855,0.02041125298,768.0026855,0.00182069547,768.0026855,0.01490725018,768.0026855,0.0003660264774,768.0026855,0.01325483341,768.0026855,-0.001041488722,768.0026855,0.01797597669,
766.9915771,-0.001429501222,766.9915771,-0.001146269729,766.9915771,0.0171969831,766.9915771,-0.0009220623178,766.9915771,0.01847887598,766.9915771,-0.001673973398,766.9915771,0.02031510882,766.9915771,-0.0005091890343,766.9915771,0.01295229513,766.9915771,-0.000464870187,766.9915771,0.01217408013,766.9915771,0.0007911741268,766.9915771,0.01746131666,766.9915771,-0.0009608071996,766.9915771,0.01638306677,766.9915771,0.01887912303,766.9915771,0.001527002547,766.9915771,0.01447507553,766.9915771,0.0004863071081,766.9915771,0.0125745507,766.9915771,-0.001534033916,766.9915771,0.01687451825,
766.0149536,-0.0007657045498,766.0149536,0.0006048842915,766.0149536,0.01730431989,766.0149536,-0.0007024944061,766.0149536,0.02043396235,766.0149536,-0.0006927252398,766.0149536,0.02046253532,766.0149536,-3.686005584E-005,766.0149536,0.0130590396,766.0149536,-0.0008868789882,766.0149536,0.01199880987,766.0149536,0.001632014755,766.0149536,0.01929703169,766.0149536,-0.0003421294678,766.0149536,0.01537158061,766.0149536,0.01899014786,766.0149536,0.001357716508,766.0149536,0.0154076796,766.0149536,-0.0005654989509,766.0149536,0.01340815797,766.0149536,-0.0004216847301,766.0149536,0.01686491072,
765.0029907,0.0003128669341,765.0029907,-0.0007265805034,765.0029907,0.01858898811,765.0029907,0.0001108319702,765.0029907,0.02023268305,765.0029907,0.0004111343005,765.0029907,0.02119437978,765.0029907,0.001587975188,765.0029907,0.01275802311,765.0029907,0.0009105868521,765.0029907,0.0139899943,765.0029907,0.00109220692,765.0029907,0.02001859248,765.0029907,0.0006661423831,765.0029907,0.01777777448,765.0029907,0.02029321902,765.0029907,0.003168479307,765.0029907,0.01513365749,765.0029907,-9.183370275E-005,765.0029907,0.01444111485,765.0029907,0.0007184895803,765.0029907,0.01927789859,
763.9906616,0.001026529586,763.9906616,0.0002368953283,763.9906616,0.01839644648,763.9906616,0.001306720194,763.9906616,0.02156974375,763.9906616,0.0007588366861,763.9906616,0.02150252648,763.9906616,0.001315651927,763.9906616,0.01419690717,763.9906616,-0.0007021842757,763.9906616,0.01354863681,763.9906616,0.00154401781,763.9906616,0.02053447627,763.9906616,0.0005885018618,763.9906616,0.01766673476,763.9906616,0.01940212585,763.9906616,0.001463259221,763.9906616,0.01582204551,763.9906616,0.00108122977,763.9906616,0.01429545134,763.9906616,0.001382983057,763.9906616,0.0185861513,
763.0128784,0.0008180935984,763.0128784,0.0009594351868,763.0128784,0.01824207976,763.0128784,0.0005552723305,763.0128784,0.0216139257,763.0128784,-0.0002267536474,763.0128784,0.02184706926,763.0128784,0.001665924559,763.0128784,0.01459354628,763.0128784,0.0008592021768,763.0128784,0.01334582269,763.0128784,0.001493649092,763.0128784,0.02088895068,763.0128784,0.0009527938091,763.0128784,0.01750632189,763.0128784,0.0206225235,763.0128784,0.002121168422,763.0128784,0.01612578332,763.0128784,0.0008410983719,763.0128784,0.01411713101,763.0128784,-0.0002444500569,763.0128784,0.01826848462,
761.9998169,0.001202513347,761.9998169,0.0004708361521,761.9998169,0.01788393222,761.9998169,-0.0008424953558,761.9998169,0.02205980197,761.9998169,0.0003933082335,761.9998169,0.02284552902,761.9998169,-0.0002481237752,761.9998169,0.01490800083,761.9998169,0.0004834305728,761.9998169,0.01355349738,761.9998169,0.002082671272,761.9998169,0.02090549283,761.9998169,0.001894448767,761.9998169,0.01837106235,761.9998169,0.01964156143,761.9998169,0.00269452855,761.9998169,0.01625755057,761.9998169,0.001421184512,761.9998169,0.01455606893,761.9998169,0.0001401433547,761.9998169,0.01913977601,
760.9863281,-0.0002630770614,760.9863281,0.001035740948,760.9863281,0.01791085303,760.9863281,-2.588589041E-006,760.9863281,0.0224855002,760.9863281,0.0007024917868,760.9863281,0.02233482525,760.9863281,0.001793012023,760.9863281,0.01561653055,760.9863281,-4.115673801E-005,760.9863281,0.01436247025,760.9863281,0.002350218594,760.9863281,0.02150674351,760.9863281,0.00168073643,760.9863281,0.01885384507,760.9863281,0.01923701167,760.9863281,0.00292878109,760.9863281,0.01628980041,760.9863281,0.001246358152,760.9863281,0.01512352563,760.9863281,0.0009332073969,760.9863281,0.0192999281,
760.0074463,-0.0001268227206,760.0074463,0.0003268815635,760.0074463,0.01948052458,760.0074463,0.001863406855,760.0074463,0.0217617657,760.0074463,0.0004145803978,760.0074463,0.02235477418,760.0074463,0.001859091339,760.0074463,0.01525281742,760.0074463,-0.000878767285,760.0074463,0.01369092427,760.0074463,0.001405030955,760.0074463,0.02146814764,760.0074463,0.001013504225,760.0074463,0.0179237742,760.0074463,0.01953900792,760.0074463,0.00222957693,760.0074463,0.01650474779,760.0074463,-0.0005720653571,760.0074463,0.01470921095,760.0074463,-8.086023445E-005,760.0074463,0.01945437305,
758.9932251,-0.0003449229407,758.9932251,0.001312406384,758.9932251,0.01907450333,758.9932251,-0.0003104171192,758.9932251,0.02301068418,758.9932251,0.0003037227143,758.9932251,0.02315798961,758.9932251,0.0007958680508,758.9932251,0.01461416017,758.9932251,0.0008151630173,758.9932251,0.01418198273,758.9932251,0.0006910577067,758.9932251,0.02147097699,758.9932251,0.000351311086,758.9932251,0.01906311512,758.9932251,0.01969524287,758.9932251,0.002584649948,758.9932251,0.01737878285,758.9932251,0.0006248187856,758.9932251,0.01504733041,758.9932251,-0.0004741273588,758.9932251,0.02015683241,
758.0135498,-0.001087814453,758.0135498,-5.042293924E-005,758.0135498,0.01938583143,758.0135498,-0.0004916068283,758.0135498,0.02244332805,758.0135498,-0.0007612082991,758.0135498,0.02301196568,758.0135498,0.0003029714862,758.0135498,0.01492828131,758.0135498,0.0001436908933,758.0135498,0.01382080559,758.0135498,0.001024817,758.0135498,0.02142757177,758.0135498,0.0004184929421,758.0135498,0.01770504937,758.0135498,0.01976589113,758.0135498,0.001866370556,758.0135498,0.01666785963,758.0135498,0.0006663238746,758.0135498,0.01570718363,758.0135498,-0.0003622006916,758.0135498,0.01925089397,
