,BSA,Km,Loss,Noise,Protein Conc,Protein Vol,Time,Vmax,R^2
0,0.10000000000000003,30.874462127685547,0.0008125901222229004,0.034324936100721445,10.0,23.63636363636364,18:56:54,0.13956254720687866,0.9991874098777771
1,0.10000000000000003,232.05970764160156,0.0117950439453125,0.15461558471323888,10.0,23.63636363636364,19:03:19,0.011087778955698013,0.9882049560546875
2,0.10000000000000003,29.299470901489258,0.0007174015045166016,0.02393047973247319,10.0,23.63636363636364,20:05:07,0.12224721908569336,0.9992825984954834
3,0.10000000000000003,150.1060028076172,0.01314842700958252,0.11047946626939517,10.0,23.63636363636364,20:22:52,0.01192175131291151,0.9868515729904175
4,0.10000000000000003,41.842132568359375,0.0005781054496765137,0.009996146864705773,10.0,23.63636363636364,18:56:54,0.12721651792526245,0.9994218945503235
5,0.10000000000000003,37.321434020996094,0.0006480813026428223,0.007777364419935126,10.0,23.63636363636364,19:03:19,0.11520826071500778,0.9993519186973572
6,0.10000000000000003,39.269222259521484,0.0005578994750976562,0.008569011536622661,10.0,23.63636363636364,20:05:07,0.11872643232345581,0.9994421005249023
7,0.10000000000000003,35.96583557128906,0.0006426572799682617,0.007631281982255476,10.0,23.63636363636364,20:22:52,0.11019545793533325,0.9993573427200317
8,0.10000000000000003,19.168336868286133,0.0009546875953674316,0.007980163946563914,16.363636363636363,30.0,18:56:54,0.16342201828956604,0.9990453124046326
9,0.10000000000000003,4.969876289367676,0.0007836222648620605,0.04993904559025233,16.363636363636363,30.0,19:03:19,0.15456083416938782,0.9992163777351379
10,0.10000000000000003,19.227813720703125,0.000916600227355957,0.009121317823831195,16.363636363636363,30.0,20:05:07,0.15382125973701477,0.999083399772644
11,0.10000000000000003,4.741241931915283,0.0008096694946289062,0.08195285356868634,16.363636363636363,30.0,20:22:52,0.15694662928581238,0.9991903305053711
12,0.10000000000000003,24.201120376586914,0.0011090636253356934,0.009710323246874666,16.363636363636363,30.0,18:56:54,0.14112821221351624,0.9988909363746643
