baseline,,bm3WT_HemePM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,-0.0005384049146,800.0101318,0.0001489216229,
799.0389404,0.0006315070787,799.0389404,0.003112576902,
798.0673218,-0.0006615036982,798.0673218,0.001341513358,
796.9564209,0.0005961486604,796.9564209,-0.0001678121916,
795.9840088,0.000451478787,795.9840088,0.0007507462287,
795.0111694,0.0002354967146,795.0111694,0.0004215245135,
794.0380249,0.0005642922479,794.0380249,0.002501041861,
793.0644531,-0.0005880415556,793.0644531,-0.001390746562,
791.951355,7.090745203E-5,791.951355,0.001436923048,
790.9769897,0.0005434015184,790.9769897,0.0008175749099,
790.0022583,-0.002469321946,790.0022583,0.0006032771198,
789.0271606,0.0001253061637,789.0271606,0.002159278607,
788.0516968,-0.0008975221426,788.0516968,0.001880695461,
786.9364014,-0.000412685069,786.9364014,0.001221411047,
785.960144,-0.0007290096837,785.960144,-0.0004755753907,
784.9835205,0.0006496799178,784.9835205,0.003325951751,
784.0064697,-0.0002052789787,784.0064697,0.001705060364,
783.0291138,-0.001332272543,783.0291138,-2.050120384E-5,
782.0513306,0.00190609647,782.0513306,0.003225066699,
780.9334717,-0.0006040688604,780.9334717,0.001852540183,
779.9549561,-0.001104856143,779.9549561,0.0002730274573,
778.9760132,-0.001218398567,778.9760132,-0.0005014322232,
777.9967651,0.0008789408603,777.9967651,0.0008915471262,
777.0170898,-0.0001850970002,777.0170898,0.002004465088,
776.0371094,0.001839802018,776.0371094,0.001560254488,
775.0567017,-0.00142253493,775.0567017,-0.0001004777077,
773.9358521,-0.0001357765577,773.9358521,0.001057278132,
772.9547119,0.001481726649,772.9547119,0.00308846077,
771.9731445,-0.001746169291,771.9731445,0.001670393976,
770.991272,-0.0007610016037,770.991272,0.0007494497113,
770.0090332,-0.000493985659,770.0090332,0.0007604184793,
769.0264282,0.0001619210234,769.0264282,0.001711765304,
768.043396,-0.000421374396,768.043396,0.0008924809517,
767.0600586,-0.0005230474053,767.0600586,0.0006312737241,
765.935791,0.0003606376995,765.935791,0.00175766286,
764.9517212,-0.0002698032768,764.9517212,0.001488428097,
763.9672241,0.001743264147,763.9672241,0.002548324876,
762.9823608,-0.0007797615253,762.9823608,0.002617514227,
761.9971924,-0.001765092951,761.9971924,0.0006597387837,
761.0116577,0.0007560101803,761.0116577,0.00323669822,
760.0256958,-0.0007693222142,760.0256958,0.0008552338113,
759.0394287,-0.001354156062,759.0394287,-4.892172365E-5,
758.0527954,-0.002126649488,758.0527954,0.001217621029,
757.0657959,-0.0006835761014,757.0657959,0.001888260944,
755.9373779,-0.002135459101,755.9373779,0.0006009182543,
754.949646,-0.00080280978,754.949646,0.001891588909,
753.9615479,0.0009430394275,753.9615479,0.003069794504,
752.9730835,0.0009117801092,752.9730835,0.001486947644,
751.9842529,3.694084808E-5,751.9842529,0.00200953614,
750.9950562,-0.0004920205101,750.9950562,0.002029821277,
750.0055542,0.0008376488695,750.0055542,0.002387568122,
749.015625,-1.242524718E-6,749.015625,0.002233453793,
748.0253906,0.001981866546,748.0253906,0.004267203622,
747.03479,-0.0006770113832,747.03479,0.001919564675,
746.0438843,-5.394300752E-5,746.0438843,0.002158810385,
745.0525513,-0.0008128348272,745.0525513,0.002340432722,
744.0609131,-0.0007737150299,744.0609131,0.001716235303,
743.0689087,0.0003619848867,743.0689087,0.002782342257,
741.9347534,7.595607167E-5,741.9347534,0.003385794815,
740.9420166,-0.0004804366035,740.9420166,0.002748631872,
739.9489136,-0.0006191132707,739.9489136,0.002123535611,
738.9554443,-0.0006090319948,738.9554443,0.002328356961,
737.9616699,-0.0008466807194,737.9616699,0.001284495695,
736.9675293,-0.0001493363525,736.9675293,0.002603503643,
735.9730225,-0.0005396975903,735.9730225,0.00310347788,
734.9782104,-0.001099227346,734.9782104,0.0008094574441,
733.9830322,-0.000336387282,733.9830322,0.002872779267,
732.9874878,-0.000187373982,732.9874878,0.002673535142,
731.9915771,-0.0003820123675,731.9915771,0.001864576829,
730.9953613,-0.001407776377,730.9953613,0.002310972428,
729.9987793,-0.0009182909853,729.9987793,0.002131573623,
729.0018921,-9.509463416E-5,729.0018921,0.00403243769,
728.0046387,-0.0006098591839,728.0046387,0.002843673807,
727.007019,0.0008347440744,727.007019,0.003947583959,
726.0090942,0.0005442827824,726.0090942,0.003712233156,
725.0108032,-0.0002882739936,725.0108032,0.002693721093,
724.012146,-0.0002371542505,724.012146,0.003855407936,
723.0131836,0.0008522769785,723.0131836,0.00382513972,
722.013855,0.0006578981411,722.013855,0.003729334334,
721.0142212,0.000688361295,721.0142212,0.00373669737,
720.0142212,-0.0005149806384,720.0142212,0.003996670712,
719.013916,-0.0004083403328,719.013916,0.003413005965,
718.0131836,0.0001707515185,718.0131836,0.003606769023,
717.012207,-0.0001891852153,717.012207,0.003814745927,
716.0108643,-5.052647248E-5,716.0108643,0.004120496102,
715.0091553,-0.0005220132298,715.0091553,0.00338185532,
714.0071411,0.0001844249055,714.0071411,0.0036498392,
713.0047607,0.0004981245147,713.0047607,0.003621986602,
712.0020752,-0.0007159848465,712.0020752,0.003678502748,
710.9990234,-0.0002904986904,710.9990234,0.003949307837,
709.9956665,-5.777363913E-5,709.9956665,0.003519963007,
708.9919434,-0.0007163983537,708.9919434,0.004752636421,
707.987915,-0.0005889204913,707.987915,0.003443141235,
706.9835815,7.740594447E-5,706.9835815,0.00431078393,
705.9788208,-0.001068189973,705.9788208,0.003329264466,
704.9738159,-0.0003573899157,704.9738159,0.004219785798,
