baseline,,bm3heme5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,-0.0005580534344,800.0101318,0.00713994354,
799.0389404,0.001091817627,799.0389404,0.007640428841,
798.0673218,0.0002566575422,798.0673218,0.006074465811,
796.9564209,-0.000770975952,796.9564209,0.006757386029,
795.9840088,-0.0004744376347,795.9840088,0.00577365933,
795.0111694,-0.0001597905648,795.0111694,0.007285332307,
794.0380249,-0.001080481219,794.0380249,0.005836464465,
793.0644531,0.0006405285676,793.0644531,0.005151243415,
791.951355,0.001116030733,791.951355,0.007351410575,
790.9769897,-7.304405881E-5,790.9769897,0.006323707756,
790.0022583,0.001179593266,790.0022583,0.006964457687,
789.0271606,0.0001082945091,789.0271606,0.007821169682,
788.0516968,-0.001360349357,788.0516968,0.006937181111,
786.9364014,0.0004899611231,786.9364014,0.005629693624,
785.960144,-0.003013622249,785.960144,0.004786738195,
784.9835205,-6.30018767E-5,784.9835205,0.006183025427,
784.0064697,0.0001385638025,784.0064697,0.005518283229,
783.0291138,-4.431451816E-5,783.0291138,0.006505031139,
782.0513306,0.0005164472968,782.0513306,0.007206604816,
780.9334717,-9.763089474E-5,780.9334717,0.007076608017,
779.9549561,-0.0006153392605,779.9549561,0.00761753507,
778.9760132,0.0002660597966,778.9760132,0.006712008733,
777.9967651,0.0001357672299,777.9967651,0.007154812105,
777.0170898,0.0006900984445,777.0170898,0.007291439455,
776.0371094,0.001113980543,776.0371094,0.006917059887,
775.0567017,-0.00201829127,775.0567017,0.006172653753,
773.9358521,-0.001197644044,773.9358521,0.005507718306,
772.9547119,-0.0004079265345,772.9547119,0.005859841593,
771.9731445,-0.001267131651,771.9731445,0.006770768669,
770.991272,0.002077989513,770.991272,0.007409362122,
770.0090332,-0.0004207020102,770.0090332,0.006129227579,
769.0264282,-0.001175494515,769.0264282,0.005567626562,
768.043396,-0.00179783348,768.043396,0.00577447284,
767.0600586,-0.0004244776792,767.0600586,0.007399672177,
765.935791,-2.38662069E-5,765.935791,0.006742531434,
764.9517212,0.0004049158306,764.9517212,0.007718550041,
763.9672241,0.0007728916244,763.9672241,0.007196051069,
762.9823608,-0.0005862836842,762.9823608,0.006923635025,
761.9971924,-0.001517782919,761.9971924,0.006216346752,
761.0116577,0.001719873631,761.0116577,0.007555921096,
760.0256958,0.001155168982,760.0256958,0.008664283901,
759.0394287,0.0004016252351,759.0394287,0.007122734096,
758.0527954,0.000952508417,758.0527954,0.008201421238,
757.0657959,-0.0005767703988,757.0657959,0.007847632281,
755.9373779,-0.0009426233592,755.9373779,0.007182918489,
754.949646,8.437056385E-5,754.949646,0.007339431439,
753.9615479,0.0003126597148,753.9615479,0.007865345106,
752.9730835,-0.0001504231914,752.9730835,0.006345718633,
751.9842529,0.0005882685655,751.9842529,0.008404827677,
750.9950562,0.0003184623783,750.9950562,0.008945007809,
750.0055542,-0.001387650147,750.0055542,0.006537378766,
749.015625,-0.001166097354,749.015625,0.007706428878,
748.0253906,0.0004614553764,748.0253906,0.007647752762,
747.03479,-0.001957737142,747.03479,0.006970534101,
746.0438843,-0.001083579846,746.0438843,0.006929632276,
745.0525513,0.0001910545834,745.0525513,0.007996422239,
744.0609131,0.0009824474109,744.0609131,0.009252409451,
743.0689087,0.001901026582,743.0689087,0.007802957669,
741.9347534,0.0003898623108,741.9347534,0.008620634675,
740.9420166,0.0004081027873,740.9420166,0.008703263476,
739.9489136,0.00109454256,739.9489136,0.008623591624,
738.9554443,-0.0007764023612,738.9554443,0.008895517327,
737.9616699,-0.001139195636,737.9616699,0.008851475082,
736.9675293,-0.0002305827511,736.9675293,0.007056532893,
735.9730225,-0.001041075564,735.9730225,0.00700752018,
734.9782104,0.0002615011181,734.9782104,0.007804723457,
733.9830322,0.0004336251877,733.9830322,0.009530709125,
732.9874878,-8.542285286E-6,732.9874878,0.007758445572,
731.9915771,-4.840406473E-5,731.9915771,0.008401159197,
