ligand,km,vmax,rsq,protein_concentration,a420_max,auc,auc_cv,std_405,dd_soret,Triton  / %,DMSO /%,Arginine / mM,Glucose / mM,KPi / mM,KCl / mM,NaCl / mM,NH4 / mM,BSA /mg/ml,controls_ok,experiment_number,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,well_volume,dispense_bulk
,,,,,0.21799999999999997,"[221.6935 230.286  231.8395 229.912  237.4375 299.9085 228.911  235.64
 240.021  235.5315 295.893  233.8165 245.0845 257.9375 233.571  233.955 ]",0.09065198357820467,0.05142097496806791,,0.01,0,150,0,0,150,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.19799999999999998,"[218.164  230.791  235.649  237.025  269.393  242.0765 233.39   236.402
 233.0275 235.6755 290.8605 237.0875 274.081  256.652  237.401  238.559 ]",0.0749017742639089,0.04245306231592722,,0.01,0,150,150,0,0,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.20099999999999998,"[217.9225 233.9535 236.3555 233.0465 253.6245 257.1545 233.1615 237.593
 236.302  234.3765 288.815  235.712  276.889  246.9825 235.47   237.112 ]",0.07129000507908388,0.03772526783646914,,0.01,4,0,0,0,150,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.182,"[230.835  229.916  238.1935 229.629  237.156  260.687  241.958  238.234
 238.134  238.83   277.055  236.583  277.2245 238.384  232.487  232.8865]",0.061308121324758186,0.03234784897536981,,0.01,4,0,150,0,0,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.11599999999999999,"[222.7245 234.268  236.342  230.2595 241.001  243.2905 230.8275 233.076
 236.199  237.054  245.2005 235.264  249.7905 235.751  235.6455 235.0625]",0.02593632967123257,0.012484657250668383,,0.01,4,150,0,150,0,0,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.11499999999999999,"[223.897  233.7175 232.8825 231.1015 239.8475 238.323  227.1385 231.7815
 234.428  236.2755 246.6885 235.4125 243.6755 236.492  231.7595 236.0095]",0.02328758562925869,0.009577751997902915,,0.01,4,150,150,150,150,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.7319999999999999,"[359.1085 422.838  339.8295 363.8505 338.8805 465.274  295.1615 317.647
 302.578  386.1115 297.3595 319.9615 230.0365 226.209  364.6345 310.4235]",0.17984614437812838,0.1820608758080659,,0.0,0,0,0,0,0,0,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.5399999999999999,"[298.506  287.4905 397.7965 381.469  375.6785 412.0745 389.1885 358.0415
 365.27   435.427  284.7125 292.203  228.712  230.368  284.7145 354.6505]",0.18414658656444108,0.15764427254634614,,0.0,0,0,150,0,150,150,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.39299999999999996,"[303.3575 282.2425 331.8815 326.1815 374.117  341.14   292.5455 321.3155
 281.0115 286.7675 303.3055 263.188  227.2135 223.998  279.5105 291.5745]",0.12793133544692847,0.09782220266040494,,0.0,0,150,0,150,150,150,0,0.0,False,17,0,2,3700,30,Manual
,,,,,0.509,"[238.5465 236.2695 249.073  250.5865 275.9525 424.0795 244.775  239.838
 246.8205 241.6425 246.9315 239.917  319.0315 286.8105 237.8015 236.209 ]",0.17810015886266206,0.12477065627248528,,0.0,0,150,150,150,0,0,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.321,"[234.01   241.0775 260.0475 252.0685 342.417  311.422  241.431  240.32
 243.2195 243.9985 245.2245 270.439  287.0485 302.5295 242.33   236.1415]",0.11867517591616142,0.08018787834413212,,0.0,4,0,0,150,150,0,150,0.0,False,17,0,2,3700,30,Manual
,,,,,0.32399999999999995,"[237.9175 236.432  258.212  244.4435 303.908  342.757  242.169  236.973
 249.0255 245.0155 278.579  266.8265 316.9845 304.69   242.7475 238.8705]",0.12349508741551035,0.08592048164824652,,0.0,4,0,150,150,0,150,0,0.1,False,17,0,2,3700,30,Manual
,,,,,0.395,"[234.5955 237.4465 260.5745 240.613  320.9415 375.4645 234.735  232.5035
 238.4675 239.422  285.6955 272.924  297.5395 305.101  234.1575 239.495 ]",0.15093440932133698,0.10463261123250883,,0.0,4,150,0,0,0,150,150,0.1,False,17,0,2,3700,30,Manual
,,,,,0.24700000000000003,"[239.297  233.4505 246.4135 300.5245 312.6635 283.8795 237.2605 236.247
 242.492  240.9935 266.3595 277.248  241.239  268.352  233.945  235.3265]",0.09688849136202425,0.06399322880847108,,0.0,4,150,150,0,150,0,0,0.0,False,17,0,2,3700,30,Manual
