baseline#],,bm3,,dmso_1,,dmso_2,,arachadonicAcid_0.5,,arachadoinicAcid_1.0.,,arachadoinicAcid_1.5,,arachadoinicAcid_2.0,,arachadoinicAcid_2.5,,arachadoinicAcid_3.0,,arachadoinicAcid_4.0,,arachadoinicAcid_5.0,,arachadoinicAcid_6.0,,arachadoinicAcid_7.0,,arachadoinicAcid_8.0,,arachadoinicAcid_9.0,,arachadoinicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
789.9937134,0.002282268833,789.9937134,0.0071333386,789.9937134,0.003737950465,789.9937134,0.009120794013,789.9937134,0.00504516717,789.9937134,0.004918826744,789.9937134,0.006317377556,789.9937134,0.009456891567,789.9937134,0.00848406367,789.9937134,0.01261199079,789.9937134,0.005568413064,789.9937134,0.01171009522,789.9937134,0.004972552881,789.9937134,0.01228822302,789.9937134,0.009106519632,789.9937134,0.009579954669,789.9937134,0.01321835257,
788.9909668,-0.0007906656247,788.9909668,0.00257228082,788.9909668,0.005966169294,788.9909668,0.005549194291,788.9909668,0.006034960505,788.9909668,0.005916859489,788.9909668,0.006198280957,788.9909668,0.006333767436,788.9909668,0.006558507215,788.9909668,0.0150173977,788.9909668,0.004816314671,788.9909668,0.01145851519,788.9909668,0.006107490044,788.9909668,0.009971841238,788.9909668,0.007282068487,788.9909668,0.01616941579,788.9909668,0.0127627952,
787.987915,0.0002940346894,787.987915,0.006751628127,787.987915,0.00490568392,787.987915,0.005071146879,787.987915,0.005783234257,787.987915,0.004928670824,787.987915,0.008380890824,787.987915,0.007411837112,787.987915,0.00970350299,787.987915,0.01129328366,787.987915,0.007656157017,787.987915,0.01455979049,787.987915,0.009255953133,787.987915,0.009943475015,787.987915,0.008622746915,787.987915,0.007784667425,787.987915,0.01685756445,
786.984436,-7.294053648E-005,786.984436,0.004544392694,786.984436,0.000180203715,786.984436,0.001417470747,786.984436,0.004166779574,786.984436,0.004696006421,786.984436,0.002865795745,786.984436,0.00598265091,786.984436,0.005009814631,786.984436,0.01046711672,786.984436,0.002813970903,786.984436,0.01166672353,786.984436,0.006068086717,786.984436,0.00366691174,786.984436,0.003794847289,786.984436,0.007189971395,786.984436,0.01113087777,
786.0151367,0.0006745164865,786.0151367,0.001934905304,786.0151367,0.003026938299,786.0151367,0.002091306727,786.0151367,0.00352011947,786.0151367,0.005073425826,786.0151367,0.005958611146,786.0151367,0.006521375384,786.0151367,0.008760286495,786.0151367,0.01402851939,786.0151367,0.006364210974,786.0151367,0.01079706568,786.0151367,0.007198972628,786.0151367,0.008818795905,786.0151367,0.009986701421,786.0151367,0.009291970171,786.0151367,0.013931158,
785.0108643,0.003616713919,785.0108643,0.008436420001,785.0108643,0.007433008403,785.0108643,0.007553155068,785.0108643,0.01077469531,785.0108643,0.009797299281,785.0108643,0.009007613175,785.0108643,0.009146622382,785.0108643,0.006334555335,785.0108643,0.01480109524,785.0108643,0.01032447629,785.0108643,0.01537453104,785.0108643,0.009822903201,785.0108643,0.01255856268,785.0108643,0.01150330063,785.0108643,0.01565050334,785.0108643,0.01904832199,
784.0062256,-0.001685525523,784.0062256,-0.0005416624481,784.0062256,0.00158186967,784.0062256,-0.0004388559901,784.0062256,0.0003545235668,784.0062256,0.0001330224768,784.0062256,0.002189014805,784.0062256,0.001477440936,784.0062256,0.002741962904,784.0062256,0.0134089319,784.0062256,0.002689006738,784.0062256,0.008181637153,784.0062256,0.006176644936,784.0062256,0.005831216928,784.0062256,0.007236978039,784.0062256,0.008790557273,784.0062256,0.007020752877,
783.0012207,0.0004414246941,783.0012207,0.0001130069504,783.0012207,0.0002884913702,783.0012207,0.003010750981,783.0012207,0.002122677164,783.0012207,0.002419298282,783.0012207,0.004876127932,783.0012207,0.005584381521,783.0012207,0.003103868803,783.0012207,0.01088284422,783.0012207,0.004398951307,783.0012207,0.01021821611,783.0012207,0.006440526806,783.0012207,0.00872259587,783.0012207,0.006181082223,783.0012207,0.009491972625,783.0012207,0.01257668249,
781.9957275,-0.00464433711,781.9957275,0.00504647661,781.9957275,0.002026518341,781.9957275,0.002185476478,781.9957275,0.002453399589,781.9957275,0.003207802773,781.9957275,0.003885704558,781.9957275,0.003155832877,781.9957275,0.002885235008,781.9957275,0.01119741052,781.9957275,0.003962290939,781.9957275,0.00643369602,781.9957275,0.004849531222,781.9957275,0.007204947062,781.9957275,0.006697392091,781.9957275,0.007342327386,781.9957275,0.009530736133,
780.9898682,0.001042201999,780.9898682,0.002940013539,780.9898682,0.003591134213,780.9898682,0.007001890801,780.9898682,0.003032985842,780.9898682,0.004690066446,780.9898682,0.006116993725,780.9898682,0.004310627002,780.9898682,0.005341669079,780.9898682,0.01296157576,780.9898682,0.00582292676,780.9898682,0.01213023532,780.9898682,0.01034258213,780.9898682,0.009674597532,780.9898682,0.006698049139,780.9898682,0.01080301031,780.9898682,0.01364636607,
