,Km,Loss,Noise,Protein Conc,Protein Vol,Time,Triton,Vmax,R^2
0,13.866700172424316,0.023229897022247314,0.015539606165074262,10.0,20.0,17:59:22,0.010000000000000002,0.07347894459962845,0.9767701029777527
1,11.436749458312988,0.02663344144821167,0.011621734596881223,10.0,20.0,17:52:30,0.010000000000000002,0.06346418708562851,0.9733665585517883
2,15.781903266906738,0.023753702640533447,0.011700483993671792,10.0,20.0,19:14:17,0.010000000000000002,0.06929273158311844,0.9762462973594666
3,11.410911560058594,0.028184354305267334,0.012029939745038196,10.0,20.0,19:24:09,0.010000000000000002,0.06018443405628204,0.9718156456947327
4,30.374250411987305,0.015964865684509277,0.005776716967001499,10.0,20.0,17:59:22,0.010000000000000002,0.0627293810248375,0.9840351343154907
5,65.97186279296875,0.007750511169433594,0.0034836009753453087,10.0,20.0,17:52:30,0.010000000000000002,0.0749906599521637,0.9922494888305664
6,29.817184448242188,0.01718127727508545,0.004178487694969504,10.0,20.0,19:14:17,0.010000000000000002,0.060195911675691605,0.9828187227249146
7,68.20909118652344,0.007367610931396484,0.006225505610484195,10.0,20.0,19:24:09,0.010000000000000002,0.07065827399492264,0.9926323890686035
8,37.89299011230469,0.019267737865447998,0.0037420181271933615,10.0,30.0,17:59:22,0.1,0.12358122318983078,0.980732262134552
9,34.73985290527344,0.021853148937225342,0.005434261205359992,10.0,30.0,17:52:30,0.1,0.1300840526819229,0.9781468510627747
10,36.08374786376953,0.02012956142425537,0.002477896119220354,10.0,30.0,19:14:17,0.1,0.12387236952781677,0.9798704385757446
11,34.533321380615234,0.021917521953582764,0.0053143611267668705,10.0,30.0,19:24:09,0.1,0.12455589324235916,0.9780824780464172
12,39.98876190185547,0.018974244594573975,0.007201811341020026,10.0,30.0,17:59:22,0.1,0.1306256800889969,0.981025755405426
13,48.838539123535156,0.013946235179901123,0.00819518016808998,10.0,30.0,17:52:30,0.1,0.15247619152069092,0.9860537648200989
14,40.10768127441406,0.018943488597869873,0.007231346100704137,10.0,30.0,19:14:17,0.1,0.1311623901128769,0.9810565114021301
15,47.78379821777344,0.014557242393493652,0.0053387167877508935,10.0,30.0,19:24:09,0.1,0.14961788058280945,0.9854427576065063
16,27.965532302856445,0.023975133895874023,0.0026132069790138447,10.0,26.363636363636363,17:59:22,0.04272727272727273,0.09444108605384827,0.976024866104126
17,69.14091491699219,2.204963207244873,0.022096379918349823,10.0,26.363636363636363,17:52:30,0.04272727272727273,0.08917180448770523,-1.204963207244873
18,28.31129264831543,0.023159027099609375,0.002449487754967763,10.0,26.363636363636363,19:14:17,0.04272727272727273,0.09383734315633774,0.9768409729003906
19,100.76786804199219,2.0511136054992676,0.011267339397007943,10.0,26.363636363636363,19:24:09,0.04272727272727273,0.08906231820583344,-1.0511136054992676
20,42.09425354003906,0.017450571060180664,0.005208580710872106,10.0,26.363636363636363,17:59:22,0.04272727272727273,0.10079771280288696,0.9825494289398193
21,27.022586822509766,0.0268937349319458,0.003949061599433126,10.0,26.363636363636363,17:52:30,0.04272727272727273,0.10294248163700104,0.9731062650680542
22,42.658931732177734,0.01764446496963501,0.004760008475218858,10.0,26.363636363636363,19:14:17,0.04272727272727273,0.10019414126873016,0.982355535030365
23,26.349002838134766,0.02771073579788208,0.0043154886973166395,10.0,26.363636363636363,19:24:09,0.04272727272727273,0.10002828389406204,0.9722892642021179
24,28.41782569885254,0.023540139198303223,0.0013179729367290898,10.0,20.0,17:59:22,0.1,0.06345725804567337,0.9764598608016968
25,33.06154251098633,0.0178067684173584,0.0064196227997232215,10.0,20.0,17:52:30,0.1,0.06713858246803284,0.9821932315826416
26,29.27446174621582,0.023413121700286865,0.0007390164058803387,10.0,20.0,19:14:17,0.1,0.0640183687210083,0.9765868782997131
27,29.615779876708984,0.020383596420288086,0.005983029903693998,10.0,20.0,19:24:09,0.1,0.0612482950091362,0.9796164035797119
28,37.010555267333984,0.018333077430725098,0.0021048151536208017,10.0,20.0,17:59:22,0.1,0.0654834508895874,0.9816669225692749
29,2.2944345474243164,0.038981497287750244,0.017711384038767316,10.0,20.0,17:52:30,0.1,0.03491084277629852,0.9610185027122498
30,37.307861328125,0.018618881702423096,0.0026659351757109093,10.0,20.0,19:14:17,0.1,0.06601746380329132,0.9813811182975769
31,2.061164140701294,0.03628426790237427,0.018751185163000093,10.0,20.0,19:24:09,0.1,0.03415441885590553,0.9637157320976257
32,31.398672103881836,0.02101290225982666,0.0019529042456077187,20.0,20.0,17:59:22,0.1,0.06298661231994629,0.9789870977401733
33,3.7931931018829346,0.020747661590576172,0.016208916960182763,20.0,20.0,17:52:30,0.1,0.032784126698970795,0.9792523384094238
34,31.548797607421875,0.020765185356140137,0.0017457049813099294,20.0,20.0,19:14:17,0.1,0.06377236545085907,0.9792348146438599
35,3.308281660079956,0.022247612476348877,0.01606666439920341,20.0,20.0,19:24:09,0.1,0.030789999291300774,0.9777523875236511
36,29.223440170288086,0.021649718284606934,0.0026191671095349423,20.0,20.0,17:59:22,0.1,0.06766630709171295,0.9783502817153931
37,5.306508541107178,0.01755613088607788,0.022708165980776244,20.0,20.0,17:52:30,0.1,0.07063696533441544,0.9824438691139221
38,28.762489318847656,0.021732628345489502,0.0006426282862534001,20.0,20.0,19:14:17,0.1,0.06799814850091934,0.9782673716545105
39,5.083959102630615,0.017562031745910645,0.020834859653438027,20.0,20.0,19:24:09,0.1,0.07051628082990646,0.9824379682540894
40,33.198307037353516,0.022929072380065918,0.003565391992477968,16.363636363636363,26.363636363636363,17:59:22,0.1,0.09347241371870041,0.9770709276199341
