blank,,0,,DMSO_1,,DMSO_2,,ArachadionicAcid_1,,ArachadionicAcid_2,,ArachadionicAcid_3,,ArachadionicAcid_4,,ArachadionicAcid_5,,ArachadionicAcid_6,,ArachadionicAcid_7,,ArachadionicAcid_8,,ArachadionicAcid_9,,ArachadionicAcid_10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
786.9857788,-0.001879803021,786.9857788,0.0005420278758,786.9857788,0.001168302377,786.9857788,0.0005819179933,786.9857788,0.003415641142,786.9857788,0.004571728874,786.9857788,0.002551397542,786.9857788,0.007203788962,786.9857788,0.005337266717,786.9857788,0.008214057423,786.9857788,0.004882488865,786.9857788,0.004934614059,786.9857788,0.005600559991,786.9857788,0.005939821247,
786.0165405,-0.0002361193765,786.0165405,0.001577349147,786.0165405,0.002157275565,786.0165405,0.002552048536,786.0165405,0.003928958904,786.0165405,0.001136066625,786.0165405,0.003381281393,786.0165405,0.004986613989,786.0165405,0.004768077284,786.0165405,0.009330397472,786.0165405,0.003278922988,786.0165405,0.007376238238,786.0165405,0.006274646148,786.0165405,0.006760278251,
785.012207,0.002926226938,785.012207,0.001490584109,785.012207,0.002349281684,785.012207,0.007332297042,785.012207,0.006072076969,785.012207,0.002910955576,785.012207,0.005665411707,785.012207,0.00214335788,785.012207,0.006078166887,785.012207,0.009109030478,785.012207,0.004494642839,785.012207,0.009613538161,785.012207,0.006096070167,785.012207,0.008709918708,
784.0076294,-0.0001374845015,784.0076294,0.001663092058,784.0076294,0.001945670112,784.0076294,0.00288734585,784.0076294,0.004489987157,784.0076294,0.004611572251,784.0076294,0.003000559285,784.0076294,0.004074818455,784.0076294,0.006792855449,784.0076294,0.009068613872,784.0076294,0.006066800561,784.0076294,0.005413821433,784.0076294,0.004914611578,784.0076294,0.004561055917,
783.0025635,7.088156417E-005,783.0025635,0.001633521868,783.0025635,0.001336475951,783.0025635,0.0003612594737,783.0025635,0.00442831777,783.0025635,0.005729512777,783.0025635,0.007693228312,783.0025635,0.00345556112,783.0025635,0.004920659121,783.0025635,0.00798155088,783.0025635,0.004208572209,783.0025635,0.004864478484,783.0025635,0.006079532206,783.0025635,0.005228734575,
781.9971313,-0.0002029503376,781.9971313,0.002776792971,781.9971313,0.003028684761,781.9971313,0.004161082208,781.9971313,0.004834427964,781.9971313,0.006145164371,781.9971313,0.00316469837,781.9971313,0.004182121251,781.9971313,0.005451199133,781.9971313,0.008632120676,781.9971313,0.003404004965,781.9971313,0.005989448167,781.9971313,0.004826705903,781.9971313,0.006163805723,
780.9912109,-6.93688562E-005,780.9912109,0.001675747102,780.9912109,0.0009781406261,780.9912109,0.004037558567,780.9912109,0.00384791242,780.9912109,0.002322787652,780.9912109,0.004903798923,780.9912109,0.001460194471,780.9912109,0.004770772997,780.9912109,0.006674600765,780.9912109,0.004438020289,780.9912109,0.003580302466,780.9912109,0.006096542813,780.9912109,0.007615980692,
779.9850464,0.0001173569472,779.9850464,0.000759847986,779.9850464,0.001641446957,779.9850464,0.00395165896,779.9850464,0.003178596729,779.9850464,0.002423619386,779.9850464,0.003325351747,779.9850464,0.003317578463,779.9850464,0.005303776823,779.9850464,0.007322082296,779.9850464,0.002181027783,779.9850464,0.00566929346,779.9850464,0.008523263969,779.9850464,0.005862202961,
779.0130615,0.0006467763451,779.0130615,0.001511416514,779.0130615,0.001415419043,779.0130615,0.00160317414,779.0130615,0.00442923326,779.0130615,0.003302189056,779.0130615,0.001577037387,779.0130615,0.001383112976,779.0130615,0.005545812193,779.0130615,0.009050640278,779.0130615,0.005621852819,779.0130615,0.006077326834,779.0130615,0.006827065255,779.0130615,0.00640182849,
778.0061035,-0.0001768686925,778.0061035,0.001354860142,778.0061035,0.001674083993,778.0061035,0.003655686509,778.0061035,0.003804692067,778.0061035,-4.214031287E-005,778.0061035,0.006591436919,778.0061035,0.005172645207,778.0061035,0.004434620496,778.0061035,0.008384902962,778.0061035,0.005269686691,778.0061035,0.00406875601,778.0061035,0.00380372582,778.0061035,0.003005198902,
