baseline,,bm3,,dmos_1,,arachadonicacid_0.5,,arachadonicacid_0.5,,arachadonicacid_1.0,,arachadonicacid_1.5,,arachadonicacid_2.0,,arachadonicacid_2.5,,arachadonicacid_3.0,,arachadonicacid_3.5,,arachadonicacid_4.0,,arachadonicacid_5.0,,arachadonicacid_6.0,,arachadonicacid_7.0,,arachadonicacid_8.0,,arachadonicacid_9.0,,arachadonicacid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
789.9950562,-0.00106132112,789.9950562,0.0017366627,789.9950562,0.002248207107,789.9950562,0.001008833875,789.9937134,0.00316232536,789.9937134,0.004857018124,789.9937134,0.004341870546,789.9937134,0.005273800343,789.9937134,0.006009893958,789.9937134,0.006412179209,789.9937134,0.005518440623,789.9937134,0.003777952399,789.9937134,0.007802114356,789.9937134,0.008866904303,789.9937134,0.008617175743,789.9937134,0.01031273324,789.9937134,0.01081970334,789.9937134,0.01070822775
788.9923706,-0.001189538161,788.9923706,0.001482583815,788.9923706,0.002637879923,788.9923706,0.004675962497,788.9909668,0.003220059676,788.9909668,0.00352586084,788.9909668,0.004331124481,788.9909668,0.005881173071,788.9909668,0.002471805084,788.9909668,0.005149933975,788.9909668,0.004904505797,788.9909668,0.006425420288,788.9909668,0.006659643725,788.9909668,0.0108603891,788.9909668,0.009031795897,788.9909668,0.007930377498,788.9909668,0.01063717995,788.9909668,0.009861880913
787.9892578,-0.00090423855,787.9892578,0.002824939787,787.9892578,0.003831537906,787.9892578,0.004614057951,787.987915,0.004789722152,787.987915,0.005797400605,787.987915,0.004825920798,787.987915,0.005673935171,787.987915,0.007710697595,787.987915,0.007085553836,787.987915,0.006957355421,787.987915,0.008060893975,787.987915,0.007368076127,787.987915,0.01270412467,787.987915,0.008657946251,787.987915,0.01228281669,787.987915,0.01572862826,787.987915,0.01158858091
786.9857788,-0.003578139935,786.9857788,3.940023089E-05,786.9857788,-0.0002513835207,786.9857788,0.002001214307,786.984436,0.0009290308226,786.984436,0.001344966819,786.984436,0.004874714185,786.984436,0.001132744597,786.984436,0.005822979379,786.984436,0.003879645141,786.984436,0.006281921174,786.984436,0.003524112282,786.984436,0.005084190052,786.984436,0.007909973152,786.984436,0.00917678792,786.984436,0.006733382121,786.984436,0.009217373095,786.984436,0.00764063932
786.0165405,-0.001857430558,786.0165405,0.0008279748727,786.0165405,0.004226895515,786.0165405,0.001255859737,786.0151367,0.003545616753,786.0151367,0.005008426495,786.0151367,0.005672781263,786.0151367,0.002818269888,786.0151367,0.005663943011,786.0151367,0.006173809059,786.0151367,0.006123373285,786.0151367,0.006311704405,786.0151367,0.003465424292,786.0151367,0.008537994698,786.0151367,0.009896386415,786.0151367,0.01090551261,786.0151367,0.0145046236,786.0151367,0.01143953856
785.012207,0.0001625684235,785.012207,0.003153225407,785.012207,0.002731438959,785.012207,0.005403835326,785.0108643,0.003099228255,785.0108643,0.005864590406,785.0108643,0.005233843811,785.0108643,0.007144996431,785.0108643,0.004156638868,785.0108643,0.006682933774,785.0108643,0.008276582696,785.0108643,0.006153119262,785.0108643,0.005973360036,785.0108643,0.01315431111,785.0108643,0.01360146515,785.0108643,0.01187298447,785.0108643,0.00989765767,785.0108643,0.01126262546
784.0076294,-0.0001721075823,784.0076294,0.005593244452,784.0076294,0.005161040463,784.0076294,0.006882658694,784.0062256,0.004988237284,784.0062256,0.006354360841,784.0062256,0.005036289804,784.0062256,0.004485645331,784.0062256,0.009153945372,784.0062256,0.00962372683,784.0062256,0.007844679989,784.0062256,0.008616092615,784.0062256,0.00855755806,784.0062256,0.01081795152,784.0062256,0.008826298639,784.0062256,0.01309203915,784.0062256,0.01283992361,784.0062256,0.01316362247
783.0025635,0.001041293726,783.0025635,0.003963335883,783.0025635,0.004059401806,783.0025635,0.006578480359,783.0012207,0.00471652206,783.0012207,0.004543346353,783.0012207,0.007974906825,783.0012207,0.005865246523,783.0012207,0.01010715961,783.0012207,0.007854590192,783.0012207,0.008091063239,783.0012207,0.007826072164,783.0012207,0.008319617249,783.0012207,0.01069713663,783.0012207,0.0115465764,783.0012207,0.01238454971,783.0012207,0.01019134372,783.0012207,0.01209837385
781.9971313,-0.000891012256,781.9971313,0.0003770892508,781.9971313,0.002414248418,781.9971313,0.004963283893,781.9957275,0.003024931066,781.9957275,0.004844740964,781.9957275,0.004074243363,781.9957275,0.003676936496,781.9957275,0.003737558844,781.9957275,0.00447403267,781.9957275,0.005357629154,781.9957275,0.005472012796,781.9957275,0.008082413115,781.9957275,0.007016306743,781.9957275,0.00900486391,781.9957275,0.01097965613,781.9957275,0.006828984711,781.9957275,0.01034117769
780.9912109,0.0003885668411,780.9912109,0.001540251076,780.9912109,0.00284726941,780.9912109,0.006447830703,780.9898682,0.005275974981,780.9898682,0.004964409862,780.9898682,0.005885240156,780.9898682,0.003664484015,780.9898682,0.006504348014,780.9898682,0.007079607341,780.9898682,0.009530894458,780.9898682,0.007517123595,780.9898682,0.005739715882,780.9898682,0.01114020031,780.9898682,0.01415483747,780.9898682,0.01181467343,780.9898682,0.01331171021,780.9898682,0.01278886758
779.9850464,-0.0001207671376,779.9850464,0.003933190834,779.9850464,0.004404495005,779.9850464,0.007405702025,779.9835205,0.003678528825,779.9835205,0.005862439051,779.9835205,0.008520386182,779.9835205,0.004720578436,779.9835205,0.008355188183,779.9835205,0.008595761843,779.9835205,0.006483983714,779.9835205,0.006138521712,779.9835205,0.009991257451,779.9835205,0.01077886205,779.9835205,0.009739055298,779.9835205,0.01415625494,779.9835205,0.01210718416,779.9835205,0.0127792703
779.0130615,0.0003598086478,779.0130615,0.00467952108,779.0130615,0.005893321708,779.0130615,0.005584617611,779.0116577,0.005941763055,779.0116577,0.006664375309,779.0116577,0.008881540969,779.0116577,0.005477517843,779.0116577,0.007845127955,779.0116577,0.007374316454,779.0116577,0.009878908284,779.0116577,0.008444179781,779.0116577,0.01195290871,779.0116577,0.01114471536,779.0116577,0.0120190084,779.0116577,0.01389518194,779.0116577,0.01480848715,779.0116577,0.01739209332
778.0061035,-0.0002594034595,778.0061035,0.00414720457,778.0061035,0.002866421128,778.0061035,0.004487319384,778.0045776,0.003890954424,778.0045776,0.005089401733,778.0045776,0.005643618759,778.0045776,0.007195129991,778.0045776,0.006482065655,778.0045776,0.006042992231,778.0045776,0.006747421343,778.0045776,0.008478837088,778.0045776,0.009594774805,778.0045776,0.007009309251,778.0045776,0.01248742547,778.0045776,0.01333744172,778.0045776,0.008018808439,778.0045776,0.01378841791
776.9986572,-0.000554795959,776.9986572,0.002691976028,776.9986572,0.004570656456,776.9986572,0.006334371399,776.9971313,0.005381557159,776.9971313,0.007241874002,776.9971313,0.005862937309,776.9971313,0.004387994763,776.9971313,0.006111480761,776.9971313,0.01140132267,776.9971313,0.00832054019,776.9971313,0.007777314633,776.9971313,0.005696306936,776.9971313,0.01116253622,776.9971313,0.01608957164,776.9971313,0.01359532122,776.9971313,0.01384624653,776.9971313,0.01281459443
775.9909058,-0.001302077668,775.9909058,0.001258118427,775.9909058,0.003550862428,775.9909058,0.003420728724,775.9893799,0.003171712626,775.9893799,0.003767298767,775.9893799,0.003255658317,775.9893799,0.003164854832,775.9893799,0.005108260084,775.9893799,0.005883797072,775.9893799,0.005551003385,775.9893799,0.005832266528,775.9893799,0.008799697272,775.9893799,0.007572225761,775.9893799,0.007504323497,775.9893799,0.008409974165,775.9893799,0.01117387787,775.9893799,0.01058585197
774.982666,0.001146759721,774.982666,0.003785368288,774.982666,0.003965399694,774.982666,0.004606052302,775.0159302,0.002498802962,775.0159302,0.005954989232,775.0159302,0.006535907276,775.0159302,0.004986666143,775.0159302,0.01183637977,775.0159302,0.008824818768,775.0159302,0.007422501687,775.0159302,0.00640022615,775.0159302,0.008199864998,775.0159302,0.01002566703,775.0159302,0.008778036572,775.0159302,0.01289271936,775.0159302,0.01111927256,775.0159302,0.0139368251
774.0089111,-0.0003246440028,774.0089111,0.003499947255,774.0089111,0.00369719509,774.0089111,0.004878562409,774.0072632,0.004414431751,774.0072632,0.006094679236,774.0072632,0.006611674558,774.0072632,0.007279409561,774.0072632,0.00684063416,774.0072632,0.005406298675,774.0072632,0.009376896545,774.0072632,0.00774711417,774.0072632,0.01128196623,774.0072632,0.0107473908,774.0072632,0.0105192,774.0072632,0.01342764776,774.0072632,0.01298576687,774.0072632,0.0145177925
772.9998779,0.003679338144,772.9998779,0.006942046806,772.9998779,0.008661406115,772.9998779,0.007457234897,772.9983521,0.00849739369,772.9983521,0.007775575388,772.9983521,0.01031339634,772.9983521,0.009317147546,772.9983521,0.007004652638,772.9983521,0.009575985372,772.9983521,0.007320818491,772.9983521,0.01106971968,772.9983521,0.01222793944,772.9983521,0.01122915372,772.9983521,0.01326460112,772.9983521,0.01506501809,772.9983521,0.01557515468,772.9983521,0.01922578365
