baseline,,BM3,,dmsO1,,dmsO2,,arachadonuicacid_0.5,,arachadonuicacid_1.0,,arachadonuicacid_1.5,,arachadonuicacid_2.0,,arachadonuicacid_2.5,,arachadonuicacid_3.0,,arachadonuicacid_3.5,,arachadonuicacid_4.0,,arachadonuicacid_5.0,,arachadonuicacid_6.0,,arachadonuicacid_7.0,,arachadonuicacid_8.0,,arachadonuicacid_9.0,,arachadonuicacid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
789.9950562,-0.004116489086,789.9950562,-0.001595214591,789.9950562,5.513746146E-006,789.9950562,0.0005802331143,789.9950562,-0.002567634452,789.9950562,0.004793674219,789.9950562,0.0008593318635,789.9950562,0.008026059717,789.9950562,0.004246604629,789.9950562,0.003411492798,789.9950562,0.005123503972,789.9950562,0.005550662521,789.9950562,0.003606168553,789.9950562,0.005162585992,789.9950562,0.006636775564,789.9950562,0.008630562574,789.9950562,0.005374140106,789.9950562,0.007172760088,
788.9923706,0.0004822903138,788.9923706,0.00402810052,788.9923706,0.005494557787,788.9923706,0.004431037698,788.9923706,0.003330020932,788.9923706,0.005030476023,788.9923706,0.006132955663,788.9923706,0.008727191947,788.9923706,0.003814928932,788.9923706,0.005806739908,788.9923706,0.00821210444,788.9923706,0.003146002768,788.9923706,0.00759693468,788.9923706,0.007046008948,788.9923706,0.01022152882,788.9923706,0.01191855874,788.9923706,0.0104966322,788.9923706,0.009185115807,
787.9892578,2.32203347E-005,787.9892578,0.004034553654,787.9892578,0.005911322776,787.9892578,0.007449545432,787.9892578,0.0004226386955,787.9892578,0.007037905976,787.9892578,0.006737851538,787.9892578,0.01374505181,787.9892578,0.01090070792,787.9892578,0.006168925669,787.9892578,0.01043251343,787.9892578,0.008355372585,787.9892578,0.01179187838,787.9892578,0.009089205414,787.9892578,0.008651106618,787.9892578,0.01378510427,787.9892578,0.007168075535,787.9892578,0.01176982839,
786.9857788,-0.0002694411087,786.9857788,0.003929298837,786.9857788,0.002651188523,786.9857788,0.004616098478,786.9857788,0.0009879218414,786.9857788,0.006665479392,786.9857788,0.005322407931,786.9857788,0.005744935945,786.9857788,0.005698011722,786.9857788,0.005666749552,786.9857788,0.007664087694,786.9857788,0.007718839683,786.9857788,0.01312480122,786.9857788,0.01015806012,786.9857788,0.005047053099,786.9857788,0.01204312034,786.9857788,0.006018187851,786.9857788,0.01154846419,
786.0165405,0.003602775512,786.0165405,0.003695837688,786.0165405,0.006469532847,786.0165405,0.008972120471,786.0165405,0.005750286859,786.0165405,0.004025565926,786.0165405,0.009056005627,786.0165405,0.01147536561,786.0165405,0.008742484264,786.0165405,0.009532746859,786.0165405,0.009853142314,786.0165405,0.008896257728,786.0165405,0.0100580398,786.0165405,0.01031379402,786.0165405,0.01040597167,786.0165405,0.01780040003,786.0165405,0.01022245642,786.0165405,0.01360130403,
785.012207,-0.000906046771,785.012207,0.001769280992,785.012207,0.006377187558,785.012207,0.003254902083,785.012207,0.005360800307,785.012207,0.004170464817,785.012207,0.006349291187,785.012207,0.01059333142,785.012207,0.00591930002,785.012207,0.00204126467,785.012207,0.007099209819,785.012207,0.004550278652,785.012207,0.007111103274,785.012207,0.008870523423,785.012207,0.008439402096,785.012207,0.01368822623,785.012207,0.005891039036,785.012207,0.008498713374,
784.0076294,0.003745052498,784.0076294,0.002558375942,784.0076294,0.004774568137,784.0076294,0.005395290907,784.0076294,0.00591195235,784.0076294,0.00569232041,784.0076294,0.00416777283,784.0076294,0.008001800627,784.0076294,0.006719711237,784.0076294,0.008848674595,784.0076294,0.009611050598,784.0076294,0.007966311648,784.0076294,0.008162091486,784.0076294,0.008412534371,784.0076294,0.01100299321,784.0076294,0.01456369832,784.0076294,0.01059378311,784.0076294,0.01230590418,
783.0025635,0.0009771288605,783.0025635,0.002912988188,783.0025635,0.001745057409,783.0025635,0.004449736327,783.0025635,0.00264980807,783.0025635,0.006025143433,783.0025635,0.003784558969,783.0025635,0.009986144491,783.0025635,0.006056038197,783.0025635,0.007873806171,783.0025635,0.006494940724,783.0025635,0.0044718883,783.0025635,0.007006362546,783.0025635,0.008499241434,783.0025635,0.006122926716,783.0025635,0.01054484677,783.0025635,0.00587988738,783.0025635,0.009293953888,
781.9971313,0.001359819784,781.9971313,0.003369854996,781.9971313,0.001969072735,781.9971313,0.006454845425,781.9971313,0.005353541113,781.9971313,0.004589439835,781.9971313,0.009023074061,781.9971313,0.008548106067,781.9971313,0.006531177089,781.9971313,0.004794092849,781.9971313,0.008079064079,781.9971313,0.005888205022,781.9971313,0.00675165467,781.9971313,0.008150168695,781.9971313,0.00973606389,781.9971313,0.01159910858,781.9971313,0.0103144031,781.9971313,0.01334849279,
780.9912109,0.002840286354,780.9912109,0.003397456603,780.9912109,0.0051620882,780.9912109,0.007387691643,780.9912109,0.005271703936,780.9912109,0.006373011041,780.9912109,0.006409237161,780.9912109,0.01071724854,780.9912109,0.009032059461,780.9912109,0.005796823185,780.9912109,0.00952105131,780.9912109,0.00799908489,780.9912109,0.009691591375,780.9912109,0.01255278103,780.9912109,0.01205490995,780.9912109,0.01443554834,780.9912109,0.01089391299,780.9912109,0.01266662404,
779.9850464,0.00294379238,779.9850464,0.002809437457,779.9850464,0.004500397015,779.9850464,0.003365446115,779.9850464,0.004862174857,779.9850464,0.006631072145,779.9850464,0.005959923379,779.9850464,0.008240279742,779.9850464,0.005803880282,779.9850464,0.002985232975,779.9850464,0.006714190822,779.9850464,0.006030471995,779.9850464,0.01072380226,779.9850464,0.00648246007,779.9850464,0.01034417283,779.9850464,0.01212608349,779.9850464,0.007113839965,779.9850464,0.01155734342,
779.0130615,0.0005820216611,779.0130615,0.004090575036,779.0130615,0.005041474942,779.0130615,0.002607722301,779.0130615,0.0046709124,779.0130615,0.003462762805,779.0130615,0.006421925966,779.0130615,0.01086240634,779.0130615,0.008100320585,779.0130615,0.00719689345,779.0130615,0.008132365532,779.0130615,0.006173520349,779.0130615,0.009014907293,779.0130615,0.008311120793,779.0130615,0.01228244416,779.0130615,0.01178360637,779.0130615,0.008199152537,779.0130615,0.01395409368,
778.0061035,0.0005897720112,778.0061035,0.0005953969085,778.0061035,0.001539030112,778.0061035,0.002137686824,778.0061035,0.001242256491,778.0061035,0.001602342702,778.0061035,0.001474583754,778.0061035,0.006887024269,778.0061035,0.005720961839,778.0061035,0.002318493556,778.0061035,0.007281831466,778.0061035,0.002832730301,778.0061035,0.004422564991,778.0061035,0.009262854233,778.0061035,0.01042617578,778.0061035,0.007402436808,778.0061035,0.00688194856,778.0061035,0.008611207828,
776.9986572,0.004845735617,776.9986572,0.002756941831,776.9986572,0.003021151526,776.9986572,0.00433664117,776.9986572,0.005504913162,776.9986572,0.006289484911,776.9986572,0.005893085618,776.9986572,0.01094854251,776.9986572,0.007083922625,776.9986572,0.006084703375,776.9986572,0.007991781458,776.9986572,0.006701677106,776.9986572,0.007865529507,776.9986572,0.008282492869,776.9986572,0.006810078397,776.9986572,0.01159169152,776.9986572,0.01054895762,776.9986572,0.01195290871,
775.9909058,-0.002742483281,775.9909058,-0.0008081324049,775.9909058,9.389855404E-005,775.9909058,0.003795996308,775.9909058,0.001660077833,775.9909058,0.003656991757,775.9909058,0.0001586064027,775.9909058,0.007387586404,775.9909058,0.004570106976,775.9909058,0.003070289968,775.9909058,0.00667415373,775.9909058,0.00266921171,775.9909058,0.008971697651,775.9909058,0.004273608327,775.9909058,0.005931554828,775.9909058,0.005640917458,775.9909058,0.007001864258,775.9909058,0.008467248641,
774.982666,0.001375348424,774.982666,0.004056396894,774.982666,0.002951063914,774.982666,0.005097678397,774.982666,0.005310720764,774.982666,0.005304798484,774.982666,0.005695074331,774.982666,0.008998733014,774.982666,0.007229555864,774.982666,0.006474183407,774.982666,0.00827027671,774.982666,0.006630073301,774.982666,0.006776684895,774.982666,0.01076718606,774.982666,0.009879754856,774.982666,0.01117831282,774.982666,0.01010718569,774.982666,0.01091748383,
774.0089111,0.002114275005,774.0089111,0.002463500481,774.0089111,0.004633052275,774.0089111,0.006569203455,774.0089111,0.005540883169,774.0089111,0.006702360697,774.0089111,0.007644881029,774.0089111,0.01042967569,774.0089111,0.006271967199,774.0089111,0.00932521373,774.0089111,0.007766878698,774.0089111,0.006730227266,774.0089111,0.005085787736,774.0089111,0.01024233364,774.0089111,0.01046541985,774.0089111,0.01182299946,774.0089111,0.009257856756,774.0089111,0.0092245657,
772.9998779,0.0009675036417,772.9998779,0.001696016756,772.9998779,0.003062156262,772.9998779,0.003034914844,772.9998779,0.004461008124,772.9998779,0.006199541502,772.9998779,0.005714823958,772.9998779,0.007824569009,772.9998779,0.005025526509,772.9998779,0.0048567825,772.9998779,0.008714831434,772.9998779,0.006198910996,772.9998779,0.008258984424,772.9998779,0.008066379465,772.9998779,0.008607168682,772.9998779,0.01260892581,772.9998779,0.009619889781,772.9998779,0.007848290727,
771.9904785,-0.001530732145,771.9904785,0.00410152413,771.9904785,0.003236358985,771.9904785,0.003013540059,771.9904785,0.005477622617,771.9904785,0.00769069884,771.9904785,0.003947218414,771.9904785,0.009459272027,771.9904785,0.006654859986,771.9904785,0.007302022073,771.9904785,0.006751207635,771.9904785,0.007878524251,771.9904785,0.01192470454,771.9904785,0.008918214589,771.9904785,0.01187311765,771.9904785,0.006894835737,771.9904785,0.01057407446,771.9904785,0.01005645003,
771.015625,1.721451008E-005,771.015625,0.001835330739,771.015625,0.003706123913,771.015625,0.004063269123,771.015625,0.001113772858,771.015625,0.003952808212,771.015625,0.004397957586,771.015625,0.009663375095,771.015625,0.007022883743,771.015625,0.004871834535,771.015625,0.01077952515,771.015625,0.007025725208,771.015625,0.006072024349,771.015625,0.008522762917,771.015625,0.006848865189,771.015625,0.01019773073,771.015625,0.00993288029,771.015625,0.01078013517,
770.0054932,-0.00575881172,770.0054932,-0.0002908091119,770.0054932,0.0007057068287,770.0054932,0.001396616804,770.0054932,0.0002082507708,770.0054932,0.003653676482,770.0054932,-0.0005435756757,770.0054932,0.008391104639,770.0054932,0.002212690655,770.0054932,0.003671819577,770.0054932,0.005174374208,770.0054932,0.003999910317,770.0054932,0.002275320934,770.0054932,0.004472411238,770.0054932,0.007015017793,770.0054932,0.005956485402,770.0054932,0.007817137055,770.0054932,0.008467618376,
768.9949341,-0.002765016165,768.9949341,0.0007569437148,768.9949341,0.003530297196,768.9949341,0.002837316133,768.9949341,0.003073574742,768.9949341,0.002838202054,768.9949341,0.00747006014,768.9949341,0.008718185127,768.9949341,0.006759226322,768.9949341,0.003386577358,768.9949341,0.006766246632,768.9949341,0.006004382391,768.9949341,0.007408019155,768.9949341,0.007522601634,768.9949341,0.007250112481,768.9949341,0.01116920263,768.9949341,0.01079008635,768.9949341,0.01180959307,
767.9840088,-0.001185097964,767.9840088,0.0006895798724,767.9840088,-0.001221289625,767.9840088,0.001520040678,767.9840088,0.001170923933,767.9840088,0.003395864973,767.9840088,0.005634335335,767.9840088,0.007513146382,767.9840088,0.004259126261,767.9840088,0.001954380888,767.9840088,0.008015275002,767.9840088,0.003554933704,767.9840088,0.007202420384,767.9840088,0.006505819503,767.9840088,0.005124892108,767.9840088,0.01050753146,767.9840088,0.007477091625,767.9840088,0.007795340847,
767.0076294,0.0001460214116,767.0076294,0.004128623288,767.0076294,0.003137085354,767.0076294,0.004802651703,767.0076294,0.005657832604,767.0076294,0.005760805681,767.0076294,0.004161891993,767.0076294,0.009361819364,767.0076294,0.005069575738,767.0076294,0.00549712684,767.0076294,0.007925131358,767.0076294,0.003992124926,767.0076294,0.007887434214,767.0076294,0.007614505477,767.0076294,0.00845320709,767.0076294,0.01028444991,767.0076294,0.01003032923,767.0076294,0.01227155328,
765.9959717,-0.001505710417,765.9959717,0.002619441366,765.9959717,0.003333229572,765.9959717,0.005009133369,765.9959717,0.004088379908,765.9959717,0.00553015992,765.9959717,0.003437792417,765.9959717,0.00959437713,765.9959717,0.0052709179,765.9959717,0.006084572058,765.9959717,0.007769382093,765.9959717,0.004921915941,765.9959717,0.006116048433,765.9959717,0.008619762957,765.9959717,0.009239267558,765.9959717,0.01068533026,765.9959717,0.009360682219,765.9959717,0.01143706683,
