,SrcID,DestID,Volume
571,K3,O18,460.0
572,L9,P17,1000.0
574,L9,P18,1000.0
577,K3,A19,1317.5
579,K3,A20,1317.5
581,K3,B19,1317.5
583,K3,B20,1317.5
584,L9,C19,10.0
585,K3,C19,1307.5
586,L9,C20,10.0
587,K3,C20,1307.5
588,L9,D19,45.0
589,K4,D19,1272.5
590,L9,D20,45.0
591,K4,D20,1272.5
592,L9,E19,140.0
593,K4,E19,1177.5
594,L9,E20,140.0
595,K4,E20,1177.5
596,L9,F19,342.5
597,K4,F19,975.0
598,L9,F20,342.5
599,K4,F20,975.0
600,L9,G19,712.5
601,K4,G19,605.0
602,L9,G20,712.5
603,K4,G20,605.0
604,L9,H19,1317.5
606,L10,H20,1317.5
609,K4,I19,1317.5
611,K4,I20,1317.5
613,K5,J19,1317.5
615,K5,J20,1317.5
616,L10,K19,10.0
617,K5,K19,1307.5
618,L10,K20,10.0
619,K5,K20,1307.5
620,L10,L19,45.0
621,K5,L19,1272.5
622,L10,L20,45.0
623,K5,L20,1272.5
624,L10,M19,140.0
625,K5,M19,1177.5
626,L10,M20,140.0
627,K5,M20,1177.5
628,L10,N19,342.5
629,K6,N19,975.0
630,L10,N20,342.5
631,K6,N20,975.0
632,L10,O19,712.5
633,K6,O19,605.0
634,L10,O20,712.5
635,K6,O20,605.0
636,L10,P19,1317.5
638,L10,P20,1317.5
