,K-Value,% DMSO,Working Vol
0,1.5454545454545454,1.0,20.0
1,1.0,5.0,20.0
2,2.6363636363636362,3.1818181818181817,20.0
3,4.0,1.0,20.0
4,4.0,1.0,20.0
5,1.5454545454545454,1.0,20.0
6,1.0,5.0,20.0
7,2.6363636363636362,3.1818181818181817,20.0
8,2.6363636363636362,5.0,29.0
9,2.6363636363636362,5.0,29.0
10,1.0,2.8181818181818183,29.0
11,1.0,2.8181818181818183,29.0
12,1.0,5.0,40.0
13,1.0,1.0,40.0
14,4.0,5.0,40.0
15,1.0,5.0,40.0
16,1.0,1.0,40.0
17,4.0,1.0,40.0
18,4.0,1.0,40.0
19,4.0,5.0,40.0
