BLANK,,BM3_wthEME_2IN1000,,BM3_wtheme_5in1000,,BM3_wtheme_10in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
750.9950562,0.000786376535,750.9950562,0.002495105844,750.9950562,0.004830396734,750.9950562,0.008859929629,
750.0055542,6.937495073E-6,750.0055542,0.002500078641,750.0055542,0.003858359298,750.0055542,0.009469035082,
749.015625,-0.0005455405335,749.015625,0.005671732128,749.015625,0.006664375309,749.015625,0.009617745876,
748.0253906,0.0004327182542,748.0253906,0.002298689447,748.0253906,0.00615188526,748.0253906,0.009159629233,
747.03479,0.0008831429295,747.03479,0.006090295035,747.03479,0.005049959756,747.03479,0.009017681703,
746.0438843,-0.0001300833974,746.0438843,0.004184055608,746.0438843,0.00488699181,746.0438843,0.009654032066,
745.0525513,-0.001104391413,745.0525513,0.001365220989,745.0525513,0.00483487267,745.0525513,0.009303580038,
744.0609131,0.0007425262593,744.0609131,0.004764858168,744.0609131,0.005340647418,744.0609131,0.00928787142,
743.0689087,-0.000302967208,743.0689087,0.002102907747,743.0689087,0.005623688456,743.0689087,0.008138827048,
741.9347534,0.001583402511,741.9347534,0.004550670739,741.9347534,0.005886368454,741.9347534,0.01036037039,
740.9420166,-0.001024444588,740.9420166,0.004001216497,740.9420166,0.005008164793,740.9420166,0.00828747917,
739.9489136,0.0002119801502,739.9489136,0.002421953483,739.9489136,0.005219303071,739.9489136,0.009871969931,
738.9554443,0.000404112594,738.9554443,0.001900584553,738.9554443,0.004033900797,738.9554443,0.008832189254,
737.9616699,-0.001069067861,737.9616699,0.003515187185,737.9616699,0.004223288037,737.9616699,0.009106704034,
736.9675293,-7.609807653E-5,736.9675293,0.002018898493,736.9675293,0.005886027589,736.9675293,0.00906348601,
735.9730225,0.0002165383339,735.9730225,0.003635560162,735.9730225,0.004691453185,735.9730225,0.009623753838,
734.9782104,-0.0003453367972,734.9782104,0.004138187971,734.9782104,0.005356187932,734.9782104,0.009623436257,
733.9830322,0.001629156643,733.9830322,0.003249894595,733.9830322,0.005358127411,733.9830322,0.01044958923,
732.9874878,0.0001031937281,732.9874878,0.003969004843,732.9874878,0.005961104296,732.9874878,0.008788337931,
731.9915771,-0.0001557538199,731.9915771,0.002623321721,731.9915771,0.006184679456,731.9915771,0.01009520981,
730.9953613,-0.0008650235832,730.9953613,0.002732767491,730.9953613,0.005372751039,730.9953613,0.01060640905,
729.9987793,-0.0003817537508,729.9987793,0.004361768253,729.9987793,0.004991170019,729.9987793,0.008689636365,
729.0018921,0.0008617699496,729.0018921,0.002134304959,729.0018921,0.006480857264,729.0018921,0.01046430599,
728.0046387,-0.0007188792806,728.0046387,0.002069302136,728.0046387,0.005049174186,728.0046387,0.01007817406,
727.007019,0.0003845768515,727.007019,0.003253154689,727.007019,0.005309226923,727.007019,0.008885582909,
726.0090942,6.332169141E-5,726.0090942,0.004552449565,726.0090942,0.006073467899,726.0090942,0.01081781927,
725.0108032,-6.144893996E-5,725.0108032,0.002770983614,725.0108032,0.00498153409,725.0108032,0.01026480924,
724.012146,-0.0001952916064,724.012146,0.004880473483,724.012146,0.005062530749,724.012146,0.009996210225,
723.0131836,-6.362304703E-5,723.0131836,0.004659086,723.0131836,0.006734801922,723.0131836,0.01170982979,
722.013855,-0.0006684822147,722.013855,0.001763848704,722.013855,0.004749260377,722.013855,0.008677672595,
721.0142212,-0.0006182860816,721.0142212,0.003040232696,721.0142212,0.005225040484,721.0142212,0.009479511529,
720.0142212,0.001497363555,720.0142212,0.004059480503,720.0142212,0.006461571436,720.0142212,0.01067124307,
719.013916,-3.80507081E-5,719.013916,0.004054881632,719.013916,0.005658881739,719.013916,0.009782817215,
718.0131836,-3.955196007E-5,718.0131836,0.002854695544,718.0131836,0.005710496567,718.0131836,0.01057476457,
717.012207,0.0006008922937,717.012207,0.00273719593,717.012207,0.006017033011,717.012207,0.01045815367,
716.0108643,0.0001677993714,716.0108643,0.004492759705,716.0108643,0.006218841765,716.0108643,0.01067896374,
715.0091553,0.0001228721812,715.0091553,0.003857183969,715.0091553,0.005327701569,715.0091553,0.01164018735,
714.0071411,0.0005055623478,714.0071411,0.004016055726,714.0071411,0.00558390934,714.0071411,0.01085101999,
713.0047607,0.0004834046413,713.0047607,0.003505662084,713.0047607,0.005435864907,713.0047607,0.01096954197,
712.0020752,0.0005821512314,712.0020752,0.004050857853,712.0020752,0.005975669716,712.0020752,0.01136730891,
710.9990234,0.0004069627321,710.9990234,0.004341085907,710.9990234,0.005842288956,710.9990234,0.01029091794,
709.9956665,-0.0003645802208,709.9956665,0.00340155256,709.9956665,0.005299190991,709.9956665,0.01102364995,
708.9919434,-0.0001286342158,708.9919434,0.003238993231,708.9919434,0.005520092323,708.9919434,0.01133534312,
707.987915,-0.0007562469109,707.987915,0.002715992043,707.987915,0.005709316116,707.987915,0.01017059386,
706.9835815,-0.0001753679098,706.9835815,0.004088066518,706.9835815,0.006445203442,706.9835815,0.01047830749,
705.9788208,-5.487478484E-5,705.9788208,0.0033625504,705.9788208,0.00537330145,705.9788208,0.01025176886,
704.9738159,-0.0002825828269,704.9738159,0.003261161502,704.9738159,0.006200276781,704.9738159,0.01125202607,
703.9684448,-0.000577597646,703.9684448,0.002130689099,703.9684448,0.005072430242,703.9684448,0.009936005808,
702.9627075,0.0002678470337,702.9627075,0.004165760241,702.9627075,0.005618968513,702.9627075,0.01085603703,
701.956665,-0.0002319798514,701.956665,0.004473901819,701.956665,0.006072759163,701.956665,0.01102319825,
700.9503174,0.00074755674,700.9503174,0.004549389239,700.9503174,0.005986036267,700.9503174,0.01109013986,
699.9436035,0.0005112120998,699.9436035,0.003534446703,699.9436035,0.005711204372,699.9436035,0.01084653474,
698.9365845,0.0001428363757,698.9365845,0.003068100195,698.9365845,0.00493715331,698.9365845,0.01016834192,
697.9292603,0.0001346537902,697.9292603,0.00431114994,697.9292603,0.005856404547,697.9292603,0.01084433217,
697.0655518,0.0005516436649,697.0655518,0.004286732059,697.0655518,0.006066039205,697.0655518,0.01140405983,
696.0575562,0.0002869630989,696.0575562,0.00396566093,696.0575562,0.005851261783,696.0575562,0.01229080558,
695.0492554,0.0008072271012,695.0492554,0.002986275591,695.0492554,0.005679311696,695.0492554,0.01099778991,
694.0406494,-0.0003559931938,694.0406494,0.003859717166,694.0406494,0.005737486295,694.0406494,0.0111335339,
693.0316772,0.0004303084861,693.0316772,0.002580691827,693.0316772,0.006315433886,693.0316772,0.01078048069,
692.0223999,0.001154935453,692.0223999,0.003037730232,692.0223999,0.006456579547,692.0223999,0.0108188279,
691.0128174,0.0008012622711,691.0128174,0.003488178365,691.0128174,0.004947128706,691.0128174,0.01168786362,
690.0028687,-4.773110413E-5,690.0028687,0.004433495924,690.0028687,0.005818676669,690.0028687,0.01160240546,
688.9926147,0.0004827308585,688.9926147,0.002458840609,688.9926147,0.00557874376,688.9926147,0.01123637892,
687.9819946,-0.0001749021467,687.9819946,0.002769055776,687.9819946,0.005944807082,687.9819946,0.01232108381,
686.9711304,0.0001945766271,686.9711304,0.003481915686,686.9711304,0.006497463211,686.9711304,0.01175363082,
685.9598389,0.0004253334773,685.9598389,0.004767396953,685.9598389,0.006390769035,685.9598389,0.01202858891,
684.9483032,5.866156425E-5,684.9483032,0.004162388854,684.9483032,0.006329065654,684.9483032,0.01123207528,
683.9364624,-0.0003895643749,683.9364624,0.003772338387,683.9364624,0.005781791639,683.9364624,0.01163157262,
683.0688477,0.0001377092995,683.0688477,0.003145768074,683.0688477,0.005976115819,683.0688477,0.01215629652,
682.0563965,0.0001343430631,682.0563965,0.003357933136,682.0563965,0.00593667198,682.0563965,0.01199636236,
681.0435791,-0.0004720587458,681.0435791,0.002982053207,681.0435791,0.005805349443,681.0435791,0.01229972672,
680.0304565,0.0003625289537,680.0304565,0.003766463371,680.0304565,0.006659275852,680.0304565,0.01278590783,
679.0170288,0.0008947635652,679.0170288,0.003308344632,679.0170288,0.00720376242,679.0170288,0.01276111603,
678.0032349,-0.0006155977608,678.0032349,0.00307138497,678.0032349,0.006250222679,678.0032349,0.01205924805,
676.9891357,-4.04320017E-5,676.9891357,0.003912059125,676.9891357,0.006229529157,676.9891357,0.01216478925,
675.9747314,0.0005230301758,675.9747314,0.004344929475,675.9747314,0.006845551543,675.9747314,0.01445227396,
674.960022,-0.0004473896406,674.960022,0.002333692042,674.960022,0.005858241115,674.960022,0.01280003786,
