experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,BSA,well_volume,controls_ok,protein_days_thawed,centrifuge_rpm,centrifuge_minutes,dispense_bulk,plate_type
18,Arachadionic Acid,48.89194462108247,0.8249999999998994,-37.040300978250045,14.545454545454549,0.44199999999999995,50.796937499999984,0.08534211413589618,0.011885615555908634,0.01620806451520598,0.5,25.454545454545453,True,0,2,3700,Manual,?
18,Arachadionic Acid,19.492200598242945,0.4387972918645085,-14.475975306345791,20.0,0.24699999999999997,26.468562500000004,0.2287006070775403,0.038900743657966974,0.0029534274170013673,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,47.603404396271095,0.634999999999876,-38.45956108673048,20.0,0.28400000000000003,31.559875000000027,0.07894478128010254,0.004969550137731641,0.0055098286294618486,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.6396270806531763,0.10058827013746169,0.5683339404491585,13.636363636363637,0.22200000000000003,21.378937500000013,0.6058358362971372,0.066733879808428,0.03536804435671087,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,34.16679512212782,0.654999999999998,-38.10196731126315,13.636363636363637,0.2919999999999999,33.090437500000064,0.17329881277303713,0.007754031209635415,0.007641381046977076,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.8040745425001209,0.20612655613326508,0.6401642128281086,20.0,0.404,34.11618749999998,0.6153129090851275,0.11869280577548559,0.0630908266127546,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
18,Arachadionic Acid,34.18302844870097,0.9149999999999999,-35.02732942722002,20.0,0.488,55.100437499999984,0.04891023321667607,0.009941794893996032,0.014133820563007778,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
18,Arachadionic Acid,9.853744925353316e-19,0.09271428571428553,0.2467919177596587,10.0,0.5750000000000002,-14.228375000000025,-3.86063494785464,0.28604332838625296,-0.3556815019007936,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,30.544245284860633,0.7599999741468438,-40.19685842807264,10.0,-0.289,-42.25375000000001,-0.14928636561109618,0.014989877536905649,-0.02318407258067487,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,2.1180112545008476,0.36242881897150653,0.39887253156175073,16.363636363636363,0.47800000000000004,50.207624999999894,0.4710743085077882,0.14867840413840486,-0.1284997479764722,0.1,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,1.8504314864947609,0.41176736990161433,0.4938959059420499,16.363636363636363,0.61,68.57862499999996,0.43675999772068724,0.12791263759747454,0.0017989415310482471,0.1,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.9284644441474406,0.21765620202121258,0.6198119985560997,10.0,0.47600000000000003,49.91868749999992,0.5682094053259109,0.1524007288134054,0.08955589716848213,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,31.7755670002945,0.8099999988684443,-40.60705032778372,10.0,0.575,65.26593749999994,0.06291671733927334,0.010384569596968663,0.008958266125694864,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.6451497641378909,0.10651346022279831,0.5724161426222345,10.0,0.217,18.25962499999999,0.6818836338019008,0.06352446098045336,0.030508266129741606,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,42.54651363313607,0.5999999999999421,-39.349581186612966,10.0,0.256,27.452437500000002,0.13808509660570673,0.00976875485558786,0.006932661289434092,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.4382333884396169,0.07962503637338299,0.4681670429359478,20.0,0.22,21.89387500000003,0.70593915062188,0.07589984001488878,0.04822197580578014,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,32.410900968325706,0.6,-39.204230687438866,20.0,0.275,32.07837500000004,0.14366594817356707,0.008783100656536796,0.011701209676191437,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.8935772929038451,0.24444737658243437,0.6491809368447126,20.0,0.462,37.58825,0.6829639828921694,0.13870188998609315,0.06747187499858207,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,44.99158912723394,1.0799999999999998,-41.33701254524288,20.0,0.591,64.47106249999995,0.07590079455097208,0.015408137924022939,0.005939364918006524,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.8954730770327277,0.2016060341034014,0.6540286152158828,14.545454545454549,0.369,35.18612500000002,0.6054789037945408,0.1136460671181743,0.0594283266109632,0.5,25.454545454545453,True,0,2,3700,Manual,?
18,Arachadionic Acid,40.79284514677587,0.9399999999999997,-45.00079834073495,14.545454545454549,0.46399999999999997,53.88387499999998,0.07883665230757184,0.010783585409580364,0.010169707660443821,0.5,25.454545454545453,True,0,2,3700,Manual,?
18,Arachadionic Acid,9.935911560487888,0.19670256100922026,-2.998716823559386,20.0,0.207,17.894624999999987,0.6420900474003475,0.07238587076021318,0.03228427418951977,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,43.43567576876381,0.6299999999999648,-41.43008027193102,20.0,0.28200000000000003,31.281437500000024,0.09543109067825474,0.007854707414756365,0.005051260083969883,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,15.509720612540875,0.21176423547750511,-6.510616098369651,13.636363636363637,0.20900000000000002,14.193812500000014,1.227061835844367,0.08425598749389522,0.03375584677488547,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,35.496845470283844,0.6099999999999827,-35.3171922626082,13.636363636363637,0.29,32.58937500000004,0.09348268977641536,0.00998480989160178,0.0036720766152472904,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,34.393842724524276,0.9305650551968899,-30.76664818366024,20.0,0.375,24.118687499999993,1.0867831852161143,0.14182628962421398,0.047409979841624816,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
18,Arachadionic Acid,33.54865891793714,0.9799999999999996,-39.0231385930247,20.0,0.497,57.85674999999996,0.06694249963287802,0.01213539686795849,0.011938407258530234,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
18,Arachadionic Acid,1.031795286825476e-13,0.04442857131226008,0.19651670029248114,10.0,0.34199999999999997,-8.160812500000048,-7.6513557090688264,0.205031008107833,-0.24150110887034465,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,29.80194916045207,0.7249999191803316,-40.54309297091632,10.0,-0.276,-40.49718750000005,-0.13386364747354532,0.014212670403551906,-0.021599143146401732,0.1,23.63636363636364,True,0,2,3700,Manual,?
18,Arachadionic Acid,3.1105719832181897,0.32287876938399285,0.09917996690050201,16.363636363636363,1.2220000000000002,84.77687499999999,1.1076901024677164,0.3793094289061938,-0.48045599801625916,0.1,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,1.5921771683850379,0.37329800539533975,0.58546639191252,16.363636363636363,0.599,52.37881249999997,0.4315223422826494,0.14872211623407885,-0.02020927420449112,0.1,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.9963428415072465,0.22025554320430096,0.6401881240806535,10.0,0.46699999999999997,45.460062499999964,0.5512439744355336,0.1463164379008729,0.08531003023553652,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,31.81564405409879,0.8049999984070277,-41.01582326529429,10.0,0.5609999999999999,64.55262499999998,0.057314678777728376,0.009847951200993181,0.00914344758067061,0.390909090909091,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.6635224289549497,0.10107284140584712,0.5742673395916851,10.0,0.20600000000000002,18.245750000000008,0.6865156674327405,0.060454085292653545,0.029452318544771136,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,43.12711355124871,0.5549999999999365,-39.45436075574017,10.0,0.25,26.331937499999995,0.1622683127520261,0.007704358692139337,0.0031884576608355963,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.503722080939577,0.07965526890985374,0.4916555941561547,20.0,0.205,18.652562500000016,0.8299958909188793,0.06968449304851526,0.04082268144944348,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,31.949099372119893,0.5499999999999997,-38.51359009402099,20.0,0.25899999999999995,31.59812500000001,0.1292961494608999,0.006279217421667408,0.008908467741105796,0.1,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.9202283493791734,0.2415463320084654,0.646625304559062,20.0,0.44999999999999996,39.2736875,0.590953379008642,0.13523075516633465,0.06455478829845598,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,44.32554361314673,1.0649999999999997,-42.78909270137252,20.0,0.578,65.40356249999992,0.0643716306410948,0.013583077707206138,0.00701033266063548,0.5,30.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,0.9077170431380445,0.19656925795518357,0.6594146663575402,14.545454545454549,0.36,32.921749999999996,0.599703241302292,0.10838160096885185,0.05643825606578315,0.5,25.454545454545453,True,0,2,3700,Manual,?
18,Arachadionic Acid,40.389596538507426,0.91,-44.89638949288533,14.545454545454549,0.45699999999999996,53.84006249999999,0.05812946426296848,0.012534951136721675,0.00782978830748952,0.5,25.454545454545453,True,0,2,3700,Manual,?
18,Arachadionic Acid,14.958436335442176,0.24255819427735212,-6.09146250190879,20.0,0.19699999999999998,13.850062499999986,0.8987823428068694,0.07522727468905714,0.025885131044936945,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,42.395023891531565,0.5949999999999696,-41.54677962868511,20.0,0.26999999999999996,30.526250000000022,0.1897606483244543,0.006141195788629913,0.0061079133057831145,0.5,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,19.005313931469995,0.24240873696332935,-10.117844287784322,13.636363636363637,0.202,14.220875,1.0210239660622284,0.07822940167043517,0.03285211693271322,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,35.20942575492466,0.579999999999983,-34.91632025066053,13.636363636363637,0.27899999999999997,32.098687500000054,0.13438718984343678,0.00868084920138248,0.002642237904707462,0.2454545454545455,20.0,True,0,2,3700,Manual,?
18,Arachadionic Acid,39.634724861123296,1.0099996017895423,-38.48164596091415,20.0,0.36,26.054562499999978,0.9358564024054136,0.13175491316401503,0.04540408266305249,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
18,Arachadionic Acid,33.36170707178163,0.9600000000000001,-39.08187213702063,20.0,0.485,54.40324999999997,0.05236879775393062,0.013144797993339953,0.011995614920392927,0.2454545454545455,26.363636363636363,True,0,2,3700,Manual,?
