baseline,,b0,,p0,,p0,,b1,,p1,,b2,,p2,,b3,,p3,,4,,p4,,b5,,p5,,p6,,b6,,p6,,b7,,p7,,b8,,p8,,b9,,p9,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
791.0001831,-0.0003474060213,791.0001831,0.06108696014,791.0001831,2.037418365,791.0001831,0.01007989608,791.0001831,0.0008928959724,791.0001831,0.01544598211,791.0001831,0.0004118079669,791.0001831,0.01550268941,791.0001831,0.0005492591299,791.0001831,0.01090139803,791.0001831,0.001080580987,791.0001831,0.01103798766,791.0001831,0.001534535899,791.0001831,0.0160628166,791.0001831,0.0008108578622,791.0001831,0.0002544300514,791.0001831,0.01565568149,791.0001831,-4.338271538E-005,791.0001831,0.01555063203,791.0001831,1.669677113E-005,791.0001831,0.01173924282,791.0001831,0.001399707166,791.0001831,0.01025619544,
789.991394,-0.0004045127716,789.991394,0.06070714071,789.991394,2.065371275,789.991394,0.009009727277,789.991394,-0.0004572678008,789.991394,0.01633874327,789.991394,-0.0005360263167,789.991394,0.01446420979,789.991394,0.0005979372654,789.991394,0.01076087076,789.991394,0.0008566084434,789.991394,0.01090941392,789.991394,-0.00052961451,789.991394,0.0150669748,789.991394,-0.0009279001388,789.991394,-0.0004440279154,789.991394,0.01533417031,789.991394,0.0002939310798,789.991394,0.01483470947,789.991394,-0.0004428383836,789.991394,0.01076848619,789.991394,-0.0007519056089,789.991394,0.01037187688,
789.0170898,-0.0006031899247,789.0170898,0.05998779461,789.0170898,1.987362623,789.0170898,0.009660913609,789.0170898,-3.365045632E-005,789.0170898,0.01666801982,789.0170898,-0.0008062720299,789.0170898,0.01375913247,789.0170898,-3.955196007E-005,789.0170898,0.009176523425,789.0170898,0.0008518101531,789.0170898,0.01080964506,789.0170898,-0.0009345127619,789.0170898,0.01654158719,789.0170898,-0.0009476860287,789.0170898,-0.001111362828,789.0170898,0.01541529689,789.0170898,-0.0003890471125,789.0170898,0.01509181876,789.0170898,-0.0006698262296,789.0170898,0.01029839274,789.0170898,-0.0004499238566,789.0170898,0.009263410233,
788.0075073,0.0001377351873,788.0075073,0.06088963896,788.0075073,1.934387684,788.0075073,0.010285086,788.0075073,0.0006082023028,788.0075073,0.01654626615,788.0075073,-0.001311781583,788.0075073,0.0159544982,788.0075073,3.266932254E-005,788.0075073,0.01124936901,788.0075073,0.001228653593,788.0075073,0.01133582089,788.0075073,0.0002832330647,788.0075073,0.01714075543,788.0075073,-0.0002772537409,788.0075073,-0.0001842689962,788.0075073,0.01634398475,788.0075073,0.0007008324028,788.0075073,0.01593682915,788.0075073,0.0004657570389,788.0075073,0.01194883697,788.0075073,0.0001352493564,788.0075073,0.01081006974,
786.9974976,-0.0007255984819,786.9974976,0.06176315993,786.9974976,1.921897888,786.9974976,0.01135062147,786.9974976,0.0003321403929,786.9974976,0.01719806157,786.9974976,0.000321415544,786.9974976,0.01560365036,786.9974976,-0.001309510437,786.9974976,0.01160083711,786.9974976,0.001104404218,786.9974976,0.01189980097,786.9974976,-0.0001807499793,786.9974976,0.01610582322,786.9974976,0.0006630572607,786.9974976,0.0001718391577,786.9974976,0.01555242948,786.9974976,0.0007091552834,786.9974976,0.0152620133,786.9974976,0.0009300165693,786.9974976,0.01403052453,786.9974976,0.0001847097737,786.9974976,0.01136422623,
785.9871826,0.001033146167,785.9871826,0.06203519553,785.9871826,1.996024847,785.9871826,0.01085638162,785.9871826,0.0002560100111,785.9871826,0.01787481457,785.9871826,-0.0001828199893,785.9871826,0.01603238285,785.9871826,0.0003990083642,785.9871826,0.0109910192,785.9871826,0.001708750613,785.9871826,0.01223070826,785.9871826,-0.00040415072,785.9871826,0.01715295389,785.9871826,0.0009064364713,785.9871826,-0.0002199232695,785.9871826,0.01670982316,785.9871826,0.0004662493884,785.9871826,0.01715763845,785.9871826,0.000273959944,785.9871826,0.01303994004,785.9871826,0.0007972425665,785.9871826,0.01164603699,
785.0112915,0.0006910318043,785.0112915,0.06233211234,785.0112915,2.024111748,785.0112915,0.01110655162,785.0112915,0.0001148971278,785.0112915,0.0171635095,785.0112915,0.000373669347,785.0112915,0.01636685804,785.0112915,0.000608098635,785.0112915,0.01123685762,785.0112915,0.0009718362708,785.0112915,0.01191185322,785.0112915,0.000457853399,785.0112915,0.01773527451,785.0112915,0.0004968546564,785.0112915,-0.0003959265596,785.0112915,0.0168302767,785.0112915,0.0003554562281,785.0112915,0.01754432358,785.0112915,0.0005479372921,785.0112915,0.01305722538,785.0112915,0.0008097686223,785.0112915,0.01144262124,
784.0002441,-0.0001878914773,784.0002441,0.06087939441,784.0002441,1.966924429,784.0002441,0.01151598059,784.0002441,-0.0003082442272,784.0002441,0.01829491556,784.0002441,0.0003389536869,784.0002441,0.01525726821,784.0002441,0.0002638840524,784.0002441,0.01006871648,784.0002441,0.0008922215202,784.0002441,0.01151746884,784.0002441,0.0001239338162,784.0002441,0.01738888584,784.0002441,0.0002893979836,784.0002441,-0.0006149256951,784.0002441,0.01559847128,784.0002441,-0.000719189411,784.0002441,0.0165144559,784.0002441,-0.0007054923335,784.0002441,0.01207793225,784.0002441,-0.001317562535,784.0002441,0.01116848551,
782.9886475,0.0004550807062,782.9886475,0.06053858995,782.9886475,1.971262932,782.9886475,0.01146329846,782.9886475,-0.0002582134039,782.9886475,0.01856081001,782.9886475,0.0004205139994,782.9886475,0.0166182071,782.9886475,0.0005172247766,782.9886475,0.01156316511,782.9886475,0.001139544416,782.9886475,0.01334032416,782.9886475,0.0005809330032,782.9886475,0.01773368381,782.9886475,-0.0001354660344,782.9886475,-3.939665839E-005,782.9886475,0.01704398543,782.9886475,0.001093219034,782.9886475,0.01703951694,782.9886475,0.001350965118,782.9886475,0.01239632256,782.9886475,-7.195703074E-005,782.9886475,0.01262563467,
782.0115967,0.0002843727998,782.0115967,0.06063129753,782.0115967,2.065693617,782.0115967,0.01016065665,782.0115967,0.000679053599,782.0115967,0.01778491959,782.0115967,-0.0003692357568,782.0115967,0.01656748354,782.0115967,-0.0006850234349,782.0115967,0.01110833045,782.0115967,0.0009344007121,782.0115967,0.0134479925,782.0115967,0.0002983864979,782.0115967,0.01760836877,782.0115967,0.0004501572403,782.0115967,-0.0003512857947,782.0115967,0.01768722571,782.0115967,0.0001019250194,782.0115967,0.01670436189,782.0115967,0.001152962795,782.0115967,0.01158238575,782.0115967,-0.0001638272806,782.0115967,0.01118274871,
780.9993286,0.0007631672197,780.9993286,0.05892324075,780.9993286,1.981706142,780.9993286,0.01034608204,780.9993286,0.0003912873217,780.9993286,0.0186328683,780.9993286,-0.0001612396445,780.9993286,0.01575117558,780.9993286,0.0005992333172,780.9993286,0.009822717868,780.9993286,0.0008670093375,780.9993286,0.01195785776,780.9993286,-4.980174708E-005,780.9993286,0.01775714383,780.9993286,-0.0001588590094,780.9993286,-0.0003758051607,780.9993286,0.01639019139,780.9993286,-0.00080368825,780.9993286,0.01637946628,780.9993286,-5.994776438E-005,780.9993286,0.01165616699,780.9993286,-0.0005783214583,780.9993286,0.01089200098,
779.9866943,-0.0003717186919,779.9866943,0.06028848886,779.9866943,1.963320851,779.9866943,0.01128504798,779.9866943,-0.0007259602426,779.9866943,0.01872604527,779.9866943,0.0004416579031,779.9866943,0.01468580775,779.9866943,-0.00019187617,779.9866943,0.01128512807,779.9866943,0.0009512372199,779.9866943,0.01128637604,779.9866943,-0.0001981377718,779.9866943,0.01732234098,779.9866943,0.0004147617728,779.9866943,-0.0004489411949,779.9866943,0.01716889441,779.9866943,-0.000228512974,779.9866943,0.01676074974,779.9866943,-0.0004359596642,779.9866943,0.01185276639,779.9866943,0.0004216799862,779.9866943,0.01168648154,
779.0084839,0.001115719322,779.0084839,0.06206526607,779.0084839,1.933804989,779.0084839,0.01165805571,779.0084839,0.0006805054727,779.0084839,0.01982129738,779.0084839,0.001195556717,779.0084839,0.01822669245,779.0084839,0.001087354147,779.0084839,0.01282883249,779.0084839,0.002665513195,779.0084839,0.01384563185,779.0084839,0.0008359889616,779.0084839,0.01881597191,779.0084839,0.001347096055,779.0084839,0.0007172968471,779.0084839,0.01847242191,779.0084839,0.001627233927,779.0084839,0.01861962862,779.0084839,0.001369843259,779.0084839,0.01320359483,779.0084839,0.001756805112,779.0084839,0.01242796704,
777.9949951,-0.0003601315548,777.9949951,0.05928185955,777.9949951,1.967134953,777.9949951,0.01070416812,777.9949951,-0.0001367081713,777.9949951,0.01895231567,777.9949951,0.0001094078834,777.9949951,0.01658956334,777.9949951,0.0001430694247,777.9949951,0.01208998915,777.9949951,0.0007499682833,777.9949951,0.01311239507,777.9949951,-1.568661355E-005,777.9949951,0.01749664731,777.9949951,-0.0005394907785,777.9949951,-0.0001694164966,777.9949951,0.01763821207,777.9949951,-0.0001479907514,777.9949951,0.0176157821,777.9949951,-0.0004502858792,777.9949951,0.0118749002,777.9949951,0.0005478077219,777.9949951,0.01191682927,
777.0160522,0.0005840175436,777.0160522,0.06166188791,777.0160522,1.967328906,777.0160522,0.01278590783,777.0160522,0.001266503939,777.0160522,0.01989654638,777.0160522,0.001228627632,777.0160522,0.01764018089,777.0160522,0.001226810506,777.0160522,0.0125318123,777.0160522,0.002178738359,777.0160522,0.01374457125,777.0160522,0.001222968567,777.0160522,0.0183984451,777.0160522,0.0009697347996,777.0160522,0.000979048782,777.0160522,0.01843852364,777.0160522,8.090118354E-005,777.0160522,0.01911218278,777.0160522,0.0001705443574,777.0160522,0.01355050597,777.0160522,0.001351198764,777.0160522,0.01217053924,
776.0018921,-6.434774696E-005,776.0018921,0.06167209148,776.0018921,2.044050694,776.0018921,0.01163686346,776.0018921,4.664902008E-005,776.0018921,0.01924131438,776.0018921,-0.000727200706,776.0018921,0.01795790158,776.0018921,0.0008976947283,776.0018921,0.01165427919,776.0018921,0.001338553266,776.0018921,0.01301643997,776.0018921,0.0002476439986,776.0018921,0.01883173175,776.0018921,4.659476929E-007,776.0018921,0.0009355162038,776.0018921,0.01874707267,776.0018921,-0.0004855045991,776.0018921,0.0187068563,776.0018921,-0.0002566094336,776.0018921,0.01335169561,776.0018921,0.001171910204,776.0018921,0.01208690181,
774.9871826,0.001276109833,774.9871826,0.06128106266,774.9871826,1.984989643,774.9871826,0.01121969707,774.9871826,-0.0001965853153,774.9871826,0.02035121433,774.9871826,0.0003242910316,774.9871826,0.0179912746,774.9871826,4.294694372E-005,774.9871826,0.01259538904,774.9871826,0.001817134209,774.9871826,0.01294453442,774.9871826,4.61830241E-005,774.9871826,0.01788393222,774.9871826,-0.0001524416002,774.9871826,3.719973029E-005,774.9871826,0.01823754422,774.9871826,0.0002906672307,774.9871826,0.01839884929,774.9871826,0.0004123002582,774.9871826,0.01298021898,774.9871826,0.0001609628962,774.9871826,0.01292602625,
774.0071411,0.0007714913227,774.0071411,0.06110778823,774.0071411,2.086270571,774.0071411,0.01246624626,774.0071411,0.001040878589,774.0071411,0.0200469736,774.0071411,0.0005768634728,774.0071411,0.01755419001,774.0071411,0.001565606217,774.0071411,0.01348142233,774.0071411,0.001942107803,774.0071411,0.01342940982,774.0071411,0.0007143669063,774.0071411,0.0198701527,774.0071411,0.001271748217,774.0071411,0.0003538240853,774.0071411,0.0191387739,774.0071411,0.0009100161842,774.0071411,0.01834340952,774.0071411,0.001097760512,774.0071411,0.01370887738,774.0071411,0.001322324853,774.0071411,0.01262515504,
