2019-12-21 17:39:11.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:39.792	SOAPFluidTransferProxy.cpp(179)	INFO	GetTransferVolMaximumNl() START"
2019-12-21 17:39:11.5,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:39.793	SOAPFluidTransferProxy.cpp(916)	INFO	GetTransferVolMaximumNl() END"
2019-12-21 17:39:11.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:39.900	SOAPFluidTransferProxy.cpp(179)	INFO	GetTransferVolMinimumNl() START"
2019-12-21 17:39:11.6,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:39.902	SOAPFluidTransferProxy.cpp(916)	INFO	GetTransferVolMinimumNl() END"
2019-12-21 17:39:11.7,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.009	SOAPFluidTransferProxy.cpp(179)	INFO	GetTransferVolIncrNl() START"
2019-12-21 17:39:11.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.011	SOAPFluidTransferProxy.cpp(916)	INFO	GetTransferVolIncrNl() END"
2019-12-21 17:39:11.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.063	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:11.8,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.097	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:11.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.117	SOAPFluidTransferProxy.cpp(179)	INFO	GetPlateInfoEx() START"
2019-12-21 17:39:11.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.120	SOAPFluidTransferProxy.cpp(916)	INFO	GetPlateInfoEx() END"
2019-12-21 17:39:11.9,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.226	SOAPFluidTransferProxy.cpp(179)	INFO	RetrieveParameter() START"
2019-12-21 17:39:12.0,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.228	SOAPFluidTransferProxy.cpp(916)	INFO	RetrieveParameter() END"
2019-12-21 17:39:12.0,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.338	SOAPFluidTransferProxy.cpp(179)	INFO	RetrieveParameter() START"
2019-12-21 17:39:12.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.339	SOAPFluidTransferProxy.cpp(916)	INFO	RetrieveParameter() END"
2019-12-21 17:39:12.1,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.447	SOAPFluidTransferProxy.cpp(179)	INFO	GetDIOEx() START"
2019-12-21 17:39:12.2,,Info,OnServerLogEvent,Event,,192.168.0.25,,"12/21/19 17:38:40.480	SOAPFluidTransferProxy.cpp(916)	INFO	GetDIOEx() END"
2019-12-21 17:39:12.3,,Debug,OnStartExtendSourcePlateGripper,Event,,192.168.0.25,,
