BLANK,,Workingstovck,,Workingstovck1,,Workingstovck2,,Workingstovck3,,NewWorkingstock,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
767.0600586,-0.001010188949,767.0600586,0.01960841194,767.0600586,0.03693050146,767.0600586,0.01565428637,767.0600586,0.003889517859,767.0600586,0.02528872341,
765.935791,-0.0006875562831,765.935791,0.01944922842,765.935791,0.03684271872,765.935791,0.01599556021,765.935791,0.003394586733,765.935791,0.02519626729,
764.9517212,-0.000297017541,764.9517212,0.01943856291,764.9517212,0.03689220175,764.9517212,0.01548409928,764.9517212,0.003825217951,764.9517212,0.02549581975,
763.9672241,0.0006375991507,763.9672241,0.02025532909,763.9672241,0.03800576553,763.9672241,0.01591623202,763.9672241,0.005065856967,763.9672241,0.02507637814,
762.9823608,3.396371903E-5,762.9823608,0.02234340832,762.9823608,0.04032990709,762.9823608,0.01719590649,762.9823608,0.005009762011,762.9823608,0.02825928666,
761.9971924,0.0003821932478,761.9971924,0.02016841248,761.9971924,0.0372537747,761.9971924,0.01624459773,761.9971924,0.003678111127,761.9971924,0.02528345585,
761.0116577,0.0007506165421,761.0116577,0.02013752796,761.0116577,0.03833049163,761.0116577,0.01728012972,761.0116577,0.004954303149,761.0116577,0.02720218152,
760.0256958,0.001229769783,760.0256958,0.02190794051,760.0256958,0.03900618106,760.0256958,0.01785075478,760.0256958,0.005594974849,760.0256958,0.02750174329,
759.0394287,0.001088262419,759.0394287,0.02151574753,759.0394287,0.03911901638,759.0394287,0.01613070071,759.0394287,0.00499734981,759.0394287,0.02740214206,
758.0527954,-0.001229188405,758.0527954,0.0181398578,758.0527954,0.03552874923,758.0527954,0.01446257811,758.0527954,0.003669339698,758.0527954,0.02505139448,
757.0657959,-0.00164008874,757.0657959,0.01920300163,757.0657959,0.03470318764,757.0657959,0.01487563923,757.0657959,0.003345437581,757.0657959,0.02331965789,
755.9373779,0.0005307017127,755.9373779,0.01965580694,755.9373779,0.03800559416,755.9373779,0.0169614777,755.9373779,0.00605509337,755.9373779,0.02738405578,
754.949646,-0.001096851774,754.949646,0.01946298033,754.949646,0.03741253912,754.949646,0.01610144414,754.949646,0.004053574987,754.949646,0.02710890397,
753.9615479,-0.0001411073754,753.9615479,0.01971834898,753.9615479,0.03763648123,753.9615479,0.01701563783,753.9615479,0.004549624398,753.9615479,0.02603576332,
752.9730835,5.288825196E-5,752.9730835,0.02038366161,752.9730835,0.03849728405,752.9730835,0.01704595052,752.9730835,0.00529421214,752.9730835,0.02844387107,
751.9842529,0.0003590832348,751.9842529,0.02108067274,751.9842529,0.03863853589,751.9842529,0.01833563298,751.9842529,0.004848484416,751.9842529,0.02813832834,
