experiment_number,ligand,km,vmax,rsq,protein_concentration,a420_max,auc_mean,auc_cv,std_405,dd_soret,k,concentrations,controls_ok,centrifuge_minutes,centrifuge_rpm,dispense_bulk,dispense_ligands,protein_days_thawed,well_volume
15,DMSO,2.575296788299855,0.0030068255134648786,-1.380956438352705,7.45,0.024,2.9533749999999976,1.4328763184436588,0.0037772817134623616,-0.0003421874987492231,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,4.816605899629663,0.004150454773557794,-1.6360338164420356,7.45,0.024999999999999998,3.422749999999999,1.0904157848285474,0.004926241685388278,-0.0023592237908438953,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,51.600438831836414,0.04499999988043586,-76.4613784362059,7.45,0.026999999999999996,3.7957500000000106,1.3603356774338204,0.005055054048036621,0.0008505040366577788,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,DMSO,6.809285030487865e-16,0.00428571428284101,0.2073732718894019,7.45,0.036000000000000004,4.599562499999999,0.9970138622506207,0.009797047660246576,0.004970312499724839,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,2.9744064215109303,0.03735742080334485,-2.7749405725961394,7.45,0.028999999999999998,7.213125000000004,0.8444376895048866,0.008609587678861285,0.007420564516200653,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,0.41047451303281024,0.02252038241866483,0.7477155467803573,7.45,0.018000000000000002,2.2223124999999992,1.3927308316802312,0.0035757117173668097,0.0072106854838622945,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,28.425509511201657,0.12293816242565432,-77.09613812933347,7.45,0.019999999999999993,3.834312500000002,1.5416562297402585,0.007363035088486656,0.003626159273551732,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Arachadionic acid,7.2899609852078235,0.0069298890206530425,-6.134063916625108,7.45,0.024,-1.9930625000000028,-0.9108035742979363,0.005866064633612068,0.0017533770133439553,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,1.8592168885007676,0.007652901261689775,-0.7320896274427806,7.45,0.024,3.505937499999995,0.8644575571600325,0.0034537764010675945,0.0019538306456458473,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,1.3766974031270252,0.010048184410519825,-0.1995878518922034,7.45,0.025,2.362375000000001,1.8368639126077932,0.0033380918415851233,0.0018159274193207296,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,36.427664904111,0.024951224823771066,-101.26805551168407,7.45,0.020999999999999998,2.969749999999996,0.8153413283073675,0.005237229365663819,-0.00067626008135981,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Lauric acid,8.710128261633617e-07,0.002571377989609657,0.373271867427736,7.45,0.023000000000000007,0.8469999999999973,3.6640998927298276,0.005035587637718448,-0.00365065524329613,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,24.820434423291367,0.017128722981875504,-32.50715771601684,7.45,0.024,4.022812499999999,0.6091264277532334,0.0067068728075864725,-0.0008523185476349676,1.0,"[0.0, 71.25, 142.5, 213.75, 286.25, 357.5, 428.75, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,3.5794876851120816,0.0075440870195184265,-3.047880805153505,7.45,0.022999999999999996,1.9442499999999943,1.5371401357532894,0.0041382363393117115,-0.0020135080640768114,1.3333333333333333,"[0.0, 37.5, 93.75, 161.25, 237.5, 318.75, 407.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,35.12857675846658,0.01496791618189556,-97.49416720020172,7.45,0.023999999999999997,0.16006250000000233,13.255369997195592,0.005841660722773958,-0.002957409274884468,1.6666666666666663,"[0.0, 20.0, 62.5, 121.25, 196.25, 285.0, 386.25, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
15,Palmitic acid,7.849474868315987e-06,0.0007142174595107276,0.056689297683693574,7.45,0.03,4.567375000000005,0.6170318278714154,0.005316752499680339,-0.0037535786333985034,2.0,"[0.0, 10.0, 41.25, 91.25, 163.75, 255.0, 367.5, 500.0]",True,3700,2,Thermo Multidrop Combi,Echo,0,30
