blank,,workingstock,,workingstock1,,workingstock2,,workingstock_1in5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
760.0256958,-0.0006396886311,760.0256958,0.1094220877,760.0256958,0.02545091324,760.0256958,0.1053180024,760.0256958,0.0200955011,
759.0394287,0.0008192347595,759.0394287,0.1089109853,759.0394287,0.02513896488,759.0394287,0.1068019867,759.0394287,0.02024618909,
758.0527954,-0.001178437495,758.0527954,0.1073159799,758.0527954,0.02425031178,758.0527954,0.1057327539,758.0527954,0.01994242705,
757.0657959,-9.416294051E-5,757.0657959,0.1096112952,757.0657959,0.02747358568,757.0657959,0.1082113087,757.0657959,0.02138582803,
755.9373779,4.74256849E-5,755.9373779,0.1122101396,755.9373779,0.02674268186,755.9373779,0.1080111265,755.9373779,0.02089823969,
754.949646,-9.318848242E-6,754.949646,0.1117524654,754.949646,0.02557697333,754.949646,0.1078123003,754.949646,0.01993497461,
753.9615479,0.0002443805279,753.9615479,0.1108525172,753.9615479,0.02507404611,753.9615479,0.1078162789,753.9615479,0.02110662311,
752.9730835,0.0003783846623,752.9730835,0.1107761785,752.9730835,0.02356864139,752.9730835,0.1099677756,752.9730835,0.02133753709,
751.9842529,0.001482609776,751.9842529,0.1138034761,751.9842529,0.02699884214,751.9842529,0.1105189845,751.9842529,0.02229362167,
750.9950562,0.001037090202,750.9950562,0.1139742061,750.9950562,0.02563713491,750.9950562,0.1094635203,750.9950562,0.02147962525,
750.0055542,-8.50012002E-5,750.0055542,0.1141397133,750.0055542,0.02488875203,750.0055542,0.1095509231,750.0055542,0.02144522034,
749.015625,-0.0009776989464,749.015625,0.1132194921,749.015625,0.02476565726,749.015625,0.108837612,749.015625,0.02047984675,
748.0253906,0.001320896787,748.0253906,0.1138438135,748.0253906,0.0259611737,748.0253906,0.1123371571,748.0253906,0.02174965478,
747.03479,-7.376874419E-5,747.03479,0.1145476475,747.03479,0.0248842556,747.03479,0.1094850004,747.03479,0.02161229216,
746.0438843,-0.0009169477271,746.0438843,0.1134362742,746.0438843,0.02557115257,746.0438843,0.1101396307,746.0438843,0.0190747194,
745.0525513,0.0002942419087,745.0525513,0.1137233153,745.0525513,0.02610739507,745.0525513,0.1118955538,745.0525513,0.02140040323,
744.0609131,-0.0006971188122,744.0609131,0.1158281267,744.0609131,0.02612498961,744.0609131,0.1119941399,744.0609131,0.02149833925,
743.0689087,-4.938761776E-5,743.0689087,0.115152888,743.0689087,0.02614013664,743.0689087,0.1124495566,743.0689087,0.02173555642,
741.9347534,-0.001476869103,741.9347534,0.1141991094,741.9347534,0.02462583221,741.9347534,0.1100258976,741.9347534,0.02081486024,
740.9420166,7.026020467E-5,740.9420166,0.1170335189,740.9420166,0.02631185763,740.9420166,0.1134006456,740.9420166,0.02215734124,
739.9489136,-6.859240239E-5,739.9489136,0.1160142198,739.9489136,0.02481466159,739.9489136,0.1138743311,739.9489136,0.02249891311,
738.9554443,-0.0003574933507,738.9554443,0.1165953428,738.9554443,0.02456879802,738.9554443,0.1133549064,738.9554443,0.02267609909,
737.9616699,0.0008074864163,737.9616699,0.118933931,737.9616699,0.02710970305,737.9616699,0.1155796126,737.9616699,0.02255005948,
736.9675293,0.0006707572029,736.9675293,0.1199045926,736.9675293,0.02714976668,736.9675293,0.1158755422,736.9675293,0.02274682559,
735.9730225,-0.001282153069,735.9730225,0.1171473414,735.9730225,0.02598802373,735.9730225,0.115310818,735.9730225,0.02107200399,
734.9782104,-0.0008504010621,734.9782104,0.1176556796,734.9782104,0.02572446689,734.9782104,0.1130267605,734.9782104,0.01983519644,
733.9830322,-0.0009010870126,733.9830322,0.1187774017,733.9830322,0.02668710239,733.9830322,0.1157223806,733.9830322,0.02071099915,
732.9874878,-0.0003251095768,732.9874878,0.12002296,732.9874878,0.0272544641,732.9874878,0.1165107414,732.9874878,0.02238578908,
731.9915771,-2.780064096E-5,731.9915771,0.1206578612,731.9915771,0.02846719697,731.9915771,0.1172209084,731.9915771,0.02276510186,
730.9953613,-0.000125891107,730.9953613,0.1212966368,730.9953613,0.02946879528,730.9953613,0.1174019799,730.9953613,0.02236962691,
729.9987793,-0.0005618795985,729.9987793,0.1208804101,729.9987793,0.02860641293,729.9987793,0.117919676,729.9987793,0.02262253873,
729.0018921,0.002082697349,729.0018921,0.1222977862,729.0018921,0.02955246717,729.0018921,0.1182127967,729.0018921,0.02214140445,
728.0046387,0.0002385270345,728.0046387,0.1235129312,728.0046387,0.030481508,728.0046387,0.1197164431,728.0046387,0.02344250679,
727.007019,0.000819649722,727.007019,0.1231648922,727.007019,0.03111055121,727.007019,0.1204154491,727.007019,0.02321743406,
726.0090942,0.0006239115028,726.0090942,0.1232536584,726.0090942,0.03071215563,726.0090942,0.1199589819,726.0090942,0.02169250511,
