kpi,,bm3_target5uM,,bm3_target10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
733.0077515,0.0001342912728,733.0077515,0.009772597812,733.0077515,0.009776436724,
732.0123901,0.0002939310798,732.0123901,0.0094412826,732.0123901,0.009895088151,
731.0166626,0.0004427980457,731.0166626,0.009660702199,731.0166626,0.01031249482,
730.0205688,0.001790048787,730.0205688,0.009829575196,730.0205688,0.01002677996,
729.0241699,0.0004407509987,729.0241699,0.009509938769,729.0241699,0.0115013076,
728.0274048,1.762870306E-5,728.0274048,0.01083039865,728.0274048,0.01032129582,
727.0303345,-7.765721421E-6,727.0303345,0.01093232259,727.0303345,0.00979213696,
726.0328979,0.001291401801,726.0328979,0.01116840634,726.0328979,0.01070578676,
725.0350952,0.0003009250795,725.0350952,0.01021103375,725.0350952,0.01033515949,
724.0369873,0.000309810217,724.0369873,0.01082007494,724.0369873,0.01021243818,
723.0385132,0.001648722449,723.0385132,0.01128544658,723.0385132,0.009959445335,
722.0396729,-0.0002548502234,722.0396729,0.01006617304,722.0396729,0.009765978903,
721.0405273,-7.84274016E-5,721.0405273,0.01039531361,721.0405273,0.009118071757,
720.0410767,-9.224779205E-5,720.0410767,0.01016921643,720.0410767,0.009980847128,
719.0411987,-0.001407518284,719.0411987,0.009611500427,719.0411987,0.009039196186,
718.0410767,0.0002241267648,718.0410767,0.01116907038,718.0410767,0.0101175718,
717.0405273,-0.0003403188894,717.0405273,0.01120182034,717.0405273,0.0104655521,
716.0396729,0.0004908422707,716.0396729,0.01109210495,716.0396729,0.01019306574,
715.0385132,-0.0002989318164,715.0385132,0.01041143388,715.0385132,0.01061545406,
714.0369873,0.0003439536085,714.0369873,0.01139008161,714.0369873,0.01034947485,
713.0351563,-5.404653712E-5,713.0351563,0.01043794863,713.0351563,0.01147600356,
712.032959,0.0007026473177,712.032959,0.01109492034,712.032959,0.01168142911,
711.0303955,-0.0001697787666,711.0303955,0.01013763063,711.0303955,0.01004376076,
710.0275269,5.527005851E-5,710.0275269,0.01067538187,710.0275269,0.01106159389,
709.024353,0.0006184158265,709.024353,0.01063935552,709.024353,0.01013246365,
708.020813,0.0001836479933,708.020813,0.01168696024,708.020813,0.01084918901,
707.0169678,0.0004105901753,707.0169678,0.01105099916,707.0169678,0.01085524075,
706.0127563,-0.0001541494712,706.0127563,0.01102327835,706.0127563,0.01022484154,
705.0081787,0.0007397257723,705.0081787,0.01143148541,705.0081787,0.01056176797,
704.0033569,6.989773829E-5,704.0033569,0.01097814366,704.0033569,0.0103803603,
702.9981689,-0.0001796114811,702.9981689,0.01114410441,702.9981689,0.01111003011,
701.9926147,-0.0001897027105,701.9926147,0.01045112684,701.9926147,0.009993429296,
700.9867554,0.0002280116751,700.9867554,0.01117342617,700.9867554,0.01046711672,
699.9805298,0.0002383716346,699.9805298,0.01104433369,699.9805298,0.01099436451,
698.973999,-4.100143997E-5,698.973999,0.01039823052,698.973999,0.01048541442,
697.9671631,0.0002391227317,697.9671631,0.0111491764,697.9671631,0.01149774529,
696.960022,0.0001104694747,696.960022,0.01170940418,696.960022,0.01116973441,
695.9524536,-0.0007248748443,695.9524536,0.01086606923,695.9524536,0.01092088129,
694.9446411,0.0007583180559,694.9446411,0.01113024075,694.9446411,0.01119063795,
693.9364624,-0.0003778225218,693.9364624,0.01119066402,693.9364624,0.01130441576,
692.9279785,0.0006896835985,692.9279785,0.01209046878,692.9279785,0.01148647536,
692.0632935,0.0004743086465,692.0632935,0.01174155716,692.0632935,0.01152669266,
691.0541992,7.440264744E-5,691.0541992,0.01124729775,691.0541992,0.01112469006,
690.0447388,-0.0005005531712,690.0447388,0.010695545,690.0447388,0.01037853118,
689.0350342,-4.384861677E-5,689.0350342,0.01182494126,689.0350342,0.01236827672,
688.0249634,-0.0001996902138,688.0249634,0.01031511929,688.0249634,0.0109574357,
687.0145264,0.0001807216613,687.0145264,0.012397415,687.0145264,0.01208708808,
686.0037842,0.0006459208089,686.0037842,0.01194745395,686.0037842,0.01258739457,
684.9927368,0.0007607815205,684.9927368,0.01156826969,684.9927368,0.01249235403,
683.9813843,-0.0002889465832,683.9813843,0.01142117381,683.9813843,0.01243241504,
682.9696655,0.0004241933639,682.9696655,0.0117907878,682.9696655,0.01113650855,
681.9577026,7.339291915E-5,681.9577026,0.01159408409,681.9577026,0.01192664634,
680.9453125,-0.0007209984469,680.9453125,0.01129705645,680.9453125,0.01121379994,
679.9326782,-0.0002318246261,679.9326782,0.01132476795,679.9326782,0.01135838032,
679.0643921,-0.0006345707225,679.0643921,0.01140615903,679.0643921,0.01120293606,
678.0511475,0.00139466906,678.0511475,0.01216843631,678.0511475,0.01248081867,
677.0375977,-3.323631245E-5,677.0375977,0.01238010172,677.0375977,0.01210329775,
676.0236816,0.0005324900267,676.0236816,0.01156087872,676.0236816,0.01305890642,
675.0094604,0.0002580821165,675.0094604,0.01181701478,675.0094604,0.01311018132,
673.9949341,-6.30018767E-5,673.9949341,0.0127336327,673.9949341,0.01376370154,
672.9801025,-0.0002867218573,672.9801025,0.01231605094,672.9801025,0.01275199931,
671.9649048,-0.0007736116531,671.9649048,0.01180706639,671.9649048,0.01338682696,
670.9494629,0.0005314014852,670.9494629,0.01383029204,670.9494629,0.01313179173,
669.9336548,0.000480009825,669.9336548,0.0122582661,669.9336548,0.01455652434,
669.0626831,0.0009464897448,669.0626831,0.01313080452,669.0626831,0.01435554121,
668.0463257,-0.0002713037247,668.0463257,0.01291930582,668.0463257,0.01365686394,
667.0296021,-0.0006538530579,667.0296021,0.01283243112,667.0296021,0.01324808132,
666.0125732,-3.365162911E-6,666.0125732,0.01230380125,666.0125732,0.01390381437,
664.9953003,0.0007208490861,664.9953003,0.01307509933,664.9953003,0.01395620499,
663.9776001,-0.0003906505881,663.9776001,0.01331915706,663.9776001,0.01480371971,
662.9596558,-0.0004077713529,662.9596558,0.01298437919,662.9596558,0.01487622876,
661.9414063,0.0004671045463,661.9414063,0.0136796236,661.9414063,0.01593057066,
661.0683594,-0.0005568125052,661.0683594,0.01302404236,661.0683594,0.01503642369,
660.0494995,-3.121735426E-5,660.0494995,0.01423510257,660.0494995,0.01587141864,
659.0303345,0.0003325030848,659.0303345,0.01427517366,659.0303345,0.0162767116,
658.0108643,-0.001047273283,658.0108643,0.01369971316,658.0108643,0.01531161834,
656.9910889,0.001210949733,656.9910889,0.01504167635,656.9910889,0.01660080627,
655.9710083,-0.0002968623594,655.9710083,0.01392789744,655.9710083,0.01683030464,
654.9505615,-0.0001307044731,654.9505615,0.01418166235,654.9505615,0.01589305885,
653.9298706,-0.0004705072497,653.9298706,0.0135849854,653.9298706,0.01651241258,
653.0547485,-0.000121957557,653.0547485,0.01421413198,653.0547485,0.01663558185,
652.0334473,-0.0004412350827,652.0334473,0.01406271569,652.0334473,0.01726808958,
